term	beta	se	stat	p	OR	conf.low	conf.high	model	cluster	mean_prop_ASD	mean_prop_Control	effect_prop_ASD_minus_Control	n_donors	n_ASD	n_Control	covariates	n_complete	fdr
dxASD	-0.619107505386806	0.143272458465093	-4.3211899343351	7.37254999549067e-05	0.538424764420094	0.406601566961963	0.712986005211224	quasibinomial_basic	10	0.0204797770278207	0.0311455747166063	-0.0106657976887856	52	28	24	age+pmi+rin		0.00140078449914323
dxASD	-0.549002829170503	0.186730182037575	-2.94008618842362	0.00549183626751195	0.577525414841775	0.40051903481941	0.832758435410074	quasibinomial_basic	17	0.00593927353624098	0.00945976086362234	-0.00352048732738136	41	22	19	age+pmi+rin		0.0521724445413636
dxASD	-0.459245539095927	0.166676952356273	-2.75530319341505	0.00837424141341816	0.631760104048913	0.45569462960627	0.875851509184433	quasibinomial_basic	6	0.0305538086984461	0.0429504216310609	-0.0123966129326148	48	25	23	age+pmi+rin		0.0530368622849817
dxASD	-0.678713381196727	0.296763700220728	-2.28704986725773	0.0270594226249237	0.50726923481775	0.283549027678305	0.907504704563915	quasibinomial_basic	12	0.0134550890088753	0.023289553584814	-0.00983446457593867	46	25	21	age+pmi+rin		0.125662214900614
dxASD	-0.459256284711676	0.208709561490833	-2.20045637311086	0.0330690039212143	0.631753315434063	0.419653031235049	0.951052945780787	quasibinomial_basic	13	0.0163059955230131	0.0195689297363732	-0.00326293421336014	46	22	24	age+pmi+rin		0.125662214900614
dxASD	0.407236189197364	0.227377483159751	1.79101370785799	0.0786011323481388	1.50265897556943	0.962305147187133	2.34643242162798	quasibinomial_basic	0	0.369953576214004	0.325119902045371	0.0448336741686329	59	31	28	age+pmi+rin		0.240487535302044
dxASD	1.14908928152147	0.668124065281036	1.71987410906704	0.0945472745479281	3.15531799436612	0.851774135539919	11.6885817849585	quasibinomial_basic	11	0.0177870595624088	0.00962019846618363	0.00816686109622515	36	19	17	age+pmi+rin		0.240487535302044
dxASD	0.461157502699543	0.276110280782559	1.6701931611982	0.101257909600861	1.58590861649901	0.923099132611117	2.72463276264974	quasibinomial_basic	5	0.0278257252007803	0.0290762437003873	-0.001250518499607	51	27	24	age+pmi+rin		0.240487535302044
dxASD	-0.343253716474341	0.214429536669283	-1.60077628206484	0.1165829275493	0.709458187493615	0.466015861283756	1.08007250743607	quasibinomial_basic	15	0.0139945389731786	0.0145704723946862	-0.000575933421507639	46	23	23	age+pmi+rin		0.243555264950131
dxASD	0.355918068082141	0.231622887856873	1.53662736604024	0.130447579682745	1.42749058643098	0.906591975136932	2.24768079823483	quasibinomial_basic	2	0.130971835279455	0.0829545006973854	0.04801733458207	54	29	25	age+pmi+rin		0.243555264950131
dxASD	1.08620457482101	0.726196185479459	1.49574535991794	0.141005679707971	2.96300683336613	0.713808936266143	12.299382998059	quasibinomial_basic	7	0.0513619850685294	0.0581398326197625	-0.00677784755123309	52	26	26	age+pmi+rin		0.243555264950131
dxASD	-0.254009508907372	0.182026815149468	-1.39545104219286	0.168699445312483	0.77568442610005	0.542926098628576	1.10822878180661	quasibinomial_basic	4	0.0491782049582245	0.0815576359414706	-0.0323794309832461	55	28	27	age+pmi+rin		0.267107455078098
dxASD	-0.218932522915273	0.197351262695662	-1.10935455859176	0.272584517611649	0.803375925790131	0.545669936573238	1.18278987879063	quasibinomial_basic	8	0.0301663340479204	0.0296793754194818	0.000486958628438578	52	27	25	age+pmi+rin		0.388007585913055
dxASD	-0.381744777716787	0.353817050839235	-1.0789326766794	0.285900326462251	0.682669263381365	0.341220563379828	1.36579495253599	quasibinomial_basic	1	0.17173066545536	0.203901316587168	-0.0321706511318077	51	26	25	age+pmi+rin		0.388007585913055
dxASD	-0.310016447650912	0.306113650952185	-1.01274950230605	0.31659445577566	0.733434892843998	0.402524544637386	1.33638246215688	quasibinomial_basic	9	0.0321161981478398	0.0354698707407451	-0.00335367259290523	47	23	24	age+pmi+rin		0.401019643982502
dxASD	-0.260869469981474	0.285398501499554	-0.914053397655564	0.365455222868445	0.770381470960129	0.440321325698348	1.34785116268766	quasibinomial_basic	14	0.0165761072155675	0.0175204228220944	-0.000944315606526903	48	24	24	age+pmi+rin		0.416180826106787
dxASD	-0.199742711456459	0.221524488388533	-0.901673277340468	0.372372318095546	0.818941430222239	0.530502446793718	1.26420730043349	quasibinomial_basic	16	0.00951343537846741	0.011221690056263	-0.0017082546777956	44	21	23	age+pmi+rin		0.416180826106787
dxASD	-0.203792077990686	0.286403985315181	-0.711554616694377	0.480047376823259	0.815631941390108	0.465266979260255	1.42983597261407	quasibinomial_basic	3	0.0996659047695417	0.0953608461708049	0.00430505859873678	52	27	25	age+pmi+rin		0.506716675535662
dxASD	-0.00622797995829218	0.258626172167652	-0.0240810120108607	0.980907723463948	0.993791373709959	0.598615806934069	1.64984165640167	quasibinomial_basic	18	0.0069965156480735	0.0129711846197658	-0.00597466897169229	42	20	22	age+pmi+rin		0.980907723463948
