term	beta	se	stat	p	OR	conf.low	conf.high	model	cluster	mean_prop_ASD	mean_prop_Control	effect_prop_ASD_minus_Control	n_donors	n_ASD	n_Control	covariates	n_complete	fdr
dxASD	0.407236189197364	0.0247286253116381	16.4682097797691	6.20805039548559e-61	1.50265897556943	1.43156475970548	1.5772838647718	binomial_basic	0	0.369953576214004	0.325119902045371	0.0448336741686329	59	31	28	age+pmi+rin		1.17952957514226e-59
dxASD	0.407236189197364	0.227377483159751	1.79101370785799	0.0786011323481388	1.50265897556943	0.962305147187133	2.34643242162798	quasibinomial_basic	0	0.369953576214004	0.325119902045371	0.0448336741686329	59	31	28	age+pmi+rin		0.240487535302044
dxASD	0.342821698162768	0.0251103198563179	13.6526217158684	1.94744113014422e-42	1.40891752694572	1.34125463574573	1.47999383922441	binomial_adjusted	0	0.369953576214004	0.325119902045371	0.0448336741686329	59	31	28	age+pmi+rin	59	1.85006907363701e-41
dxASD	0.342821698162768	0.215238624184819	1.59275176312406	0.117053296577917	1.40891752694572	0.923997414744918	2.14832700401316	quasibinomial_adjusted	0	0.369953576214004	0.325119902045371	0.0448336741686329	59	31	28	age+pmi+rin	59	0.228624001570894
dxASD	-0.381744777716787	0.0269987527864337	-14.1393486112664	2.17286321475164e-45	0.682669263381365	0.647483263785383	0.719767365786507	binomial_basic	1	0.17173066545536	0.203901316587168	-0.0321706511318077	51	26	25	age+pmi+rin		2.06422005401406e-44
dxASD	-0.381744777716787	0.353817050839235	-1.0789326766794	0.285900326462251	0.682669263381365	0.341220563379828	1.36579495253599	quasibinomial_basic	1	0.17173066545536	0.203901316587168	-0.0321706511318077	51	26	25	age+pmi+rin		0.388007585913055
dxASD	-0.376171075998944	0.0271035800958731	-13.8790179994052	8.48991133750669e-44	0.68648488190912	0.650968455769413	0.723939061736518	binomial_adjusted	1	0.17173066545536	0.203901316587168	-0.0321706511318077	51	26	25	age+pmi+rin	51	1.61308315412627e-42
dxASD	-0.376171075998944	0.362964613255865	-1.03638498702288	0.305440171377534	0.68648488190912	0.337030543912913	1.3982753243028	quasibinomial_adjusted	1	0.17173066545536	0.203901316587168	-0.0321706511318077	51	26	25	age+pmi+rin	51	0.378279797135511
dxASD	0.355918068082141	0.0403276267021773	8.82566362535102	1.08812624653674e-18	1.42749058643098	1.31900269869087	1.54490159601004	binomial_basic	2	0.130971835279455	0.0829545006973854	0.04801733458207	54	29	25	age+pmi+rin		4.13487973683962e-18
dxASD	0.355918068082141	0.231622887856873	1.53662736604024	0.130447579682745	1.42749058643098	0.906591975136932	2.24768079823483	quasibinomial_basic	2	0.130971835279455	0.0829545006973854	0.04801733458207	54	29	25	age+pmi+rin		0.243555264950131
dxASD	0.355876678206691	0.0407552974677953	8.73203485971127	2.50131099643143e-18	1.42743150399612	1.3178429816338	1.54613313345916	binomial_adjusted	2	0.130971835279455	0.0829545006973854	0.04801733458207	54	29	25	age+pmi+rin	54	9.50498178643942e-18
dxASD	0.355876678206691	0.225105987106268	1.58092942254214	0.120328421879418	1.42743150399612	0.918208255247735	2.21906162023221	quasibinomial_adjusted	2	0.130971835279455	0.0829545006973854	0.04801733458207	54	29	25	age+pmi+rin	54	0.228624001570894
dxASD	-0.203792077990686	0.0413101048267331	-4.93322587404342	8.08825289670045e-07	0.815631941390108	0.752194847067653	0.884419065630695	binomial_basic	3	0.0996659047695417	0.0953608461708049	0.00430505859873678	52	27	25	age+pmi+rin		1.28064004197757e-06
dxASD	-0.203792077990686	0.286403985315181	-0.711554616694377	0.480047376823259	0.815631941390108	0.465266979260255	1.42983597261407	quasibinomial_basic	3	0.0996659047695417	0.0953608461708049	0.00430505859873678	52	27	25	age+pmi+rin		0.506716675535662
dxASD	-0.187729605936645	0.0414192297926262	-4.5324262878994	5.83100266231374e-06	0.828838790024288	0.764211040965593	0.898931974315529	binomial_adjusted	3	0.0996659047695417	0.0953608461708049	0.00430505859873678	52	27	25	age+pmi+rin	52	9.23242088199676e-06
dxASD	-0.187729605936645	0.292778388856707	-0.641200351807811	0.524507093772306	0.828838790024288	0.466930316292016	1.47125537982695	quasibinomial_adjusted	3	0.0996659047695417	0.0953608461708049	0.00430505859873678	52	27	25	age+pmi+rin	52	0.553646376759657
dxASD	-0.254009508907372	0.0478209490447732	-5.31167854217094	1.08620080544645e-07	0.77568442610005	0.706283496456561	0.851904839788607	binomial_basic	4	0.0491782049582245	0.0815576359414706	-0.0323794309832461	55	28	27	age+pmi+rin		2.06378153034826e-07
dxASD	-0.254009508907372	0.182026815149468	-1.39545104219286	0.168699445312483	0.77568442610005	0.542926098628576	1.10822878180661	quasibinomial_basic	4	0.0491782049582245	0.0815576359414706	-0.0323794309832461	55	28	27	age+pmi+rin		0.267107455078098
dxASD	-0.245284467613527	0.0479609208710186	-5.11425683992121	3.14978543776593e-07	0.782481915815714	0.712277374489688	0.859606061497176	binomial_adjusted	4	0.0491782049582245	0.0815576359414706	-0.0323794309832461	55	28	27	age+pmi+rin	55	5.44053848341387e-07
dxASD	-0.245284467613527	0.166366827857988	-1.47435922636514	0.146653838601468	0.782481915815714	0.564754898334533	1.08414809749193	quasibinomial_adjusted	4	0.0491782049582245	0.0815576359414706	-0.0323794309832461	55	28	27	age+pmi+rin	55	0.253311175766172
dxASD	0.461157502699543	0.0587567432229044	7.8485885602961	4.20745466722113e-15	1.58590861649901	1.41339453963368	1.77947916831323	binomial_basic	5	0.0278257252007803	0.0290762437003873	-0.001250518499607	51	27	24	age+pmi+rin		1.14202340967431e-14
