p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.58342751995152e-265,1.00276620892825,0.299,0.148,4.92635970007316e-261,0,IFI6
2.98877472373699e-236,0.910732416291714,0.392,0.239,9.29867592049051e-232,0,SLC11A1
4.84351349624297e-112,0.835442993900145,0.483,0.404,1.50691391895111e-107,0,FTL
1.67084781783535e-163,0.792418568261939,0.365,0.248,5.19834173084934e-159,0,PCSK1N
4.34895299070784e-162,0.791889258531421,0.405,0.292,1.35304625446902e-157,0,B2M
4.73748955386497e-193,0.791031698808924,0.494,0.366,1.47392774999847e-188,0,SPP1
1.82392931768144e-150,0.778938996609648,0.447,0.348,5.6746088931705e-146,0,APOE
3.88681366367346e-126,0.715415351617444,0.481,0.402,1.20926546704209e-121,0,GAPDH
7.16050781803078e-98,0.714744161372019,0.532,0.47,2.22777719234574e-93,0,FTH1
1.32348413299581e-63,0.696184573639977,0.211,0.15,4.11762383457656e-59,0,AC120193.1
0,1.27349232088119,0.583,0.398,0,1,RALYL
0,1.24301692772277,0.939,0.764,0,1,KCNIP4
3.91244073640339e-256,1.22118531069826,0.43,0.271,1.21723856190982e-251,1,NRG1
0,1.16209942845475,0.85,0.661,0,1,CNTNAP2
0,1.13217941222392,0.577,0.398,0,1,ATRNL1
0,1.10906528498785,0.564,0.409,0,1,IQCJ-SCHIP1
0,1.10110857396035,0.873,0.701,0,1,PTPRD
1.67730062742074e-227,1.09523146424873,0.471,0.329,5.21841771203141e-223,1,KHDRBS2
0,1.09216158524335,0.816,0.63,0,1,LRRTM4
5.25538347555501e-252,1.09184860572062,0.505,0.361,1.63505490691468e-247,1,RYR2
0,3.5645245509738,0.662,0.007,0,10,SKAP1
0,3.13211751711285,0.56,0.029,0,10,CD247
0,2.96616751199494,0.739,0.21,0,10,FYN
0,2.91126231005576,0.741,0.166,0,10,PRKCH
0,2.79803088208838,0.407,0.016,0,10,THEMIS
0,2.73619660897398,0.535,0.051,0,10,SYNE2
0,2.66744265820473,0.536,0.039,0,10,STAT4
0,2.60981060377945,0.52,0.005,0,10,SLFN12L
0,2.56886384296949,0.505,0.055,0,10,ETS1
0,2.56701147040964,0.474,0.015,0,10,SAMD3
0,2.28029087629624,0.466,0.006,0,11,MKI67
0,2.25665394086399,0.49,0.014,0,11,CENPF
0,2.2075108477758,0.557,0.027,0,11,DIAPH3
0,2.11271693469082,0.517,0.065,0,11,APOLD1
0,2.09168944549065,0.552,0.023,0,11,AC091057.6
0,2.06625003203416,0.494,0.006,0,11,ASPM
0,1.97869110878024,0.471,0.005,0,11,TOP2A
0,1.91170026998319,0.464,0.042,0,11,EZH2
0,1.83114582124646,0.466,0.009,0,11,KNL1
0,1.81337737471696,0.401,0.015,0,11,CENPE
1.70562640445531e-280,3.44299927990753,0.44,0.062,5.30654486954137e-276,12,CEMIP
6.24911514802983e-274,2.80267627102903,0.52,0.089,1.94422470485504e-269,12,LAMA2
0,2.49645340058189,0.402,0.019,0,12,EBF1
0,2.3212772239059,0.472,0.019,0,12,AC092957.1
1.06620117474032e-174,2.2196517413172,0.453,0.097,3.31716509485209e-170,12,BICC1
1.27997080418261e-194,2.12008730932814,0.566,0.137,3.98224516597292e-190,12,CALD1
4.12012394876905e-70,2.11860360246158,0.428,0.166,1.28185296294103e-65,12,DLC1
0,1.89304504426647,0.421,0.042,0,12,SVIL
8.91145113734116e-184,1.86544279570421,0.547,0.134,2.77253067784958e-179,12,PARD3
4.53335517920993e-237,1.84733973509466,0.403,0.058,1.41041746335579e-232,12,COLEC12
5.97632166480937e-240,3.57965749885036,0.695,0.196,1.85935319635549e-235,13,ADARB2
1.22624256604042e-118,2.17593007545615,0.634,0.256,3.81508587146497e-114,13,GALNTL6
5.63490509629785e-109,2.17001629528766,0.798,0.495,1.75313167356019e-104,13,ERBB4
6.72516004321455e-86,1.97002586192168,0.658,0.332,2.09233179264491e-81,13,CNTN5
1.23381255958681e-112,1.89691379479228,0.759,0.423,3.83863763538648e-108,13,KAZN
