p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.58342751995152e-265,1.00276620892825,0.299,0.148,4.92635970007316e-261,0,IFI6
2.98877472373699e-236,0.910732416291714,0.392,0.239,9.29867592049051e-232,0,SLC11A1
4.84351349624297e-112,0.835442993900145,0.483,0.404,1.50691391895111e-107,0,FTL
1.67084781783535e-163,0.792418568261939,0.365,0.248,5.19834173084934e-159,0,PCSK1N
4.34895299070784e-162,0.791889258531421,0.405,0.292,1.35304625446902e-157,0,B2M
4.73748955386497e-193,0.791031698808924,0.494,0.366,1.47392774999847e-188,0,SPP1
1.82392931768144e-150,0.778938996609648,0.447,0.348,5.6746088931705e-146,0,APOE
3.88681366367346e-126,0.715415351617444,0.481,0.402,1.20926546704209e-121,0,GAPDH
7.16050781803078e-98,0.714744161372019,0.532,0.47,2.22777719234574e-93,0,FTH1
1.32348413299581e-63,0.696184573639977,0.211,0.15,4.11762383457656e-59,0,AC120193.1
6.80919760062794e-108,0.688613015845205,0.18,0.098,2.11847755750736e-103,0,AC068992.1
2.47458576869832e-122,0.661306288965291,0.514,0.433,7.69893124357421e-118,0,TMSB4X
1.6834303223502e-131,0.639657721603136,0.338,0.232,5.23748841889594e-127,0,UBB
0,0.635051982149808,0.975,0.892,0,0,PLXDC2
7.95554276908889e-93,0.626777647416745,0.398,0.321,2.47512846631894e-88,0,UCHL1
0,0.604684418595878,0.843,0.725,0,0,DOCK8
4.60823670353173e-122,0.603308493440877,0.274,0.176,1.43371460320279e-117,0,HLA-A
2.32947176837458e-64,0.587195775651235,0.531,0.508,7.247452565767e-60,0,NRGN
1.04028915246052e-122,0.586196631998688,0.452,0.364,3.23654761113517e-118,0,NPL
1.61903981679523e-195,0.583092990047608,0.636,0.533,5.03715667801332e-191,0,SRGAP2B
9.78495530869455e-66,0.581895949183295,0.265,0.194,3.04429529564105e-61,0,CCDC26
8.73044217953435e-73,0.577839985117261,0.397,0.335,2.71621517089673e-68,0,A2M
6.11610800743195e-103,0.570741320672038,0.362,0.269,1.90284352327223e-98,0,MSR1
1.27363998589386e-293,0.570386114233289,0.8,0.684,3.96254872411298e-289,0,SRGAP2
6.76982859554662e-261,0.568897051541335,0.83,0.743,2.10622907264647e-256,0,NEAT1
9.36535938302415e-130,0.565213393687611,0.528,0.449,2.91375061124647e-125,0,GRB2
4.04292941529471e-140,0.563930530724989,0.5,0.402,1.25783619968649e-135,0,DENND3
5.13681397511675e-282,0.556292692201691,0.798,0.689,1.59816556393832e-277,0,APBB1IP
1.7030565779781e-87,0.554746722397775,0.277,0.198,5.29854962540545e-83,0,C1QB
8.08884700331568e-103,0.553104153963778,0.223,0.138,2.51660207967157e-98,0,HLA-C
0,0.551500835530158,0.87,0.774,0,0,MEF2A
1.02741168447475e-79,0.549735213345064,0.408,0.341,3.19648323273785e-75,0,TUBA1A
3.23960583267659e-17,0.548835681790903,0.392,0.396,1.00790616666234e-12,0,AC008691.1
3.31493830411177e-62,0.547684363904409,0.142,0.089,1.03134360517525e-57,0,AC044781.1
0,0.547504442121289,0.837,0.728,0,0,ST6GAL1
2.07348784283095e-101,0.540740096000282,0.463,0.384,6.45103537661566e-97,0,UBC
3.41603365813134e-75,0.536403605536029,0.378,0.309,1.06279639171782e-70,0,CST3
1.04232686167643e-279,0.536148987850891,0.787,0.673,3.2428873320477e-275,0,CHST11
1.1150116928054e-212,0.53350141228889,0.686,0.58,3.46902437865615e-208,0,ADAM28
1.11037032491844e-108,0.533100985683654,0.485,0.403,3.45458415488627e-104,0,NCK2
5.07844564674421e-62,0.532760825766649,0.455,0.413,1.58000600961506e-57,0,CLU
3.03797866115496e-177,0.525507017942755,0.683,0.593,9.4517592105853e-173,0,MAML3
1.60833592729927e-131,0.525147849675543,0.597,0.518,5.00385473701349e-127,0,MERTK
1.29677480460372e-301,0.524653605820212,0.833,0.708,4.03452577208309e-297,0,ARHGAP24
