cluster	n_donors	mean_prop_ASD	mean_prop_Control	effect_ASD_minus_Control	wilcox_p	wilcox_fdr	core_microglia_score_z	risk_lipid_phago_score_z	n_core_microglia_markers_in_top50	n_risk_lipid_phago_markers_in_top50	flag_SPP1_top50	flag_GAS6_top50	flag_APOE_top50	flag_P2RY12_top50	flag_CX3CR1_top50	flag_TMEm119_top50	top50_preview	n_signature_genes	top_marker_preview	abundance_effect_pos	abundance_effect_pos_z	abundance_p_support	abundance_p_support_z	core_microglia_score_z_scaled	risk_lipid_phago_score_z_scaled	marker_flag_sum	marker_flag_sum_z	heuristic_priority_score	heuristic_rank
2	54	0.130971835279455	0.0829545006973854	0.04801733458207	0.0993474751492801	0.343342392007267	2.13090488456314	0.696684819452818	3	1	1	0	0	1	1	0	SRGAP2B, ARHGAP24, SRGAP2, APBB1IP, HS3ST4, MAML3, PLXDC2, SRGAP2C, BLNK, DOCK8, CHST11, TLR2	50	SRGAP2B, ARHGAP24, SRGAP2, APBB1IP, HS3ST4, MAML3, PLXDC2, SRGAP2C, BLNK, DOCK8, CHST11, TLR2	0.04801733458207	2.91691898441457	1.00284316572245	3.62598429241315	2.46746706218486	1.06707145403236	4	1.77987070598985	9.18643382706379	1
0	59	0.369953576214004	0.325119902045371	0.0448336741686329	0.312767818637536	0.471861290981095	1.69485876309871	0.788355015426908	3	3	1	0	1	1	0	0	IFI6, SLC11A1, FTL, PCSK1N, B2M, SPP1, APOE, GAPDH, FTH1, AC120193.1, AC068992.1, TMSB4X	50	IFI6, SLC11A1, FTL, PCSK1N, B2M, SPP1, APOE, GAPDH, FTH1, AC120193.1, AC068992.1, TMSB4X	0.0448336741686329	2.69814793540192	0.504777938819139	1.63377877122182	1.96255037158019	1.20747733999142	6	2.94599289267286	7.96151921376461	2
5	51	0.0278257252007803	0.0290762437003873	-0.001250518499607	0.712880663755074	0.797508211797955	-0.280044164377812	1.64269743499314	0	2	0	0	1	0	0	0	F13A1, COLEC12, IQGAP2, NAMPT, SELENOP, DPYD, CD163, VCAN, KYNU, CR1, STARD13, TGFBI	50	F13A1, COLEC12, IQGAP2, NAMPT, SELENOP, DPYD, CD163, VCAN, KYNU, CR1, STARD13, TGFBI	0	-0.382679996988625	0	-0.385276851158107	-0.324275267547193	2.51602373347258	3	1.19680961264835	2.38107038937288	3
11	36	0.0177870595624088	0.00962019846618363	0.00816686109622515	0.899138149815079	0.899138149815079	0.303640579216518	0.901617157440968	0	1	1	0	0	0	0	0	MKI67, CENPF, DIAPH3, APOLD1, AC091057.6, ASPM, TOP2A, EZH2, KNL1, CENPE, LINC01572, Z94721.1	50	MKI67, CENPF, DIAPH3, APOLD1, AC091057.6, ASPM, TOP2A, EZH2, KNL1, CENPE, LINC01572, Z94721.1	0.00816686109622515	0.178520802449922	0.0461735751267295	-0.20058768529817	0.351598578325606	1.38095434880681	2	0.613748519306845	1.9430534037651	4
7	52	0.0513619850685294	0.0581398326197625	-0.00677784755123309	0.190691871827333	0.402571729413257	0.804489638197449	0.533567870946138	0	0	0	0	0	0	0	0	HSPH1, CD83, SNAP23, P4HA1, DNAJA4, BAG3, SESN3, HSPD1, ABHD3, PTGES3, SERPINE1, NFKB1	50	HSPH1, CD83, SNAP23, P4HA1, DNAJA4, BAG3, SESN3, HSPD1, ABHD3, PTGES3, SERPINE1, NFKB1	0	-0.382679996988625	0	-0.385276851158107	0.931553397104431	0.817234749456175	0	-0.55237366737616	0.260685769667583	5
6	48	0.0305538086984461	0.0429504216310609	-0.0123966129326148	0.0272289056725936	0.182270844925854	0.73417845021058	-0.0755228822810985	1	1	0	0	0	1	0	0	SV2B, CAMK2A, CREG2, NPTXR, ENC1, CALM1, OLFM1, AC244021.1, ATP2B2, SYNDIG1, GABRB2, MAF	50	SV2B, CAMK2A, CREG2, NPTXR, ENC1, CALM1, OLFM1, AC244021.1, ATP2B2, SYNDIG1, GABRB2, MAF	0	-0.382679996988625	0	-0.385276851158107	0.850137027130577	-0.115673988521382	2	0.613748519306845	-0.0132578412870981	6
3	52	0.0996659047695417	0.0953608461708049	0.00430505859873678	0.755534095387536	0.797508211797955	0.0352151901242937	-0.22655340132805	0	0	0	0	0	0	0	0	ST18, CTNNA3, RNF220, SLC24A2, KCNH8, MOBP, AC026316.5, TF, C10orf90, SLC44A1, CLMN, IL1RAPL1	50	ST18, CTNNA3, RNF220, SLC24A2, KCNH8, MOBP, AC026316.5, TF, C10orf90, SLC44A1, CLMN, IL1RAPL1	0.00430505859873678	-0.0868500203581194	0.121745932245474	0.101693339292676	0.0407771939281495	-0.346998614898728	0	-0.55237366737616	-0.663529567284328	7
18	42	0.0069965156480735	0.0129711846197658	-0.00597466897169229	0.65939885822075	0.797508211797955	-0.606133018490722	0.203740398123743	0	1	0	0	0	0	0	0	BANK1, BACH2, EBF1, AFF3, RIPOR2, OSBPL10, SEL1L3, FCRL1, IGHM, PAX5, RALGPS2, BLK	50	BANK1, BACH2, EBF1, AFF3, RIPOR2, OSBPL10, SEL1L3, FCRL1, IGHM, PAX5, RALGPS2, BLK	0	-0.382679996988625	0	-0.385276851158107	-0.701867675682371	0.3120572700892	1	0.0306874259653423	-0.711365590087891	8
4	55	0.0491782049582245	0.0815576359414706	-0.0323794309832461	0.0383728094580746	0.182270844925854	0.347136109432274	-0.0491945670076567	0	0	0	0	0	0	0	0	GPC5, ADGRV1, SLC1A2, RNF219-AS1, NKAIN3, HPSE2, SLC4A4, RYR3, AC002429.2, ZNF98, NPAS3, MMD2	50	GPC5, ADGRV1, SLC1A2, RNF219-AS1, NKAIN3, HPSE2, SLC4A4, RYR3, AC002429.2, ZNF98, NPAS3, MMD2	0	-0.382679996988625	0	-0.385276851158107	0.401963936693841	-0.0753484454973222	0	-0.55237366737616	-0.896692155491209	9
17	41	0.00593927353624098	0.00945976086362234	-0.00352048732738136	0.0331085511030372	0.182270844925854	-0.137540096496751	-0.013774984644875	0	0	0	0	0	0	0	0	FLT1, ABCB1, MECOM, ATP10A, EPAS1, PLPP1, CLDN5, WWTR1, PTPRG, VWF, ANO2, COBLL1	50	FLT1, ABCB1, MECOM, ATP10A, EPAS1, PLPP1, CLDN5, WWTR1, PTPRG, VWF, ANO2, COBLL1	0	-0.382679996988625	0	-0.385276851158107	-0.159263635037861	-0.0210983395702877	0	-0.55237366737616	-1.12305583543003	10
