signature	gene
candidate_state	PICALM
candidate_state	SRGAP2B
candidate_state	BMP2K
candidate_state	BNC2
candidate_state	DLEU2
candidate_state	BLNK
candidate_state	SRGAP2
candidate_state	SOCS6
candidate_state	GNB4
candidate_state	B3GNT5
candidate_state	GAB2
candidate_state	TCF12
candidate_state	PTPRC
candidate_state	SRGAP2C
candidate_state	DOCK4
candidate_state	RAP1A
candidate_state	TLR2
candidate_state	SPRED1
candidate_state	CALCR
candidate_state	MAML2
candidate_state	CPVL
candidate_state	HCLS1
candidate_state	TGFBR1
candidate_state	PLA2G4A
candidate_state	LYN
candidate_state	NPL
candidate_state	MEF2A
candidate_state	DOCK8
candidate_state	IL13RA1
candidate_state	PIK3AP1
candidate_state	AL034397.3
candidate_state	MGAT4A
candidate_state	ENTPD1
candidate_state	SCIN
candidate_state	OLR1
candidate_state	RNF13
candidate_state	FAM49B
candidate_state	LINC01001
candidate_state	RANBP9
candidate_state	B4GALT1
candidate_state	WASHC4
candidate_state	RHOQ
candidate_state	FGD4
candidate_state	KCNK13
candidate_state	IL6ST
candidate_state	CCNH
candidate_state	C1QC
candidate_state	HIF1A
candidate_state	CHST11
candidate_state	WNT5A
candidate_state	FCGR2A
candidate_state	ARHGAP24
candidate_state	ATP11C
candidate_state	WSB1
candidate_state	TM6SF1
candidate_state	PELI1
candidate_state	PDK4
candidate_state	MAML3
candidate_state	PRKCH
candidate_state	APBB1IP
candidate_state	AC011933.4
candidate_state	PHC2
candidate_state	FAM135A
candidate_state	RAF1
candidate_state	PLAG1
candidate_state	RREB1
candidate_state	PLD1
candidate_state	PGM5
candidate_state	DIP2B
candidate_state	SRGN
candidate_state	SAMSN1
candidate_state	FBXO11
candidate_state	PTBP3
candidate_state	ARHGAP15
candidate_state	RAB30-AS1
candidate_state	IL1RAP
candidate_state	SUSD6
candidate_state	MED13L
candidate_state	HAVCR2
candidate_state	CDK6
candidate_state	VSIG4
candidate_state	CDC123
candidate_state	HNRNPC
candidate_state	SRGAP1
candidate_state	UVRAG
candidate_state	SNX13
candidate_state	PHC3
candidate_state	SUCLG2
candidate_state	PAG1
candidate_state	APAF1
candidate_state	CEBPB
candidate_state	AC244453.3
candidate_state	STX7
candidate_state	GNAQ
candidate_state	RUBCNL
candidate_state	ST8SIA4
candidate_state	ANKS1A
candidate_state	GPR34
candidate_state	PKD2
candidate_state	C9orf84
