signature	gene
reference_like	CTNNA2
reference_like	ROBO2
reference_like	CSMD3
reference_like	NRG3
reference_like	GPM6A
reference_like	ADGRL3
reference_like	FP671120.1
reference_like	NKAIN2
reference_like	RIMS2
reference_like	SYT1
reference_like	DLGAP2
reference_like	CNTN5
reference_like	SPARCL1
reference_like	PPP2R2B
reference_like	NRXN3
reference_like	ARPP21
reference_like	FP236383.1
reference_like	LRP1B
reference_like	RBFOX1
reference_like	SLC24A2
reference_like	NCAM2
reference_like	DMD
reference_like	GRM5
reference_like	LINGO2
reference_like	CADM1
reference_like	LRRTM4
reference_like	SLC1A2
reference_like	RGS6
reference_like	CADM2
reference_like	FRMD5
reference_like	CCSER1
reference_like	CSMD1
reference_like	KCNIP4
reference_like	GRIK2
reference_like	PLCB1
reference_like	ANK2
reference_like	IQCJ-SCHIP1
reference_like	AC092683.1
reference_like	ZNF385B
reference_like	CLU
reference_like	PCDH9
reference_like	DCC
reference_like	COL19A1
reference_like	DPP10
reference_like	FAM19A2
reference_like	FAM155A
reference_like	TIMM23B
reference_like	XKR4
reference_like	LSAMP
reference_like	GABRB1
reference_like	DANT2
reference_like	NTM
reference_like	ERBB4
reference_like	CNTNAP2
reference_like	DCLK1
reference_like	CHRM3
reference_like	MYT1L
reference_like	PLP1
reference_like	MTUS2
reference_like	AGBL4
reference_like	ATRNL1
reference_like	GRIA2
reference_like	CNTN1
reference_like	PCDH15
reference_like	MT3
reference_like	LRFN5
reference_like	AC244021.1
reference_like	DGKB
reference_like	PRKG1
reference_like	OPCML
reference_like	NCAM1
reference_like	DST
reference_like	ADGRL2
reference_like	AC245060.5
reference_like	CDC42BPA
reference_like	PTPRD
reference_like	PCDH7
reference_like	PNISR
reference_like	CACNA1B
reference_like	ANKRD30BL
reference_like	RYR2
reference_like	NELL2
reference_like	ADARB2
reference_like	DLGAP1
reference_like	SGCZ
reference_like	PDE1A
reference_like	GPC6
reference_like	SON
reference_like	ADGRV1
reference_like	EDIL3
reference_like	NRXN1
reference_like	GRIP1
reference_like	CDH12
reference_like	PTPRK
reference_like	HSP90AA1
reference_like	BPTF
reference_like	SPOCK3
reference_like	ANKS1B
reference_like	FAM19A1
reference_like	NEBL
