gene	logFC	logCPM	F	PValue	FDR	analysis	neglog10p	direction
SPP1	2.65573345645385	10.0948204872064	28.8154628045049	1.6346287478626e-06	0.00726755941299714	pooled_retained	5.78658086750684	ASD_up
FCGR2A	1.60679286789532	6.48744630789688	21.1929932677673	2.48279008761832e-05	0.0326892024758065	pooled_retained	4.60505999717631	ASD_up
ZC3HAV1	1.26815666942313	7.76901531291818	20.7446674315022	2.94099887321696e-05	0.0326892024758065	pooled_retained	4.53150514188387	ASD_up
ELL2	0.908231142081615	8.51227920175476	21.4911232996851	2.1870457029527e-05	0.0326892024758065	pooled_retained	4.66014214136439	ASD_up
ACSL1	2.01733207486323	7.26996116319081	17.7686713209654	9.32792211101953e-05	0.0557519050776753	pooled_retained	4.03021508896753	ASD_up
CHST15	0.984918907412535	7.78096587564781	17.5775990325548	0.000100318317728611	0.0557519050776753	pooled_retained	3.99861975928157	ASD_up
GNA13	0.865263439078709	7.40788423765283	18.0242881985686	8.3112123348227e-05	0.0557519050776753	pooled_retained	4.08033562219405	ASD_up
STXBP3	0.715413719013557	6.85397220783612	18.4780843450126	6.91261632272426e-05	0.0557519050776753	pooled_retained	4.16035754749307	ASD_up
MYO1E	1.40251683343098	7.67160182042854	15.5513134615669	0.00022866942631923	0.1129626966017	pooled_retained	3.64079189778267	NS
HSPA1B	1.67447891615851	6.75747295585837	13.79948565495	0.000475947523584261	0.116058276903562	pooled_retained	3.32244092852767	NS
P4HA1	1.27800738798974	8.29694496846701	14.5046214918322	0.000353362548987304	0.116058276903562	pooled_retained	3.45177948094706	NS
FAM129A	1.16744691636796	7.22833502448062	13.6505085402223	0.000507105959808296	0.116058276903562	pooled_retained	3.29490128533727	NS
HIF1A	1.07897001982732	8.15750669831209	13.7261300488988	0.000491032234393911	0.116058276903562	pooled_retained	3.30888999716441	NS
PGK1	1.00228859686197	6.95626791133904	14.4864136996062	0.000355037606420055	0.116058276903562	pooled_retained	3.44972564301334	NS
