gene	logFC	logCPM	F	PValue	FDR	analysis	neglog10p	direction
SPP1	2.66359333355688	10.2923678140812	29.5982865475704	1.0401207189595e-06	0.00266894976485007	cluster0	5.98291625249409	ASD_up
ZC3HAV1	1.21944055310075	7.88576434276949	19.0968817388946	4.8664659416405e-05	0.0560811008116765	cluster0	4.31278631172338	ASD_up
CHST15	1.04433921473465	8.00983569424242	18.3433304970043	6.55663688367223e-05	0.0560811008116765	cluster0	4.18331886754352	ASD_up
P4HA1	1.29965935750279	8.38562924909566	16.4484405071387	0.000144678942215812	0.0748877929102647	cluster0	3.83959467513516	ASD_up
STAT3	0.717294127826122	7.98645839502935	16.3574432000422	0.000145923212997398	0.0748877929102647	cluster0	3.83587561643563	ASD_up
HIF1A	1.04627118534506	8.26613285314488	14.7425887451996	0.000293683443340657	0.0972901730242678	cluster0	3.53212053651592	ASD_up
LY96	0.997226473183948	7.33349582517863	14.6573741568225	0.000303320882382752	0.0972901730242678	cluster0	3.51809768928905	ASD_up
ELL2	0.793676302216128	8.64383259731227	15.153844015087	0.000242833493230535	0.0972901730242678	cluster0	3.61469141264612	ASD_up
SCIN	1.09735871661525	7.46271432865989	13.7785005232509	0.000444843594069793	0.103769878398463	cluster0	3.35179265906935	NS
WLS	-0.655493029473737	7.51739635546641	13.8737868682466	0.000420818706013359	0.103769878398463	cluster0	3.37590496339372	NS
REL	0.576475668624193	7.99352569178796	14.0635223218944	0.000387518992236797	0.103769878398463	cluster0	3.41170700794086	NS
INTS6	0.534447035390589	7.66435215772285	13.3517984717769	0.000528674894689254	0.113048314981052	cluster0	3.27681131255082	NS
GNA13	0.742614172807987	7.54847164134436	12.2723182297381	0.000853091181312287	0.152682837386879	cluster0	3.06900454746737	NS
ASAP1	0.604589997301563	8.3842288993837	12.1714180438978	0.000892534123461878	0.152682837386879	cluster0	3.0493751709044	NS
RUFY3	0.39157562495894	8.01029933513551	12.3018321143747	0.000841900053278164	0.152682837386879	cluster0	3.074739462997	NS
CDH13	-1.09781164572005	7.676682500113	11.6864462536878	0.00112551880240767	0.180505077936129	cluster0	2.94864724547582	NS
AP003481.1	-0.878139915900002	9.47957429546445	11.3146734973979	0.00132796024407645	0.184116606280358	cluster0	2.87681492650164	NS
MBNL2	0.702116896130066	8.73214954812439	11.2283709995181	0.00137136979583998	0.184116606280358	cluster0	2.86284542001902	NS
PHACTR2	0.669620842179474	8.23221046535594	11.0323219883643	0.00149552274554371	0.184116606280358	cluster0	2.8252069773575	NS
RALGPS2	0.620214681925004	7.77515177792501	11.0435316095977	0.00148786450854647	0.184116606280358	cluster0	2.82743661574565	NS
MPZL1	0.589688876004809	8.23795798136803	10.7253136159223	0.00172205711252089	0.184116606280358	cluster0	2.76395244914174	NS
CTNNB1	0.515541683638532	7.8780296880043	10.9569969298488	0.00154806087481077	0.184116606280358	cluster0	2.81021196543957	NS
UBE2D3	0.478943626278126	8.34247371150089	10.758229915283	0.00169614295374093	0.184116606280358	cluster0	2.77053754747759	NS
KDM3B	-0.457153622891956	7.53160368177421	10.8748320404103	0.00160756926151464	0.184116606280358	cluster0	2.79383030658687	NS
HSPH1	1.39449676969382	8.59975559933847	9.83823430522015	0.0026511307689838	0.193595106723517	cluster0	2.57656884984239	NS
SRGN	1.17167372390533	7.85212069623096	9.72533798210961	0.00278617578510401	0.193595106723517	cluster0	2.55499148658674	NS
NEAT1	0.972582802363178	11.6699633339669	9.89043911565135	0.00257641111944377	0.193595106723517	cluster0	2.58898483515553	NS
MITF	0.911575073871566	7.5141357311684	9.67875482533733	0.00282560263493237	0.193595106723517	cluster0	2.54888891311383	NS
STARD13	0.818811628117568	7.9401872939526	9.79751804634362	0.00267258869010419	0.193595106723517	cluster0	2.57306787377728	NS
NCK2	0.805866233488528	9.2897581129309	9.91241594362102	0.00253278211669266	0.193595106723517	cluster0	2.59640216890983	NS
CHSY1	0.691164415118776	7.97141595312092	10.0488611088446	0.00235921000218989	0.193595106723517	cluster0	2.62723339920216	NS
CDK6	0.622388081873989	8.39915031621621	10.2801383984952	0.00211607667814024	0.193595106723517	cluster0	2.6744685992598	NS
DUSP16	0.618735886722819	7.54021167230524	9.70333407518352	0.00277129670045848	0.193595106723517	cluster0	2.55731697530983	NS
CCPG1	-0.588852472149422	7.16520862026443	9.4603017976353	0.00310790708788476	0.193595106723517	cluster0	2.50753197308287	NS
GPRIN3	0.578633346499245	8.18942696754001	9.419327455249	0.00316874297832724	0.193595106723517	cluster0	2.49911298568223	NS
MORC3	0.507024544188051	7.98634119892756	9.4803757556673	0.00307854943438212	0.193595106723517	cluster0	2.51165386825181	NS
OSBPL6	-0.476677644831236	8.2339427311523	9.98971659750932	0.00242294298512294	0.193595106723517	cluster0	2.61565680523427	NS
RBM47	0.448806138669769	9.52814169178112	9.85490262342557	0.00258085264976466	0.193595106723517	cluster0	2.58823679019495	NS
KDM4C	0.428130294166741	8.97327905866874	9.51764741903603	0.00302480669150851	0.193595106723517	cluster0	2.51930237489373	NS
CDC73	0.409692827525008	7.80958197286003	10.2858804081752	0.00211043567158519	0.193595106723517	cluster0	2.67562788108425	NS
SKAP2	0.385013409009512	9.29172628893507	9.52079599964413	0.00302031183480881	0.193595106723517	cluster0	2.51994821560401	NS
CSNK1A1	0.322241048312795	8.77224376371501	9.494825959912	0.0030575959001185	0.193595106723517	cluster0	2.51461991262721	NS
HSPA1A	1.24574609612217	8.29924806725413	9.3682289585229	0.00330389395335856	0.197157950798095	cluster0	2.48097390088263	NS
B2M	1.26492978476488	8.0894099204351	9.23431877742016	0.00351919578762293	0.203963028183932	cluster0	2.453556570869	NS
IFNGR2	0.449176776612752	8.31140538286319	9.16404781111684	0.00357690423549374	0.203963028183932	cluster0	2.44649268706752	NS
SEC14L1	0.516380507480335	8.28714290320271	9.05534440579821	0.00376706596287307	0.210136766537659	cluster0	2.4239967750553	NS
FNDC3B	0.626165147670629	8.3908947045778	8.86469627774294	0.00412987293613558	0.225473488385615	cluster0	2.38406331008308	NS
AC011287.1	-0.932695563449359	7.34758218010224	8.73398725936596	0.00443018468555439	0.226478130339575	cluster0	2.35357816852969	NS
ARID5B	0.727671034125361	7.70571569608205	8.6142259671084	0.00467784135151889	0.226478130339575	cluster0	2.32995451132727	NS
SNCA	0.65663650180287	8.59642289071044	8.67462289486629	0.00454259198356882	0.226478130339575	cluster0	2.34269626984229	NS
C4orf19	-0.5870817599133	7.4612737558245	8.63515593907652	0.00460759201858199	0.226478130339575	cluster0	2.33652598269308	NS
VAPA	0.525508266479307	7.39034655149426	8.68868898787483	0.00449038823879628	0.226478130339575	cluster0	2.34771610828896	NS
AGTPBP1	0.476608720331779	7.90644291973074	8.6499642414421	0.00457485400972571	0.226478130339575	cluster0	2.33962276034773	NS
C1QB	1.0041061611999	7.92876330864644	8.51527845051846	0.00493124767235797	0.22770133078281	cluster0	2.30704318444165	NS
SOAT1	0.52899586696979	7.33956714014266	8.45550668742974	0.00502489573743087	0.22770133078281	cluster0	2.29887294507727	NS
NR3C2	-0.485285040706944	8.12870056546623	8.52052225672178	0.00486947690952885	0.22770133078281	cluster0	2.31251768919739	NS
PDE8A	0.465891650450821	8.04018883466028	8.44190716487481	0.00505805762066257	0.22770133078281	cluster0	2.29601622754336	NS
GPBP1	0.487157175854385	8.60346015255646	8.26577531234867	0.00550889043409008	0.240562400773654	cluster0	2.25893586519126	NS
RANBP2	0.476185676140945	8.06719514753865	8.25743825733102	0.0055312477184901	0.240562400773654	cluster0	2.25717689109435	NS
AC007262.2	0.759549281857835	7.35396894044726	8.13345448813457	0.00590567647041092	0.246760795502987	cluster0	2.22873034859408	NS
RB1	0.445686228930057	9.28755453424272	8.10327732450063	0.00596226395993187	0.246760795502987	cluster0	2.22458880089577	NS
DOCK11	0.354940031960366	8.83594035452949	8.16712186421855	0.00577963730146118	0.246760795502987	cluster0	2.23809941467919	NS
CYTH1	0.527143194793067	7.78340584685498	8.01919180219701	0.00621207594497364	0.253018839282577	cluster0	2.20676324349703	NS
HDAC4	0.534033720941447	7.97781614736167	7.86098936782283	0.00671232803620348	0.260967177892396	cluster0	2.1731268273832	NS
FMNL2	0.532326723075279	10.2670332744573	7.87066838101686	0.00668053932013959	0.260967177892396	cluster0	2.17518847550261	NS
DENND1A	0.394183724228085	9.11260854919661	7.88174167920717	0.00664436513962266	0.260967177892396	cluster0	2.17754650900724	NS
PTGES3	0.865766436992526	8.22771704091168	7.79242728453119	0.00699219584362808	0.26304282062375	cluster0	2.15538641609793	NS
RBPJ	0.579067132494513	8.07368243788012	7.75490825937761	0.00707324809939157	0.26304282062375	cluster0	2.15038110845127	NS
TMEM165	0.442121128800256	8.05956582903879	7.79289321997774	0.00694051439497596	0.26304282062375	cluster0	2.15860834069489	NS
TFDP2	-0.475093048302882	7.46792681842782	7.71083916010018	0.00722634270264478	0.264897076785522	cluster0	2.14108144626393	NS
PEX5L	-0.653294698704427	7.5703997543685	7.65021992886611	0.00746537300352253	0.269804889113223	cluster0	2.12694848809642	NS
FCGBP	0.72032089867937	7.58749498423856	7.49595426938928	0.00807146556190317	0.284859852980232	cluster0	2.09304760187525	NS
