cluster	n_signature_genes	top_marker_preview
0	50	IFI6, SLC11A1, FTL, PCSK1N, B2M, SPP1, APOE, GAPDH, FTH1, AC120193.1, AC068992.1, TMSB4X
1	50	RALYL, KCNIP4, NRG1, CNTNAP2, ATRNL1, IQCJ-SCHIP1, PTPRD, KHDRBS2, LRRTM4, RYR2, CCSER1, ROBO2
2	50	SRGAP2B, ARHGAP24, SRGAP2, APBB1IP, HS3ST4, MAML3, PLXDC2, SRGAP2C, BLNK, DOCK8, CHST11, TLR2
3	50	ST18, CTNNA3, RNF220, SLC24A2, KCNH8, MOBP, AC026316.5, TF, C10orf90, SLC44A1, CLMN, IL1RAPL1
4	50	GPC5, ADGRV1, SLC1A2, RNF219-AS1, NKAIN3, HPSE2, SLC4A4, RYR3, AC002429.2, ZNF98, NPAS3, MMD2
5	50	F13A1, COLEC12, IQGAP2, NAMPT, SELENOP, DPYD, CD163, VCAN, KYNU, CR1, STARD13, TGFBI
6	50	SV2B, CAMK2A, CREG2, NPTXR, ENC1, CALM1, OLFM1, AC244021.1, ATP2B2, SYNDIG1, GABRB2, MAF
7	50	HSPH1, CD83, SNAP23, P4HA1, DNAJA4, BAG3, SESN3, HSPD1, ABHD3, PTGES3, SERPINE1, NFKB1
8	50	LHFPL3, PCDH15, TNR, VCAN, PTPRZ1, LRRC4C, SOX6, AC004852.2, SEMA5A, SLC35F1, LUZP2, XYLT1
9	50	DLGAP2, ASIC2, STXBP5L, AGBL4, KCNIP4, CNTNAP5, IQCJ-SCHIP1, CACNA1B, OPCML, RBFOX3, CSMD1, KCNQ5
10	50	SKAP1, CD247, FYN, PRKCH, THEMIS, SYNE2, STAT4, SLFN12L, ETS1, SAMD3, CBLB, SYTL3
11	50	MKI67, CENPF, DIAPH3, APOLD1, AC091057.6, ASPM, TOP2A, EZH2, KNL1, CENPE, LINC01572, Z94721.1
12	50	CEMIP, LAMA2, EBF1, AC092957.1, BICC1, CALD1, DLC1, SVIL, PARD3, COLEC12, PHLDB2, TRPM3
13	50	ADARB2, GALNTL6, ERBB4, CNTN5, KAZN, GRIP1, C8orf34, ZNF385D, PLD5, GRIK2, INPP4B, DLX6-AS1
14	50	GPC5, SLC1A2, ADGRV1, ST18, RNF219-AS1, FBXL7, CTNNA3, RNF220, NKAIN3, NPAS3, NTM, PPP2R2B
15	50	GRIK1, KIAA1217, NXPH1, ROBO2, GRIP1, XKR4, ROBO1, SPOCK3, SYNPR, AC092683.1, PCDH11X, NRXN3
16	50	ERBB4, ZNF385D, CNTN5, DPP10, GRIP1, ZNF804A, NXPH1, KIAA1217, KAZN, CNTNAP2, GABRG3, DLGAP1
17	50	FLT1, ABCB1, MECOM, ATP10A, EPAS1, PLPP1, CLDN5, WWTR1, PTPRG, VWF, ANO2, COBLL1
18	50	BANK1, BACH2, EBF1, AFF3, RIPOR2, OSBPL10, SEL1L3, FCRL1, IGHM, PAX5, RALGPS2, BLK
