output_file	description
01_microglia_allcluster_umap	all-cluster UMAP with unique colors
02_microglia_umap_by_donor	UMAP colored by donor
03_allcluster_markers	all microglia cluster markers
04_allcluster_markers_top10	top10 markers per cluster
06_allcluster_donor_proportions	donor-level cluster proportions
07_allcluster_abundance_stats	donor-level abundance statistics
08_allcluster_donor_proportions_boxplot	boxplot of donor-level cluster proportions
09_curated_program_scores	homeostatic and activation/phagocytic program scores
10_marker_support	marker support summary
11_cluster_prioritization	heuristic prioritization of clusters
13_cluster2_summary	Cluster 2 summary table
16_homeostatic_marker_dotplot	homeostatic marker dotplot
17_curated_gene_dotplot	candidate/homeostatic curated gene dotplot
18_curated_gene_featureplots_umap	UMAP feature plots for curated genes
