cluster	lineage	anchor_score	support_score	total_score	n_anchor_genes_used	n_support_genes_used
0	microglia	1.69495411594452	0.78944267135667	1.46857625479756	10	17
1	microglia	0.00697773643971601	-0.382711945989005	-0.0904446841674642	10	17
2	microglia	2.0802444163634	0.760748126389189	1.75037034386985	10	17
3	microglia	0.0820541817247115	-0.27574384105422	-0.00739532397002142	10	17
4	microglia	0.336037058899217	-0.0346823349258411	0.243357210442953	10	17
5	microglia	-0.31880567535764	1.59365507968294	0.159309513402504	10	17
6	microglia	0.698008226523446	-0.0448960418123215	0.512282159439504	10	17
7	microglia	0.834489476753662	0.494809952086872	0.749569595586965	10	17
8	microglia	-0.424762201104731	-0.418622948705676	-0.423227388004967	10	17
9	microglia	-1.24421664056435	-0.902327562848358	-1.15874437113535	10	17
10	microglia	-1.15341325982255	-0.543410095073267	-1.00091246863523	10	17
11	microglia	0.309301736336167	0.932647661530281	0.465138217634696	10	17
12	microglia	-0.307910305923845	0.0121478459835654	-0.227895767946992	10	17
13	microglia	-0.440091461150282	-0.441861227240122	-0.440533902672742	10	17
14	microglia	-0.495841785332931	-0.300698640325326	-0.44705599908103	10	17
15	microglia	-0.368673807823054	-0.726576725872996	-0.458149537335539	10	17
16	microglia	-0.543056854575034	-0.685138618677953	-0.578577295600764	10	17
17	microglia	-0.152711873946016	-0.0376987597505433	-0.123958595397148	10	17
18	microglia	-0.592583083384414	0.210917405246115	-0.391707961226782	10	17
0	t_cell	-0.251156046182441	-0.264960539347436	-0.25460716947369	6	3
1	t_cell	-0.240370907589354	-0.280235419714003	-0.250337035620516	6	3
2	t_cell	-0.252236945891169	-0.277988800672294	-0.258674909586451	6	3
3	t_cell	-0.243526188208552	-0.305116341714442	-0.258923726585024	6	3
4	t_cell	-0.260469001474623	-0.29105756213994	-0.268116141640952	6	3
5	t_cell	-0.181923506977253	-0.248692833038294	-0.198615838492513	6	3
6	t_cell	-0.265829783755999	-0.280332913436792	-0.269455566176197	6	3
7	t_cell	-0.250000761053401	-0.31252103681072	-0.265630829992731	6	3
8	t_cell	-0.269156723688284	-0.257419368592098	-0.266222384914238	6	3
9	t_cell	-0.249568975766571	-0.317045801152794	-0.266438182113127	6	3
10	t_cell	4.08403392626013	3.87560420933617	4.03192649702914	6	3
11	t_cell	-0.267100986780334	-0.255951519247694	-0.264313619897174	6	3
12	t_cell	-0.16005644116592	-0.218778021451377	-0.174736836237285	6	3
13	t_cell	-0.270612996266721	-0.340587480638404	-0.288106617359641	6	3
14	t_cell	-0.244049721098993	-0.272358221299778	-0.251126846149189	6	3
15	t_cell	-0.0466831806990023	-0.219393072395974	-0.0898606536232452	6	3
16	t_cell	-0.253256573546919	-0.277718647601787	-0.259372092060636	6	3
17	t_cell	-0.288124102154204	-0.211706879914249	-0.269019796594215	6	3
18	t_cell	-0.089911083960389	0.756260249831902	0.121631749487684	6	3
0	b_cell	-0.171555574423928	-0.299082385588527	-0.203437277215078	5	4
1	b_cell	-0.304127060524735	-0.267481783602497	-0.294965741294175	5	4
2	b_cell	-0.22166433202666	-0.313357337636708	-0.244587583429172	5	4
3	b_cell	-0.315522071203699	0.567541817920759	-0.0947560989225847	5	4
4	b_cell	-0.293774779664104	-0.286893202488909	-0.292054385370306	5	4
5	b_cell	-0.106166132311577	-0.263990331611662	-0.145622182136598	5	4
6	b_cell	-0.310813275047059	-0.275477100872274	-0.301979231503362	5	4
7	b_cell	-0.16636910428413	-0.32577022041714	-0.206219383317383	5	4
8	b_cell	-0.28576792962271	-0.179363847090154	-0.259166908989571	5	4
9	b_cell	-0.247127371718814	-0.263345648450697	-0.251181940901785	5	4
10	b_cell	-0.0473813001617644	-0.234656379955211	-0.0942000701101261	5	4
11	b_cell	-0.11147034992237	-0.319887478010808	-0.16357463194448	5	4
12	b_cell	-0.0927755383530172	-0.225445925868826	-0.12594313523197	5	4
13	b_cell	-0.289055064027751	-0.274324546473387	-0.28537243463916	5	4
14	b_cell	-0.31532890888051	0.372001138104897	-0.143496397134158	5	4
15	b_cell	-0.300486841771353	-0.255109385616387	-0.289142477732611	5	4
16	b_cell	-0.267435764912631	-0.29223832808212	-0.273636405705003	5	4
17	b_cell	-0.215751866065433	-0.257946596413868	-0.226300548652542	5	4
18	b_cell	4.06257326492225	3.39482754215352	3.89563683423006	5	4
0	endothelial	-0.28186440620674	0.126250952136349	-0.179835566620968	5	4
1	endothelial	-0.251884091325742	0.0741183089743046	-0.170383491250731	5	4
2	endothelial	-0.299624963912975	0.20612143515151	-0.173188364146854	5	4
3	endothelial	-0.277308608346852	-0.290212624900234	-0.280534612485198	5	4
4	endothelial	-0.203411651783526	-0.193132085273785	-0.200841760156091	5	4
5	endothelial	-0.238811069189141	-0.622498903600241	-0.334733027791916	5	4
6	endothelial	-0.291152534540587	0.211685710376478	-0.165442973311321	5	4
7	endothelial	-0.259427226791666	-0.299006691914828	-0.269322093072457	5	4
8	endothelial	-0.257204172131837	-0.199112090819929	-0.24268115180386	5	4
9	endothelial	-0.301997062477609	-0.696979904332206	-0.400742772941258	5	4
10	endothelial	-0.0958305516291199	-0.303016358408636	-0.147627003323999	5	4
11	endothelial	-0.26381354186352	-0.0248893461410255	-0.204082492932897	5	4
12	endothelial	0.735900845896704	0.0344581071786146	0.560540161217182	5	4
13	endothelial	-0.218500692885837	-0.282782052240541	-0.234571032724513	5	4
14	endothelial	-0.232121522954334	-0.435782790202647	-0.283036839766412	5	4
15	endothelial	-0.193002568669794	-0.382296120724407	-0.240325956683447	5	4
16	endothelial	-0.255210161256059	-0.353446227877988	-0.279769177911541	5	4
17	endothelial	3.52870815783169	3.20324409574773	3.4473421423107	5	4
