lineage	tier	gene
microglia	anchor_used	P2RY12
microglia	anchor_used	CX3CR1
microglia	anchor_used	TMEM119
microglia	anchor_used	CSF1R
microglia	anchor_used	AIF1
microglia	anchor_used	C1QA
microglia	anchor_used	C1QB
microglia	anchor_used	C1QC
microglia	anchor_used	TREM2
microglia	anchor_used	TYROBP
microglia	support_used	MERTK
microglia	support_used	FCER1G
microglia	support_used	LAPTM5
microglia	support_used	SPP1
microglia	support_used	GAS6
microglia	support_used	APOE
microglia	support_used	CD74
microglia	support_used	C3
microglia	support_used	LGALS3
microglia	support_used	GPNMB
microglia	support_used	LPL
microglia	support_used	FABP5
microglia	support_used	CTSB
microglia	support_used	CTSD
microglia	support_used	LIPA
microglia	support_used	ABCA1
microglia	support_used	MSR1
t_cell	anchor_used	CD3D
t_cell	anchor_used	CD3E
t_cell	anchor_used	CD247
t_cell	anchor_used	TRBC1
t_cell	anchor_used	TRBC2
t_cell	anchor_used	THEMIS
t_cell	support_used	IL7R
t_cell	support_used	LTB
t_cell	support_used	ETS1
b_cell	anchor_used	MS4A1
b_cell	anchor_used	CD79A
b_cell	anchor_used	CD79B
b_cell	anchor_used	IGHM
b_cell	anchor_used	PAX5
b_cell	support_used	BLK
b_cell	support_used	FCRL1
b_cell	support_used	CD22
b_cell	support_used	BANK1
endothelial	anchor_used	CLDN5
endothelial	anchor_used	FLT1
endothelial	anchor_used	KDR
endothelial	anchor_used	VWF
endothelial	anchor_used	EPAS1
endothelial	support_used	ESAM
endothelial	support_used	RAMP2
endothelial	support_used	PLVAP
endothelial	support_used	EMCN
neuronal	anchor_used	RBFOX3
neuronal	anchor_used	SNAP25
neuronal	anchor_used	SYT1
neuronal	anchor_used	STMN2
neuronal	support_used	SLC17A7
neuronal	support_used	GAD1
neuronal	support_used	GAD2
neuronal	support_used	DLG4
neuronal	support_used	GRIN2B
neuronal	support_used	CAMK2A
astrocyte	anchor_used	GFAP
astrocyte	anchor_used	AQP4
astrocyte	anchor_used	ALDH1L1
astrocyte	support_used	SLC1A2
astrocyte	support_used	SLC1A3
astrocyte	support_used	GJA1
oligodendrocyte	anchor_used	MBP
oligodendrocyte	anchor_used	MOG
oligodendrocyte	anchor_used	PLP1
oligodendrocyte	support_used	MOBP
oligodendrocyte	support_used	MAG
oligodendrocyte	support_used	CNP
opc	anchor_used	PDGFRA
opc	anchor_used	VCAN
opc	anchor_used	PTPRZ1
opc	support_used	CSPG4
opc	support_used	OLIG1
opc	support_used	OLIG2
pericyte	anchor_used	PDGFRB
pericyte	anchor_used	RGS5
pericyte	support_used	MCAM
pericyte	support_used	COL1A1
pericyte	support_used	COL1A2
pericyte	support_used	TAGLN
erythroid	anchor_used	HBB
erythroid	anchor_used	HBA1
erythroid	anchor_used	HBA2
erythroid	support_used	ALAS2
erythroid	support_used	AHSP
