cluster	n_cells	frac_cells
0	10710	0.306481613964802
1	7146	0.204492774359708
10	737	0.0210902847331521
11	571	0.0163399627986836
12	523	0.0149663757332952
13	489	0.013993418228645
14	442	0.0126484475604521
15	387	0.0110745457146945
16	273	0.00781227643439691
17	222	0.00635284017742166
18	175	0.00500786950922879
2	3275	0.0937187008155673
3	2621	0.0750035770496495
4	1894	0.0541994562884533
5	1516	0.0433824581485191
6	1027	0.0293890399198741
7	990	0.0283302332236371
8	982	0.0281013020460724
9	965	0.0276148232937473
