cluster	n_donors	mean_prop_ASD	mean_prop_Control	effect_ASD_minus_Control	wilcox_p	wilcox_fdr
0	59	0.369953576214004	0.325119902045371	0.0448336741686329	0.312767818637536	0.471861290981095
1	51	0.17173066545536	0.203901316587168	-0.0321706511318077	0.190353223522368	0.402571729413257
2	54	0.130971835279455	0.0829545006973854	0.04801733458207	0.0993474751492801	0.343342392007267
3	52	0.0996659047695417	0.0953608461708049	0.00430505859873678	0.755534095387536	0.797508211797955
4	55	0.0491782049582245	0.0815576359414706	-0.0323794309832461	0.0383728094580746	0.182270844925854
5	51	0.0278257252007803	0.0290762437003873	-0.001250518499607	0.712880663755074	0.797508211797955
6	48	0.0305538086984461	0.0429504216310609	-0.0123966129326148	0.0272289056725936	0.182270844925854
7	52	0.0513619850685294	0.0581398326197625	-0.00677784755123309	0.190691871827333	0.402571729413257
8	52	0.0301663340479204	0.0296793754194818	0.000486958628438578	0.700526696022767	0.797508211797955
9	47	0.0321161981478398	0.0354698707407451	-0.00335367259290523	0.322376654078956	0.471861290981095
10	52	0.0204797770278207	0.0311455747166063	-0.0106657976887856	0.129932666814881	0.352674381354678
11	36	0.0177870595624088	0.00962019846618363	0.00816686109622515	0.899138149815079	0.899138149815079
12	46	0.0134550890088753	0.023289553584814	-0.00983446457593867	0.02312098863009	0.182270844925854
13	46	0.0163059955230131	0.0195689297363732	-0.00326293421336014	0.108423913265453	0.343342392007267
14	48	0.0165761072155675	0.0175204228220944	-0.000944315606526903	0.749268076764465	0.797508211797955
15	46	0.0139945389731786	0.0145704723946862	-0.000575933421507639	0.322852462250223	0.471861290981095
16	44	0.00951343537846741	0.011221690056263	-0.0017082546777956	0.259382511484367	0.471861290981095
17	41	0.00593927353624098	0.00945976086362234	-0.00352048732738136	0.0331085511030372	0.182270844925854
18	42	0.0069965156480735	0.0129711846197658	-0.00597466897169229	0.65939885822075	0.797508211797955
