cluster	microglia_anchor_score	microglia_support_score	microglia_total_score	t_cell_anchor_score	t_cell_support_score	t_cell_total_score	b_cell_anchor_score	b_cell_support_score	b_cell_total_score	endothelial_anchor_score	endothelial_support_score	endothelial_total_score	neuronal_anchor_score	neuronal_support_score	neuronal_total_score	astrocyte_anchor_score	astrocyte_support_score	astrocyte_total_score	oligodendrocyte_anchor_score	oligodendrocyte_support_score	oligodendrocyte_total_score	opc_anchor_score	opc_support_score	opc_total_score	pericyte_anchor_score	pericyte_support_score	pericyte_total_score	erythroid_anchor_score	erythroid_support_score	erythroid_total_score	top10_preview	n_microglia_anchor_hits_top50	n_microglia_support_hits_top50	n_t_cell_anchor_hits_top50	n_t_cell_support_hits_top50	n_b_cell_anchor_hits_top50	n_b_cell_support_hits_top50	n_endothelial_anchor_hits_top50	n_endothelial_support_hits_top50	n_neuronal_anchor_hits_top50	n_neuronal_support_hits_top50	n_astrocyte_anchor_hits_top50	n_astrocyte_support_hits_top50	n_oligodendrocyte_anchor_hits_top50	n_oligodendrocyte_support_hits_top50	n_opc_anchor_hits_top50	n_opc_support_hits_top50	n_pericyte_anchor_hits_top50	n_pericyte_support_hits_top50	n_erythroid_anchor_hits_top50	n_erythroid_support_hits_top50	n_cells	frac_cells	n_donors	mean_prop_ASD	mean_prop_Control	effect_ASD_minus_Control	wilcox_p	wilcox_fdr	suggested_superclass	suggested_lineage	suggested_label	keep_strict	keep_lenient	rationale
0	1.69495411594452	0.78944267135667	1.46857625479756	-0.251156046182441	-0.264960539347436	-0.25460716947369	-0.171555574423928	-0.299082385588527	-0.203437277215078	-0.28186440620674	0.126250952136349	-0.179835566620968	-0.0890915746882218	-0.361817587944345	-0.157273078002253	-0.174788334085873	0.109513310442819	-0.1037129229537	-0.43595977063447	-0.29947818461961	-0.401839374130755	-0.351355536503368	-0.280194909521363	-0.333565379757867	-0.446223980324269	-0.362850666500025	-0.425380651868208	-0.12418146587915	0.0881324315965405	-0.0711029915102275	IFI6, SLC11A1, FTL, PCSK1N, B2M, SPP1, APOE, GAPDH, FTH1, AC120193.1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10710	0.306481613964802	59	0.369953576214004	0.325119902045371	0.0448336741686329	0.312767818637536	0.471861290981095	microglia	microglia	microglia_homeostatic_like	TRUE	TRUE	microglia_total_score exceeds top_nonmg_score by >= 0.35; microglia anchor hits top50 = 2
2	2.0802444163634	0.760748126389189	1.75037034386985	-0.252236945891169	-0.277988800672294	-0.258674909586451	-0.22166433202666	-0.313357337636708	-0.244587583429172	-0.299624963912975	0.20612143515151	-0.173188364146854	-0.791474391352394	-0.894966345731028	-0.817347379947052	-0.673599781932226	0.00607091080280079	-0.503682108748469	-0.602946907442367	-0.617834844932691	-0.606668891814948	-0.504325141434726	-0.503203061962442	-0.504044621566655	-0.555962882822575	-0.416743972785741	-0.521158155313366	-0.445570634297642	-0.222632691623549	-0.389836148629118	SRGAP2B, ARHGAP24, SRGAP2, APBB1IP, HS3ST4, MAML3, PLXDC2, SRGAP2C, BLNK, DOCK8	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3275	0.0937187008155673	54	0.130971835279455	0.0829545006973854	0.04801733458207	0.0993474751492801	0.343342392007267	microglia	microglia	microglia_homeostatic_like	TRUE	TRUE	microglia_total_score exceeds top_nonmg_score by >= 0.35; microglia anchor hits top50 = 2
1	0.00697773643971601	-0.382711945989005	-0.0904446841674642	-0.240370907589354	-0.280235419714003	-0.250337035620516	-0.304127060524735	-0.267481783602497	-0.294965741294175	-0.251884091325742	0.0741183089743046	-0.170383491250731	0.940242223343375	0.554460458622329	0.843796782163113	-0.487278284967805	-0.357627874709926	-0.454865682403335	-0.0338974820954589	-0.0571168215721063	-0.0397023169646207	-0.25430045101844	-0.115281337554974	-0.219545672652573	-0.0361421225327727	-0.272112550579105	-0.0951347295443558	-0.100097804853811	-0.281219852685865	-0.145378316811825	RALYL, KCNIP4, NRG1, CNTNAP2, ATRNL1, IQCJ-SCHIP1, PTPRD, KHDRBS2, LRRTM4, RYR2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7146	0.204492774359708	51	0.17173066545536	0.203901316587168	-0.0321706511318077	0.190353223522368	0.402571729413257	uncertain	neuronal	uncertain_neuronal_leaning	FALSE	FALSE	uncertain; top_nonmg_lineage=neuronal
5	-0.31880567535764	1.59365507968294	0.159309513402504	-0.181923506977253	-0.248692833038294	-0.198615838492513	-0.106166132311577	-0.263990331611662	-0.145622182136598	-0.238811069189141	-0.622498903600241	-0.334733027791916	1.07280392604149	0.108943817894407	0.831838899004723	0.45928051238019	0.0192736412811826	0.349278794605438	-0.405211228331507	-0.118213522226764	-0.333461801805321	0.469159498789172	-0.33748495732194	0.267498384761394	-0.0866076607580298	-0.0172508687803771	-0.0692684627636166	1.84631836461748	0.597001099277621	1.53398904828251	F13A1, COLEC12, IQGAP2, NAMPT, SELENOP, DPYD, CD163, VCAN, KYNU, CR1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1516	0.0433824581485191	51	0.0278257252007803	0.0290762437003873	-0.001250518499607	0.712880663755074	0.797508211797955	uncertain	erythroid	uncertain_erythroid_leaning	FALSE	FALSE	uncertain; top_nonmg_lineage=erythroid
6	0.698008226523446	-0.0448960418123215	0.512282159439504	-0.265829783755999	-0.280332913436792	-0.269455566176197	-0.310813275047059	-0.275477100872274	-0.301979231503362	-0.291152534540587	0.211685710376478	-0.165442973311321	0.656594283357929	0.682640692563712	0.663105885659374	-0.360623447064721	-0.290884466017679	-0.343188701802961	-0.277402250236417	-0.254661958454554	-0.271717177290951	-0.33470266314123	-0.285227367351199	-0.322333839193722	-0.198273762868634	-0.20131737270146	-0.19903466532684	0.0385333925918871	-0.494074717962233	-0.0946186350466429	SV2B, CAMK2A, CREG2, NPTXR, ENC1, CALM1, OLFM1, AC244021.1, ATP2B2, SYNDIG1	1	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1027	0.0293890399198741	48	0.0305538086984461	0.0429504216310609	-0.0123966129326148	0.0272289056725936	0.182270844925854	uncertain	neuronal	uncertain_neuronal_leaning	FALSE	FALSE	uncertain; top_nonmg_lineage=neuronal
7	0.834489476753662	0.494809952086872	0.749569595586965	-0.250000761053401	-0.31252103681072	-0.265630829992731	-0.16636910428413	-0.32577022041714	-0.206219383317383	-0.259427226791666	-0.299006691914828	-0.269322093072457	-0.786896907730963	-0.978842159633712	-0.834883220706651	-0.496479347111383	0.173306438291922	-0.329032900760557	-0.58511847651698	-0.744311745143441	-0.624916793673595	-0.553016308748308	-0.360852438642727	-0.504975341221913	-0.588562779622885	-0.445150670422505	-0.55270975232279	-0.493170337121465	-0.302312843171255	-0.445455963633913	HSPH1, CD83, SNAP23, P4HA1, DNAJA4, BAG3, SESN3, HSPD1, ABHD3, PTGES3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	990	0.0283302332236371	52	0.0513619850685294	0.0581398326197625	-0.00677784755123309	0.190691871827333	0.402571729413257	uncertain	uncertain	uncertain	FALSE	FALSE	no lineage strongly supported
9	-1.24421664056435	-0.902327562848358	-1.15874437113535	-0.249568975766571	-0.317045801152794	-0.266438182113127	-0.247127371718814	-0.263345648450697	-0.251181940901785	-0.301997062477609	-0.696979904332206	-0.400742772941258	1.5677847131195	0.649903457136966	1.33831439912386	-0.827343176504361	-0.798695755234753	-0.820181321186959	-0.590347203799232	-0.630220253060215	-0.600315466114477	-0.256678767482435	-0.434382400436062	-0.301104675720842	-0.617022860335017	-0.409291766150236	-0.565090086788822	-1.07308526847881	-0.494074717962233	-0.928332630849664	DLGAP2, ASIC2, STXBP5L, AGBL4, KCNIP4, CNTNAP5, IQCJ-SCHIP1, CACNA1B, OPCML, RBFOX3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	965	0.0276148232937473	47	0.0321161981478398	0.0354698707407451	-0.00335367259290523	0.322376654078956	0.471861290981095	uncertain	neuronal	uncertain_neuronal_leaning	FALSE	FALSE	uncertain; top_nonmg_lineage=neuronal
11	0.309301736336167	0.932647661530281	0.465138217634696	-0.267100986780334	-0.255951519247694	-0.264313619897174	-0.11147034992237	-0.319887478010808	-0.16357463194448	-0.26381354186352	-0.0248893461410255	-0.204082492932897	-0.591240196887941	-0.385296546110756	-0.539754284193645	0.884622028986995	-0.211401988574174	0.610616024596703	-0.468669335218275	-0.40416076606395	-0.452542192929694	-0.365651083331965	-0.467822310958315	-0.391193890238553	-0.515911761871365	-0.340799638978981	-0.472133731148269	2.24540406806693	3.1627453099663	2.47473937854177	MKI67, CENPF, DIAPH3, APOLD1, AC091057.6, ASPM, TOP2A, EZH2, KNL1, CENPE	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	571	0.0163399627986836	36	0.0177870595624088	0.00962019846618363	0.00816686109622515	0.899138149815079	0.899138149815079	uncertain	erythroid	uncertain_erythroid_leaning	FALSE	FALSE	uncertain; top_nonmg_lineage=erythroid
12	-0.307910305923845	0.0121478459835654	-0.227895767946992	-0.16005644116592	-0.218778021451377	-0.174736836237285	-0.0927755383530172	-0.225445925868826	-0.12594313523197	0.735900845896704	0.0344581071786146	0.560540161217182	-0.225788100628572	-0.10037125634344	-0.194433889557289	0.398986827704095	0.379331758684978	0.394073060449316	-0.177691881121457	-0.24448018708408	-0.194388957612113	-0.169366730855212	0.0903543607347958	-0.10443645795771	3.37268473916613	3.9348492416548	3.5132258647883	0.816691553301729	-0.494074717962233	0.488999985485739	CEMIP, LAMA2, EBF1, AC092957.1, BICC1, CALD1, DLC1, SVIL, PARD3, COLEC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523	0.0149663757332952	46	0.0134550890088753	0.023289553584814	-0.00983446457593867	0.02312098863009	0.182270844925854	uncertain	uncertain	uncertain	FALSE	FALSE	no lineage strongly supported
13	-0.440091461150282	-0.441861227240122	-0.440533902672742	-0.270612996266721	-0.340587480638404	-0.288106617359641	-0.289055064027751	-0.274324546473387	-0.28537243463916	-0.218500692885837	-0.282782052240541	-0.234571032724513	0.384046936972678	1.04534670158847	0.549371878126625	-0.589827251721345	-0.605387808523719	-0.593717390921938	-0.370744998649144	-0.254330793193906	-0.341641447285334	-0.311964651902368	-0.545111581145061	-0.370251384213042	-0.380213043505588	-0.242283850470566	-0.345730745246832	-0.113555930230764	-0.494074717962233	-0.208685627163631	ADARB2, GALNTL6, ERBB4, CNTN5, KAZN, GRIP1, C8orf34, ZNF385D, PLD5, GRIK2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	489	0.013993418228645	46	0.0163059955230131	0.0195689297363732	-0.00326293421336014	0.108423913265453	0.343342392007267	uncertain	neuronal	uncertain_neuronal_leaning	FALSE	FALSE	uncertain; top_nonmg_lineage=neuronal
