cluster	n_cells	frac_cells	mean_prop_ASD	mean_prop_Control	effect_ASD_minus_Control	wilcox_p	wilcox_fdr	microglia_anchor_score	microglia_support_score	microglia_total_score	suggested_superclass	suggested_lineage	suggested_label	top10_preview	rationale
0	10710	0.306481613964802	0.369953576214004	0.325119902045371	0.0448336741686329	0.312767818637536	0.471861290981095	1.69495411594452	0.78944267135667	1.46857625479756	microglia	microglia	microglia_homeostatic_like	IFI6, SLC11A1, FTL, PCSK1N, B2M, SPP1, APOE, GAPDH, FTH1, AC120193.1	microglia_total_score exceeds top_nonmg_score by >= 0.35; microglia anchor hits top50 = 2
2	3275	0.0937187008155673	0.130971835279455	0.0829545006973854	0.04801733458207	0.0993474751492801	0.343342392007267	2.0802444163634	0.760748126389189	1.75037034386985	microglia	microglia	microglia_homeostatic_like	SRGAP2B, ARHGAP24, SRGAP2, APBB1IP, HS3ST4, MAML3, PLXDC2, SRGAP2C, BLNK, DOCK8	microglia_total_score exceeds top_nonmg_score by >= 0.35; microglia anchor hits top50 = 2
1	7146	0.204492774359708	0.17173066545536	0.203901316587168	-0.0321706511318077	0.190353223522368	0.402571729413257	0.00697773643971601	-0.382711945989005	-0.0904446841674642	uncertain	neuronal	uncertain_neuronal_leaning	RALYL, KCNIP4, NRG1, CNTNAP2, ATRNL1, IQCJ-SCHIP1, PTPRD, KHDRBS2, LRRTM4, RYR2	uncertain; top_nonmg_lineage=neuronal
5	1516	0.0433824581485191	0.0278257252007803	0.0290762437003873	-0.001250518499607	0.712880663755074	0.797508211797955	-0.31880567535764	1.59365507968294	0.159309513402504	uncertain	erythroid	uncertain_erythroid_leaning	F13A1, COLEC12, IQGAP2, NAMPT, SELENOP, DPYD, CD163, VCAN, KYNU, CR1	uncertain; top_nonmg_lineage=erythroid
6	1027	0.0293890399198741	0.0305538086984461	0.0429504216310609	-0.0123966129326148	0.0272289056725936	0.182270844925854	0.698008226523446	-0.0448960418123215	0.512282159439504	uncertain	neuronal	uncertain_neuronal_leaning	SV2B, CAMK2A, CREG2, NPTXR, ENC1, CALM1, OLFM1, AC244021.1, ATP2B2, SYNDIG1	uncertain; top_nonmg_lineage=neuronal
7	990	0.0283302332236371	0.0513619850685294	0.0581398326197625	-0.00677784755123309	0.190691871827333	0.402571729413257	0.834489476753662	0.494809952086872	0.749569595586965	uncertain	uncertain	uncertain	HSPH1, CD83, SNAP23, P4HA1, DNAJA4, BAG3, SESN3, HSPD1, ABHD3, PTGES3	no lineage strongly supported
9	965	0.0276148232937473	0.0321161981478398	0.0354698707407451	-0.00335367259290523	0.322376654078956	0.471861290981095	-1.24421664056435	-0.902327562848358	-1.15874437113535	uncertain	neuronal	uncertain_neuronal_leaning	DLGAP2, ASIC2, STXBP5L, AGBL4, KCNIP4, CNTNAP5, IQCJ-SCHIP1, CACNA1B, OPCML, RBFOX3	uncertain; top_nonmg_lineage=neuronal
11	571	0.0163399627986836	0.0177870595624088	0.00962019846618363	0.00816686109622515	0.899138149815079	0.899138149815079	0.309301736336167	0.932647661530281	0.465138217634696	uncertain	erythroid	uncertain_erythroid_leaning	MKI67, CENPF, DIAPH3, APOLD1, AC091057.6, ASPM, TOP2A, EZH2, KNL1, CENPE	uncertain; top_nonmg_lineage=erythroid
12	523	0.0149663757332952	0.0134550890088753	0.023289553584814	-0.00983446457593867	0.02312098863009	0.182270844925854	-0.307910305923845	0.0121478459835654	-0.227895767946992	uncertain	uncertain	uncertain	CEMIP, LAMA2, EBF1, AC092957.1, BICC1, CALD1, DLC1, SVIL, PARD3, COLEC12	no lineage strongly supported
13	489	0.013993418228645	0.0163059955230131	0.0195689297363732	-0.00326293421336014	0.108423913265453	0.343342392007267	-0.440091461150282	-0.441861227240122	-0.440533902672742	uncertain	neuronal	uncertain_neuronal_leaning	ADARB2, GALNTL6, ERBB4, CNTN5, KAZN, GRIP1, C8orf34, ZNF385D, PLD5, GRIK2	uncertain; top_nonmg_lineage=neuronal
14	442	0.0126484475604521	0.0165761072155675	0.0175204228220944	-0.000944315606526903	0.749268076764465	0.797508211797955	-0.495841785332931	-0.300698640325326	-0.44705599908103	uncertain	oligodendrocyte	uncertain_oligodendrocyte_leaning	GPC5, SLC1A2, ADGRV1, ST18, RNF219-AS1, FBXL7, CTNNA3, RNF220, NKAIN3, NPAS3	uncertain; top_nonmg_lineage=oligodendrocyte
15	387	0.0110745457146945	0.0139945389731786	0.0145704723946862	-0.000575933421507639	0.322852462250223	0.471861290981095	-0.368673807823054	-0.726576725872996	-0.458149537335539	uncertain	uncertain	uncertain	GRIK1, KIAA1217, NXPH1, ROBO2, GRIP1, XKR4, ROBO1, SPOCK3, SYNPR, AC092683.1	no lineage strongly supported
16	273	0.00781227643439691	0.00951343537846741	0.011221690056263	-0.0017082546777956	0.259382511484367	0.471861290981095	-0.543056854575034	-0.685138618677953	-0.578577295600764	uncertain	uncertain	uncertain	ERBB4, ZNF385D, CNTN5, DPP10, GRIP1, ZNF804A, NXPH1, KIAA1217, KAZN, CNTNAP2	no lineage strongly supported
3	2621	0.0750035770496495	0.0996659047695417	0.0953608461708049	0.00430505859873678	0.755534095387536	0.797508211797955	0.0820541817247115	-0.27574384105422	-0.00739532397002142	contaminant	oligodendrocyte	contaminant_oligodendrocyte	ST18, CTNNA3, RNF220, SLC24A2, KCNH8, MOBP, AC026316.5, TF, C10orf90, SLC44A1	top_nonmg_lineage=oligodendrocyte dominates; nonmg hits top50 = 3
4	1894	0.0541994562884533	0.0491782049582245	0.0815576359414706	-0.0323794309832461	0.0383728094580746	0.182270844925854	0.336037058899217	-0.0346823349258411	0.243357210442953	contaminant	astrocyte	contaminant_astrocyte	GPC5, ADGRV1, SLC1A2, RNF219-AS1, NKAIN3, HPSE2, SLC4A4, RYR3, AC002429.2, ZNF98	top_nonmg_lineage=astrocyte dominates; nonmg hits top50 = 2
8	982	0.0281013020460724	0.0301663340479204	0.0296793754194818	0.000486958628438578	0.700526696022767	0.797508211797955	-0.424762201104731	-0.418622948705676	-0.423227388004967	contaminant	opc	contaminant_opc	LHFPL3, PCDH15, TNR, VCAN, PTPRZ1, LRRC4C, SOX6, AC004852.2, SEMA5A, SLC35F1	top_nonmg_lineage=opc dominates; nonmg hits top50 = 2
10	737	0.0210902847331521	0.0204797770278207	0.0311455747166063	-0.0106657976887856	0.129932666814881	0.352674381354678	-1.15341325982255	-0.543410095073267	-1.00091246863523	contaminant	t_cell	contaminant_t_cell	SKAP1, CD247, FYN, PRKCH, THEMIS, SYNE2, STAT4, SLFN12L, ETS1, SAMD3	top_nonmg_lineage=t_cell dominates; nonmg hits top50 = 4
17	222	0.00635284017742166	0.00593927353624098	0.00945976086362234	-0.00352048732738136	0.0331085511030372	0.182270844925854	-0.152711873946016	-0.0376987597505433	-0.123958595397148	contaminant	endothelial	contaminant_endothelial	FLT1, ABCB1, MECOM, ATP10A, EPAS1, PLPP1, CLDN5, WWTR1, PTPRG, VWF	top_nonmg_lineage=endothelial dominates; nonmg hits top50 = 5
18	175	0.00500786950922879	0.0069965156480735	0.0129711846197658	-0.00597466897169229	0.65939885822075	0.797508211797955	-0.592583083384414	0.210917405246115	-0.391707961226782	contaminant	b_cell	contaminant_b_cell	BANK1, BACH2, EBF1, AFF3, RIPOR2, OSBPL10, SEL1L3, FCRL1, IGHM, PAX5	top_nonmg_lineage=b_cell dominates; nonmg hits top50 = 6
