gene	1185__cl0	1185__cl2	12457__cl0	12457__cl2	15451__cl0	15451__cl2	1743__cl0	1743__cl2	19760__cl0	19760__cl2	285A__cl0	285A__cl2	2GGP__cl0	2GGP__cl2	2NA6__cl0	2NA6__cl2	2YK7__cl0	2YK7__cl2	3345__cl0	3345__cl2	3935__cl0	3935__cl2	3HUF__cl0	3HUF__cl2	4787__cl0	4787__cl2	493__cl0	493__cl2	5144__cl0	5144__cl2	5302__cl0	5302__cl2	5576__cl0	5576__cl2	5670__cl0	5670__cl2	5925__cl0	5925__cl2	5983__cl0	5983__cl2	6041__cl0	6041__cl2	7444__cl0	7444__cl2	8792__cl0	8792__cl2	8XCF__cl0	8XCF__cl2	9714__cl0	9714__cl2	EUFW__cl0	EUFW__cl2	FHN9__cl0	FHN9__cl2	FXMN__cl0	FXMN__cl2	HQ4T__cl0	HQ4T__cl2	HctZGA002__cl0	HctZGA002__cl2	M9H3__cl0	M9H3__cl2	NEPX__cl0	NEPX__cl2	PA38__cl0	PA38__cl2	PH2A__cl0	PH2A__cl2	PZ65__cl0	PZ65__cl2	U8DM__cl0	U8DM__cl2	UPIT13161__cl0	UPIT13161__cl2	UPIT3152__cl0	UPIT3152__cl2	VPSP__cl0	VPSP__cl2
MIR1302-2HG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.1	7	1	12	32	1	0	0	2	7	0	8	5	2	0	22	31	15	10	45	21	25	13	1	0	4	6	3	1	0	1	11	5	0	2	1	3	8	3	12	3	0	0	8	8	61	70	7	4	0	2	2	0	4	7	9	5	1	3	4	5	0	0	0	1	1	1	2	0	4	3	1	2	6	1	6	2	1	0
AL627309.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL732372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC114498.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	29	4	38	85	5	7	7	4	20	1	24	34	15	2	47	43	61	14	144	55	60	19	17	10	16	6	7	3	11	11	66	43	38	12	6	5	31	17	60	12	1	0	41	20	63	76	15	9	7	4	29	6	30	28	44	49	12	7	44	33	11	4	14	2	24	8	22	10	9	9	11	4	29	26	38	24	10	1
