gene	cell_logFC	cell_FDR	pct_cluster2	pct_cluster0	pb_logFC	pb_FDR	pb_AveExpr	pb_t	pb_P	direction_concordant	cell_sig	pb_sig	both_sig	both_sig_same_direction
A2M	0.112722623459565	3.21352472949653e-57	0.654	0.397	0.158206463074443	0.0164647922572862	8.85198351759081	3.07681654239422	0.0031199542583942	TRUE	TRUE	TRUE	TRUE	TRUE
AACS	-0.0811996044574079	6.72426585447556e-05	0.1	0.065							TRUE	FALSE	FALSE	FALSE
AAGAB	0.0380431235795803	1.69878416705258e-27	0.156	0.079							TRUE	FALSE	FALSE	FALSE
AAK1	0.110486384165359	7.30598896966451e-35	0.765	0.504	0.0897531760781838	0.141380455593458	9.07747456260623	1.99011374716657	0.0510210009346451	TRUE	TRUE	FALSE	FALSE	FALSE
AAMDC	0.0022122935649258	8.14975201155133e-24	0.114	0.054							TRUE	FALSE	FALSE	FALSE
AAMP	-0.013604516271678	2.32615160267457e-10	0.079	0.042							TRUE	FALSE	FALSE	FALSE
AARS	-0.120794237629971	2.85980976035107e-09	0.202	0.132							TRUE	FALSE	FALSE	FALSE
AASDH	-0.0459427638642668	3.21216833306578e-22	0.14	0.073							TRUE	FALSE	FALSE	FALSE
AASDHPPT	-0.0901394108066563	2.7304817314778e-09	0.142	0.089							TRUE	FALSE	FALSE	FALSE
AASS	0.0138374582633696	4.33529711595582e-20	0.096	0.046							TRUE	FALSE	FALSE	FALSE
AATF	0.143429013497862	2.8810293435592e-58	0.245	0.113	0.192161380536607	0.159505531652581	6.60324145783846	1.91918667714845	0.0595959203955702	TRUE	TRUE	FALSE	FALSE	FALSE
AATK	-0.107321029006351	0.00111420863441492	0.087	0.057							TRUE	FALSE	FALSE	FALSE
ABAT	0.0286107904556556	2.1900706499552e-32	0.212	0.112	0.0213211485497857	0.896185028832718	6.35862589303895	0.220250293287407	0.826404491745597	TRUE	TRUE	FALSE	FALSE	FALSE
ABCA1	0.102915683099322	2.17186362752581e-35	0.488	0.308	0.193962276049416	0.00869644565779504	7.40530946744773	3.34607683669858	0.00140028711353647	TRUE	TRUE	TRUE	TRUE	TRUE
ABCA2	-0.118505592556655	1	0.066	0.046							FALSE	FALSE	FALSE	FALSE
ABCA3	-0.149490374698091	0.321660180813478	0.117	0.085							FALSE	FALSE	FALSE	FALSE
ABCA5	-0.155098914080866	1	0.091	0.069							FALSE	FALSE	FALSE	FALSE
ABCA7	-0.0597559250714475	2.70924014162252e-08	0.061	0.032							TRUE	FALSE	FALSE	FALSE
ABCB10	0.0539728883310042	6.40554244087363e-34	0.125	0.055							TRUE	FALSE	FALSE	FALSE
ABCB4	0.021659275432627	1.9629925719703e-10	0.074	0.039							TRUE	FALSE	FALSE	FALSE
ABCB7	0.130078136869662	4.69044274235863e-62	0.256	0.117	0.207617471738226	0.0408621858823272	6.56906296307966	2.66536780936195	0.00980650775701858	TRUE	TRUE	TRUE	TRUE	TRUE
ABCB8	-0.0222105185465001	2.15452124171971e-12	0.071	0.035							TRUE	FALSE	FALSE	FALSE
ABCB9	-0.0362651537395573	3.62282071395664e-05	0.056	0.032							TRUE	FALSE	FALSE	FALSE
