gene	cell_logFC	cell_FDR	pct_cluster2	pct_cluster0	pb_logFC	pb_FDR	pb_AveExpr	pb_t	pb_P	direction_concordant	cell_sig	pb_sig	both_sig	both_sig_same_direction
NRG3	-0.611343987438015	5.92138446544795e-17	0.54	0.51	-0.723382452981408	1.54113292752999e-13	8.337247228692	-11.5974053788214	3.93045888173934e-17	TRUE	TRUE	TRUE	TRUE	TRUE
RBFOX1	-0.67255882951745	1.5582202775242e-41	0.691	0.648	-0.709805136433744	1.5459111507235e-13	9.0683752294135	-11.4082411466318	7.88529023577402e-17	TRUE	TRUE	TRUE	TRUE	TRUE
LRRTM4	-0.619618183021951	1.3311258658821e-22	0.591	0.557	-0.707545333520942	4.32531698849583e-13	8.33135768579502	-11.0221518406636	3.30934735156529e-16	TRUE	TRUE	TRUE	TRUE	TRUE
KCNIP4	-0.694471045813261	1.04409183082867e-55	0.733	0.699	-0.787989461302989	7.37896821141087e-13	9.4363094405407	-10.7437697943067	9.40954885413271e-16	TRUE	TRUE	TRUE	TRUE	TRUE
LRP1B	-0.617076274142374	1.89334506623921e-16	0.572	0.529	-0.688913374670157	7.70069250970683e-13	8.5825403231769	-10.6841345139745	1.17837681862385e-15	TRUE	TRUE	TRUE	TRUE	TRUE
CNTNAP2	-0.571653082054977	8.71394942303077e-20	0.641	0.581	-0.65686841728339	9.74706671042756e-13	8.74331915440321	-10.5810641293851	1.74010372285113e-15	TRUE	TRUE	TRUE	TRUE	TRUE
CSMD1	-0.683897167738157	1.60794462162178e-32	0.66	0.604	-0.735392433817447	1.19158574549549e-12	8.99432834104574	-10.456962850125	2.78663640826982e-15	TRUE	TRUE	TRUE	TRUE	TRUE
SYT1	-0.582898127903712	1.74624174207345e-38	0.718	0.676	-0.572134245947034	1.2612207557688e-12	9.09093967896523	-10.3941968260182	3.53823726433481e-15	TRUE	TRUE	TRUE	TRUE	TRUE
ROBO2	-0.572403949480155	4.33638887269282e-12	0.528	0.491	-0.647358002518039	2.45597672017592e-12	8.23433937598268	-10.1968667295616	7.51637863864091e-15	TRUE	TRUE	TRUE	TRUE	TRUE
CADM2	-0.599718392139268	2.37784966936773e-34	0.671	0.626	-0.613235971970233	5.36713499544216e-12	8.88766956619238	-9.97242924565981	1.77946327316368e-14	TRUE	TRUE	TRUE	TRUE	TRUE
GPM6A	-0.65724105446412	2.25297951199105e-29	0.564	0.563	-0.621350550551753	1.60474143242831e-11	8.2827947799082	-9.66991717649658	5.72975772863971e-14	TRUE	TRUE	TRUE	TRUE	TRUE
LSAMP	-0.618047479800123	1.47783070755885e-25	0.57	0.55	-0.649414865107935	3.34127364053932e-11	8.38466754196792	-9.46358088415439	1.27822250977021e-13	TRUE	TRUE	TRUE	TRUE	TRUE
SPARCL1	-0.538191170543503	3.73041376731785e-11	0.566	0.527	-0.515660531805968	8.4001198567229e-11	8.01528287846364	-9.18111470665805	3.85621416528978e-13	TRUE	TRUE	TRUE	TRUE	TRUE
FAM155A	-0.583674357101728	8.58901348080101e-07	0.485	0.442	-0.740835042313453	1.32783987084983e-10	7.94503910130341	-9.05068449189988	6.43431715025422e-13	TRUE	TRUE	TRUE	TRUE	TRUE
DPP10	-0.585998666749103	7.48339308030059e-10	0.546	0.491	-0.629138215011688	2.40007073536522e-10	8.42431333950972	-8.86306267087057	1.34663494460686e-12	TRUE	TRUE	TRUE	TRUE	TRUE
NRXN3	-0.563178565572369	2.00150349557904e-21	0.602	0.556	-0.546176479316773	2.54766791099806e-10	8.55567892347681	-8.83665637612881	1.49442392126895e-12	TRUE	TRUE	TRUE	TRUE	TRUE
DLGAP1	-0.617257143640285	2.05473759865929e-09	0.5	0.461	-0.703860901165123	2.85828250755291e-10	8.15839986630715	-8.79671199790887	1.74952257539581e-12	TRUE	TRUE	TRUE	TRUE	TRUE
FP236383.1	-0.364847080633606	0.0495611099771664	0.63	0.45	-0.53659646841691	3.27494391203545e-10	9.03792238393504	-8.73462063561585	2.23562509248417e-12	TRUE	TRUE	TRUE	TRUE	TRUE
PCDH9	-0.592498462320533	6.10542253241929e-66	0.737	0.709	-0.653141559733367	2.22326927297938e-09	9.37983394846391	-8.19116677172777	1.9278539985029e-11	TRUE	TRUE	TRUE	TRUE	TRUE
DLG2	-0.463626478033399	2.1279999098681e-11	0.713	0.63	-0.519336022553492	2.61055309348485e-09	9.46352243300099	-8.14349752614475	2.33025652313108e-11	TRUE	TRUE	TRUE	TRUE	TRUE
CLU	-0.673385089804153	1.1721481902769e-13	0.451	0.455	-0.555374014028609	3.27064064711511e-09	7.03562280125612	-8.07287173422363	3.08629696361283e-11	TRUE	TRUE	TRUE	TRUE	TRUE
PTPRD	-0.645516845534754	2.47695618336835e-42	0.646	0.616	-0.660286565110437	3.48865746579034e-09	8.82757731267034	-8.03707069799846	3.55894666237219e-11	TRUE	TRUE	TRUE	TRUE	TRUE
FGF14	-0.572697202471187	0.00605874391823947	0.424	0.388	-0.723628003479826	5.40777586250151e-09	7.71697560569774	-7.89742339634537	6.20632271901474e-11	TRUE	TRUE	TRUE	TRUE	TRUE
TIMM23B	-0.387165630550409	6.24896525449118e-08	0.307	0.215	-0.621342279940091	8.71105294814545e-09	8.07770153517943	-7.74636765062435	1.13303672623162e-10	TRUE	TRUE	TRUE	TRUE	TRUE
AC092683.1	-0.331297288105819	0.00453377742527633	0.2	0.144	-0.629416733626125	1.81927937906101e-08	6.95162553304879	-7.53371278084506	2.64470605984386e-10	TRUE	TRUE	TRUE	TRUE	TRUE
NRXN1	-0.57104605295839	1.48731031330521e-28	0.625	0.594	-0.625322687672542	1.9596613475883e-08	8.59047130275803	-7.5021959857232	2.99871667572808e-10	TRUE	TRUE	TRUE	TRUE	TRUE
CKB	-0.537759751285305	4.54102747563596e-05	0.507	0.466	-0.387321454865693	3.17938019791364e-08	7.49574968515926	-7.36068045101483	5.27058691314427e-10	TRUE	TRUE	TRUE	TRUE	TRUE
GRIA2	-0.521192587588943	0.00213077982368402	0.466	0.424	-0.530159868353819	1.22270674805552e-07	7.63153621467041	-6.96997868616329	2.49468349514006e-09	TRUE	TRUE	TRUE	TRUE	TRUE
PRPF38B	-0.463561947268681	2.56075746459147e-05	0.474	0.328	-0.545868274007543	1.4713920222124e-07	8.48055183775935	-6.9202233836258	3.03960096401949e-09	TRUE	TRUE	TRUE	TRUE	TRUE
NTM	-0.49757487160487	0.0142469200424796	0.361	0.349	-0.507437304140372	1.52502342922296e-07	7.36788031417	-6.90811234509902	3.18928643703858e-09	TRUE	TRUE	TRUE	TRUE	TRUE
HSP90AA1	-0.450916716555331	7.31041147849538e-06	0.719	0.64	-0.43924484058564	3.77919060611783e-07	9.24701106915058	-6.64432283214684	9.06742703519234e-09	TRUE	TRUE	TRUE	TRUE	TRUE
GAPDH	-0.618564341830301	1.14261427513569e-09	0.498	0.481	-0.426953111478092	5.82472103323456e-07	7.05918725651781	-6.49973621558197	1.6043608048695e-08	TRUE	TRUE	TRUE	TRUE	TRUE
PEBP1	-0.516487757637282	0.000654329271961244	0.447	0.422	-0.446567024767863	6.4838573567947e-07	6.8608232187821	-6.46102895546049	1.86859444355471e-08	TRUE	TRUE	TRUE	TRUE	TRUE
SON	-0.278449139240625	0.000599775507054191	0.693	0.49	-0.359441991864539	8.90356998609424e-07	9.29105147563339	-6.36298802116133	2.74759492047285e-08	TRUE	TRUE	TRUE	TRUE	TRUE
ANKRD36C	-0.278425997724277	6.6868213190408e-05	0.282	0.2	-0.446740041894929	1.2097018465964e-06	7.40411519242275	-6.27051719724207	3.94903943800917e-08	TRUE	TRUE	TRUE	TRUE	TRUE
BPTF	-0.210687048905181	1.22546349429589e-09	0.678	0.467	-0.314093813687031	1.32095026837209e-06	9.21626970923187	-6.24409450922544	4.37958517950451e-08	TRUE	TRUE	TRUE	TRUE	TRUE
MAGI2	-0.592522313214134	0.000479918354700078	0.429	0.393	-0.590347245938353	1.37312679297628e-06	7.8832626170039	-6.22976478425664	4.63224659423243e-08	TRUE	TRUE	TRUE	TRUE	TRUE
MYO1F	-0.0874493995771721	7.93796284010912e-16	0.756	0.523	-0.251137531880626	1.81007671279063e-06	9.52877765215434	-6.15197720898492	6.27825638713405e-08	TRUE	TRUE	TRUE	TRUE	TRUE
AC105402.3	-0.420998654381447	2.11400047378633e-09	0.267	0.184	-0.573890163625192	2.72049100788118e-06	6.58939412254811	-6.03633827944964	9.85232652688413e-08	TRUE	TRUE	TRUE	TRUE	TRUE
STMN1	-0.496997295307438	0.000180500619179735	0.351	0.357	-0.443981728269358	4.04563802061369e-06	6.22798111255723	-5.92997151560903	1.48887056093003e-07	TRUE	TRUE	TRUE	TRUE	TRUE
MPHOSPH8	-0.228382844816752	5.22829714477162e-18	0.451	0.29	-0.368337204607538	4.76554629649282e-06	8.24256835644421	-5.88287185197398	1.78662408973335e-07	TRUE	TRUE	TRUE	TRUE	TRUE
NKTR	-0.25490584283925	1.04345142156598e-09	0.596	0.405	-0.360309411889017	5.78749272140369e-06	8.86654408468476	-5.81884723089233	2.28783823467884e-07	TRUE	TRUE	TRUE	TRUE	TRUE
MALAT1	-0.283415561882565	1.91119498568622e-58	1	1	-0.175443064257581	6.9161733568028e-06	15.0520811494845	-5.76599399143246	2.80456915004245e-07	TRUE	TRUE	TRUE	TRUE	TRUE
PCSK1N	-0.634353143016856	3.55394353277525e-11	0.333	0.365	-0.510090103366621	7.18715075455704e-06	5.84135737383521	-5.75437621435395	2.93278276135967e-07	TRUE	TRUE	TRUE	TRUE	TRUE
UCHL1	-0.59225609899856	3.85941877784658e-05	0.406	0.398	-0.449062602079248	7.49703891268517e-06	6.34283372115571	-5.74177928581733	3.07835568717754e-07	TRUE	TRUE	TRUE	TRUE	TRUE
AHI1	-0.258453135525697	0.000895471848320146	0.326	0.235	-0.353328277415217	7.52235398562974e-06	7.38056920920922	-5.73929179795953	3.10793508205054e-07	TRUE	TRUE	TRUE	TRUE	TRUE
GOLGB1	-0.211650645087983	1.47338644894477e-22	0.42	0.261	-0.398571523465811	7.54076525354826e-06	8.11896328152774	-5.73705497255701	3.13477361981221e-07	TRUE	TRUE	TRUE	TRUE	TRUE
ADGRB3	-0.43283372070792	7.11819737285317e-14	0.646	0.578	-0.464313133704751	7.78952946493539e-06	8.87652049938535	-5.72701773172103	3.25805364001378e-07	TRUE	TRUE	TRUE	TRUE	TRUE
PNN	-0.228040993991861	4.74165467409857e-25	0.334	0.198	-0.458991074765527	8.79865324536185e-06	7.61451040837133	-5.68900778814811	3.76988968431724e-07	TRUE	TRUE	TRUE	TRUE	TRUE
DPP7	-0.261276571326859	1.1485425033955e-07	0.19	0.126	-0.448375978402662	8.80307099438762e-06	6.50932466612565	-5.68732957648952	3.79423360890463e-07	TRUE	TRUE	TRUE	TRUE	TRUE
