output_file	description
04_cell_level_module_stats_cluster2_vs_0.tsv	cell-level module score comparison between clusters 2 and 0
05_donor_level_module_stats_cluster2_vs_0.tsv	donor-level paired module score comparison between clusters 2 and 0
08_gene_cluster_summary.tsv.gz	gene-level average expression and detection summary by cluster
09_gene_donor_summary.tsv.gz	gene-level donor summary by cluster
10_qc_stats_cluster2_vs_0.tsv	QC and scrublet comparison by cluster
13_baseline__pb_DE.tsv.gz	baseline paired pseudobulk DE
17_compare_baseline_vs_neuronal_filtered.tsv.gz	baseline vs neuronal-filtered DE comparison
19_compare_baseline_vs_combined_filtered.tsv.gz	baseline vs combined-filtered DE comparison
24_module_summary_for_manuscript.tsv	compact module summary for manuscript/rebuttal
25_residual_gene_summary_for_manuscript.tsv	compact residual-background gene summary for manuscript/rebuttal
