gene	logFC_baseline	FDR_baseline	logFC_neuronal_filtered	FDR_neuronal_filtered	direction_same
A2M	0.158206463074443	0.0164647922572862	0.150653256875267	0.0311879703398639	TRUE
AAK1	0.0897531760781838	0.141380455593458	0.0769811752733233	0.245966787911272	TRUE
AATF	0.192161380536607	0.159505531652581	0.198054267843233	0.205937145971234	TRUE
ABAT	0.0213211485497857	0.896185028832718	-0.0157129850151561	0.93201808939421	FALSE
ABCA1	0.193962276049416	0.00869644565779504	0.194233939139606	0.0112348269913884	TRUE
ABCB7	0.207617471738226	0.0408621858823272	0.209013075957277	0.0655947922886893	TRUE
ABCC1	-0.0647377699964558	0.669256965411113			
ABCC4	0.132133662911818	0.0116959634142968	0.135859441315132	0.0123405361751314	TRUE
ABCC5	0.0924828727569515	0.393932777568623	0.090931856794157	0.446868702450586	TRUE
ABCD3	0.151567999198981	0.242569142788315			
ABCD4	-0.00751548340898579	0.952683662556835	0.00897549430118741	0.946176775350358	FALSE
ABCG1	-0.0505132553783292	0.653235910258899	-0.0633427369074906	0.629916962671527	TRUE
ABHD12	-0.00459135953151163	0.958602222043039	-0.0101848652324123	0.918797111301536	TRUE
ABHD18	0.00428116407013942	0.971468976097821	-0.0132545417839383	0.917112369702152	FALSE
ABHD2	-0.156767739269332	0.109190015816687	-0.153292152779555	0.128249350457614	TRUE
ABHD3	0.241481954020709	0.000744959197180279	0.236325793822855	0.00163099016345766	TRUE
ABI1	0.138987275410912	0.0268789117827681	0.145849818037936	0.0260518845107725	TRUE
ABI2	-0.0529389000493955	0.621204856684234	-0.0205122322151226	0.867030940287515	TRUE
ABL1	0.157542824229946	0.0679102136971033	0.168608653732106	0.0549694828418387	TRUE
ABL2	0.128971335372823	0.099518992972209	0.150307301737075	0.062285342643115	TRUE
ABR	0.0117270515272982	0.83953431956487	0.00707766341665015	0.909282980511109	TRUE
AC004918.1	0.0337146109478478	0.815592555658232	0.0177271002670439	0.914937401370697	TRUE
AC005154.6	0.00746300088041675	0.951930974543991	-0.0115253392097011	0.934524994098868	FALSE
AC005699.1	0.225015369121728	0.217892787486507	0.21089125384036	0.313887191708486	TRUE
AC006978.2	0.0827208146314462	0.17720102279359	0.0888823231359627	0.149111537636093	TRUE
AC007262.2	0.134998909809329	0.208089181570301	0.140636694123399	0.199889158097792	TRUE
AC007376.2	-0.279890288977381	0.0355745145603106			
AC007388.1	-0.0741013968700739	0.603219128777657			
AC007566.1	0.0265169604379524	0.878755225963472			
AC008014.1	0.103114622633461	0.433413878105218	0.0685614491957461	0.626409006828821	TRUE
AC008050.1	0.104393428228251	0.264638528023071	0.114088986825111	0.193851309869143	TRUE
AC008105.3	-0.0728310653587348	0.564017296691953	-0.0771158048561942	0.578017865886991	TRUE
AC008691.1	0.0529213627869139	0.425119483267317	0.0433655297847957	0.524145045650934	TRUE
AC009061.2	-0.0218249667480247	0.897950743666777			
AC009093.2	-0.161871702404813	0.255456310213101	-0.170847966748488	0.250570350904213	TRUE
AC009690.1	-0.168738123628893	0.10465418888414	-0.18915303179974	0.081089555727465	TRUE
AC009950.1	0.122338107677174	0.361689714082499	0.123218543482732	0.394866538670129	TRUE
AC011287.1	-0.380510804271917	0.00261504361765617	-0.420158879508775	0.0030499076059357	TRUE
AC012368.1	0.0559432908066275	0.63846618330842	0.0275178588670064	0.831517469920531	TRUE
AC013394.1	0.0435348409417797	0.722925512562901	0.0358877073494793	0.789501242722707	TRUE
AC016831.7	0.124429990414669	0.0160385982701412	0.129354509089269	0.0152338553313231	TRUE
