gene	logFC_baseline	FDR_baseline	logFC_combined_filtered	FDR_combined_filtered	direction_same
A2M	0.158206463074443	0.0164647922572862	0.141658068787887	0.0358094005191723	TRUE
AAK1	0.0897531760781838	0.141380455593458	0.0559261957133903	0.409847945093651	TRUE
AATF	0.192161380536607	0.159505531652581	0.180324121527723	0.228895434681628	TRUE
ABAT	0.0213211485497857	0.896185028832718	0.0018600227738338	0.993633598290068	TRUE
ABCA1	0.193962276049416	0.00869644565779504	0.202347351728423	0.00841973370531133	TRUE
ABCB7	0.207617471738226	0.0408621858823272	0.158485747214576	0.15867670436316	TRUE
ABCC1	-0.0647377699964558	0.669256965411113	-0.103949238898413	0.509936300431456	TRUE
ABCC4	0.132133662911818	0.0116959634142968	0.121495866651227	0.0189139081849235	TRUE
ABCC5	0.0924828727569515	0.393932777568623	0.0850766182246389	0.466290709684754	TRUE
ABCD3	0.151567999198981	0.242569142788315			
ABCD4	-0.00751548340898579	0.952683662556835	-0.0255767881951797	0.845920814159845	TRUE
ABCG1	-0.0505132553783292	0.653235910258899	-0.0385195564895155	0.771025295552845	TRUE
ABHD12	-0.00459135953151163	0.958602222043039	-0.0395269143659132	0.666645294472137	TRUE
ABHD18	0.00428116407013942	0.971468976097821	0.0261469332278625	0.830079701350119	TRUE
ABHD2	-0.156767739269332	0.109190015816687	-0.13571841470851	0.210175653746112	TRUE
ABHD3	0.241481954020709	0.000744959197180279	0.248130235552102	0.000648703639053457	TRUE
ABI1	0.138987275410912	0.0268789117827681	0.147827967444192	0.0224098522839921	TRUE
ABI2	-0.0529389000493955	0.621204856684234	-0.0214722743196258	0.851808980140055	TRUE
ABL1	0.157542824229946	0.0679102136971033	0.177583413734525	0.0368650936046986	TRUE
ABL2	0.128971335372823	0.099518992972209	0.136263661905851	0.120434250795693	TRUE
ABR	0.0117270515272982	0.83953431956487	-0.00556729176654455	0.927378925803106	FALSE
AC004918.1	0.0337146109478478	0.815592555658232	0.0323330961696919	0.830079701350119	TRUE
AC005154.6	0.00746300088041675	0.951930974543991	-0.030055206439559	0.807204608553449	FALSE
AC005699.1	0.225015369121728	0.217892787486507	0.253964726740458	0.180117001935756	TRUE
AC006978.2	0.0827208146314462	0.17720102279359	0.0817709602748415	0.203363960658428	TRUE
AC007262.2	0.134998909809329	0.208089181570301	0.134775576375805	0.20893477100607	TRUE
AC007376.2	-0.279890288977381	0.0355745145603106			
AC007388.1	-0.0741013968700739	0.603219128777657	-0.0959289000870898	0.495230098150008	TRUE
AC007566.1	0.0265169604379524	0.878755225963472	0.0300611011241387	0.86274574949722	TRUE
AC008014.1	0.103114622633461	0.433413878105218	0.0921334883316329	0.46709396910331	TRUE
AC008050.1	0.104393428228251	0.264638528023071	0.104444038559113	0.215113831275375	TRUE
AC008105.3	-0.0728310653587348	0.564017296691953	-0.0915548230570177	0.50476752249506	TRUE
AC008691.1	0.0529213627869139	0.425119483267317	0.0326552675302823	0.642947480503015	TRUE
AC009061.2	-0.0218249667480247	0.897950743666777			
AC009093.2	-0.161871702404813	0.255456310213101	-0.128138877704446	0.405778874622897	TRUE
AC009690.1	-0.168738123628893	0.10465418888414	-0.190913828024309	0.0703520578775623	TRUE
AC009950.1	0.122338107677174	0.361689714082499	0.110475853742894	0.43191067180935	TRUE
AC011287.1	-0.380510804271917	0.00261504361765617	-0.474254116978968	7.06750788661322e-05	TRUE
AC012368.1	0.0559432908066275	0.63846618330842	0.0296048913361846	0.827986014452455	TRUE
AC013394.1	0.0435348409417797	0.722925512562901	0.0571190613978992	0.656630926814607	TRUE
AC016831.7	0.124429990414669	0.0160385982701412	0.145585955909628	0.00490649700359723	TRUE
AC025159.1	-0.283402227953517	0.0359456098899264			
AC025569.1	0.112097187561677	0.128017734156053	0.0937674261928722	0.241227817892228	TRUE
AC027097.2	-0.0539450187007945	0.649617767737138	-0.041002650884316	0.74228628188108	TRUE
AC027644.4	0.0710587437506116	0.479982423939352	0.0467231446072586	0.67174189978463	TRUE
AC034195.1	-0.0509939070958895	0.745214209323734			
AC074327.1	0.0782014454257863	0.107561206403859	0.0759543263509687	0.107170464042354	TRUE
AC079015.1	0.225547023471988	0.0062220828705471	0.160419951091675	0.060481712716756	TRUE
AC087564.1	0.140094799325103	0.0362781056629153	0.0970865401114332	0.187662604005471	TRUE
AC090517.4	0.126586482256321	0.278003926853276	0.167195769645226	0.15995435197255	TRUE
AC092535.3	-0.0749201119849137	0.634044396831273	-0.154185461437896	0.283024128093631	TRUE
AC092683.1	-0.629416733626125	1.81927937906101e-08	-0.647806741897841	2.17196527615458e-08	TRUE
AC092691.1	-0.489738759956547	0.000509479812828991	-0.522510691121605	0.000106489351707824	TRUE
AC093152.1	0.173237303051887	0.0107967602712876	0.170819834414534	0.00868623946253792	TRUE
AC096711.2	-0.0105430644204856	0.954104766966447			
AC097103.2	-0.00902946490308935	0.954386805360628	-0.0186330851105812	0.913019739658296	TRUE
AC097376.2	0.040001459852975	0.672951496204165	0.0348466045939413	0.748051105151056	TRUE
AC098850.3	-0.183639816253231	0.0168415739319904	-0.165390636552342	0.044428788146734	TRUE
AC104123.1	0.0785976693584724	0.604169902351739	0.0878538838820656	0.584678632689576	TRUE
AC105402.3	-0.573890163625192	2.72049100788118e-06	-0.640744724393071	1.68212683464269e-07	TRUE
AC114763.1	0.0814953813432473	0.657240717216913			
AC116366.3	0.0833952946514978	0.520072286353925	0.0882827008383783	0.534738406889114	TRUE
AC118549.1	0.0391989633631608	0.7025037082933	0.0577027269976734	0.588187761443282	TRUE
AC124312.1	-0.130855144268174	0.215386956867162	-0.207952263466287	0.0196088033721777	TRUE
AC139887.2	-0.0619121572667054	0.570986095566908	-0.0960411410646336	0.3707128219802	TRUE
AC244021.1	-0.496511225965204	3.43195968183022e-09	-0.527903378199327	1.13030236776295e-09	TRUE
AC244453.3	0.354060489571038	0.00442999706758015	0.304020279581076	0.0243723833314147	TRUE
AC245297.3	0.0784217143832658	0.267371335136051	0.0733566467293763	0.356279342954125	TRUE
ACACA	-0.105482300951991	0.266098326260413	-0.131679059086588	0.180623627544635	TRUE
ACAP2	0.120139943715539	0.0187837357094432	0.105838178564864	0.0581283736145897	TRUE
ACBD3	0.117981858909085	0.299625684322725	0.104252841133103	0.405778874622897	TRUE
ACBD6	-0.00644618818218508	0.950285392598242	0.0131130911253681	0.903087556734332	FALSE
ACER3	0.162006707034915	0.0204675337871022	0.138738217488328	0.0770679448585384	TRUE
