logFC	AveExpr	t	P.Value	adj.P.Val	B	gene
-0.727138540801379	9.02273497058432	-11.1724609176019	6.36526262747579e-16	2.20556350042036e-12	25.993134381948	RBFOX1
-0.6582077474679	8.85375723704693	-10.756826714862	2.76058128856153e-15	4.78270708243286e-12	24.5496320416017	CADM2
-0.721469366239152	8.95093398695137	-10.4384100359183	8.61402566997133e-15	6.80498088132935e-12	23.4307313719979	CSMD1
-0.604493823770276	9.06269463603328	-10.4019680243099	9.81959723135548e-15	6.80498088132935e-12	23.2931246933393	SYT1
-0.600580043053792	9.60510374707271	-10.5044608235277	6.7962228854577e-15	6.80498088132935e-12	23.6512725761124	FP671120.1
-0.730248136140703	9.33113780774848	-10.3367481261437	1.24185123200965e-14	7.17169086485571e-12	23.0548646532617	PCDH9
-0.796384706693256	9.39735565532973	-10.2213660765998	1.88360983325536e-14	8.15838509028726e-12	22.6430012817819	KCNIP4
-0.675213035164662	8.18308838169651	-10.2323902456705	1.80999217967248e-14	8.15838509028726e-12	22.6929509967982	ROBO2
-0.673930736284782	8.30242040907079	-9.8992601531122	6.0736450171282e-14	2.33835333159436e-11	21.5133263290573	NRG3
-0.95323227363147	6.65323048129705	-9.77969260092123	9.40643119017374e-14	3.2593284073952e-11	20.9246847912542	CSMD3
-0.702278944892053	8.28768021978292	-9.71755800873957	1.18141726882375e-13	3.7214643967948e-11	20.8623885407562	LRRTM4
-0.819459144882958	7.48180055725206	-9.57994896901357	1.95983230354006e-13	5.22370687058946e-11	20.3255670506311	CTNNA2
-0.659593664973479	8.70513659694697	-9.58008276733898	1.95886624196043e-13	5.22370687058946e-11	20.3606220864409	CNTNAP2
-0.652271503048853	8.54320674967949	-9.42046417921951	3.53183245380743e-13	8.74128532317338e-11	19.7892707250534	LRP1B
-0.702633737025294	8.36420152220887	-9.38803319977301	3.98238650117061e-13	9.19931281770412e-11	19.6731689268386	DPP10
-0.544737650515456	8.0001627054857	-9.28840059534891	5.7624105730815e-13	1.24792203973296e-10	19.3113310149182	SPARCL1
-0.748842493438555	7.3380980619445	-9.12548410110685	1.05641693756719e-12	2.09824782565493e-10	18.6834959803763	RIMS2
-0.62690804532727	8.23889212364023	-9.11708987891093	1.08999887047009e-12	2.09824782565493e-10	18.686926065328	GPM6A
-0.789209176973446	7.92924800113786	-9.08873915020651	1.21156599964234e-12	2.20951378355827e-10	18.5852924998832	FAM155A
-0.658894857683758	8.3397704601924	-8.96815035811001	1.90109484926184e-12	3.29364682634614e-10	18.1394841249193	LSAMP
-0.73381909755396	6.71306275738054	-8.94529956857879	2.07080407812945e-12	3.4168267289136e-10	17.9741187417117	CNTN5
-0.698079027193576	6.34899254454441	-8.74279799441108	4.42608670854784e-12	6.97108656596284e-10	17.1661239102239	CADM1
-0.735203723128396	7.26657033516633	-8.66301265270356	5.97539132745278e-12	9.00205693461908e-10	17.0203738053115	ADGRL3
-0.543853316448624	9.07998664976016	-8.52743323516955	9.96132317675686e-12	1.43816603364427e-09	16.4900356497548	FP236383.1
-0.785557796955068	6.39410452939681	-8.47875533102239	1.19712040320621e-11	1.60478486099337e-09	16.1994913452538	FRMD5
-0.714953631949252	6.62688538314447	-8.47720146934678	1.20416757246256e-11	1.60478486099337e-09	16.277587627612	LINGO2
-0.722066486445186	7.01120424855135	-8.46243409075698	1.27325694964541e-11	1.63401308537828e-09	16.2367699868025	DLGAP2
-0.756780887947158	7.03181718254114	-8.39812941937563	1.62364928976119e-11	2.00926599607948e-09	16.0241764496543	DMD
-0.67863458376609	7.53831070956387	-8.29252228431795	2.42168191878941e-11	2.89349236158803e-09	15.664474167337	NKAIN2
-0.67158421386898	8.10864261816718	-8.16564417712636	3.91810692859685e-11	4.37943242180261e-09	15.1992890002731	TIMM23B
