direction	rank	gene	logFC	PValue	FDR
disc_cluster2_up	1	PICALM	0.325340924231715	5.27513449001667e-10	4.60987487265244e-08
disc_cluster2_up	2	SRGAP2B	0.340643922078838	6.69208998764662e-10	5.49277723143354e-08
disc_cluster2_up	3	SRGAP2	0.288041731100917	2.80613784570527e-09	1.91577915540907e-07
disc_cluster2_up	4	MAML2	0.330885116234311	3.85486186165283e-09	2.53691584679045e-07
disc_cluster2_up	5	SRGAP2C	0.315578108966305	1.41259319720054e-08	7.37070950396427e-07
disc_cluster2_up	6	BMP2K	0.277283818677158	1.7312691325566e-08	8.84400070861955e-07
disc_cluster2_up	7	MEF2A	0.253465089365416	2.56932765149333e-08	1.25126256627725e-06
disc_cluster2_up	8	PTPRC	0.284777073763046	4.45535314996844e-08	1.96062378075418e-06
disc_cluster2_up	9	FAM49B	0.267421728724841	5.03444690347671e-08	2.1506803877133e-06
disc_cluster2_up	10	RAP1A	0.279082035217386	8.03427702816324e-08	3.18969530927894e-06
disc_cluster2_up	11	ENTPD1	0.335500041373734	8.29747117751183e-08	3.27637983522832e-06
disc_cluster2_up	12	BLNK	0.308118149394887	8.71449204050365e-08	3.38613640190847e-06
disc_cluster2_up	13	TCF12	0.299342543078469	9.51169147937682e-08	3.60015058325636e-06
disc_cluster2_up	14	DLEU2	0.334088993249325	1.13937120442263e-07	4.20358921631683e-06
disc_cluster2_up	15	DOCK4	0.276919136342461	1.26595971096291e-07	4.58082016021211e-06
disc_cluster2_up	16	GNB4	0.317072420529231	1.27297261125675e-07	4.58082016021211e-06
disc_cluster2_up	17	DOCK8	0.244804279495856	1.4221982652683e-07	4.92377171932936e-06
disc_cluster2_up	18	SOCS6	0.336920633095132	1.86677293695203e-07	6.14269202902457e-06
disc_cluster2_up	19	TGFBR1	0.311120837552681	2.08945546880314e-07	6.81405008911025e-06
disc_cluster2_up	20	BNC2	0.368674284807087	2.71820209443896e-07	8.41375690672738e-06
disc_cluster2_up	21	FGD4	0.271269860023406	2.84321395979032e-07	8.72675545221356e-06
disc_cluster2_up	22	GAB2	0.296138151296466	2.95368787204391e-07	9.0279037260589e-06
disc_cluster2_up	23	RNF13	0.336079909532505	3.17259329569483e-07	9.53736379631719e-06
disc_cluster2_up	24	PLXDC2	0.233663108463583	3.27891508581332e-07	9.69735817889325e-06
disc_cluster2_up	25	MED13L	0.241682942010795	4.56075849464997e-07	1.29635567328475e-05
disc_cluster2_up	26	SPRED1	0.27742222867047	4.62823677888143e-07	1.31043680890422e-05
