TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
FOXA1	2	5.45901482836521e-12	119.397217774469	ChEA_2022;TRRUST_Transcription_Factors_2019	FOXA1 33576154 ChIP-Seq Human Lung ProstateCancer	44.765123507628
SOX2	2	2.62357860195388e-07	71.2671091860177	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SOX2 20726797 ChIP-Seq SW620 Human	34.1655442139357
AR	3	1.9014208336987e-09	82.4111055099124	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	AR 27270436 ChIP-Seq VCaP Human Prostate Carcinoma	27.9586843556675
SPI1	3	9.64438212870638e-08	62.8981117116259	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	SPI1 23547873 ChIP-Seq NB4 Human	27.1835588821024
STAT3	3	6.83776552728401e-06	88.0123261126404	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	STAT3 20064451 ChIP-Seq CD4+T Mouse	26.8595335220958
RUNX1	2	8.23234856631794e-07	45.8391048916866	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	RUNX1 21571218 ChIP-Seq MEGAKARYOCYTES Human	25.1315047363008
PPARG	3	7.61873972793534e-09	77.093328277548	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	PPARG 20887899 ChIP-Seq 3T3-L1 Mouse	24.0373039320361
NANOG	3	0.00011111745419901	32.4656610207656	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	NANOG 18692474 ChIP-Seq MEFs Mouse	23.1611976827526
CEBPB	3	6.32889795757522e-06	47.8326360662052	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	CEBPB 21427703 ChIP-Seq 3T3-L1 Mouse	21.0216020306512
NR3C1	2	4.86752463766401e-11	107.402886357429	ChEA_2022;TRRUST_Transcription_Factors_2019	NR3C1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation	19.7441606165253
AF4	1	5.56472584389906e-15	181.016048550815	ChEA_2022	AF4 26711339 ChIP-Seq SEM Human Blood Leukemia	19.3564309827834
KDM2B	1	0.000149948037583089	31.9681584370737	ChEA_2022	KDM2B 26808549 Chip-Seq REH Human	18.9303334765109
