Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library	Query_label	TF	neglog10_adjP
1	AF4 26711339 ChIP-Seq SEM Human Blood Leukemia	1.875275481749148e-17	6.064585010676655	233.57865007452273	B4GALT1;CCNH;SPRED1;DIP2B;MEF2A;MBNL1;WSB1;PRKCH;IFNGR1;ANKRD44;TCF12;PLA2G4A;TBC1D9;GAB2;FBXO11;ETV6;APBB1IP;ZEB2;BMP2K;PELI1;MAML3;IL6ST;RAF1;WDFY4;RHOQ;CEBPB;USP53;ARHGAP15;PLD1;RAP1A;CHST11;ST8SIA4;SOCS6;RREB1;LYN;UVRAG;PHC2;RANBP9;PLXDC2;PHC3;MED13L;MKLN1;FAM135A;PTPRC;CDK6;GNAQ;MGAT4A;GNB4;HNRNPC;PIK3AP1;PICALM	1.3333208675236443e-14	0	0	ChEA_2022	primary_candidate	AF4	13.875065323784952
2	ENL 26711339 ChIP-Seq SEM Human Blood Leukemia	8.329670443483988e-17	7.277638915593156	269.44819609068196	USP53;CCNH;ARHGAP15;PLD1;CHST11;ST8SIA4;DIP2B;SOCS6;RREB1;LYN;MEF2A;MBNL1;WSB1;PRKCH;ANKRD44;TCF12;RANBP9;GAB2;PLXDC2;FBXO11;PHC3;MED13L;ETV6;APBB1IP;MKLN1;ZEB2;PTPRC;CDK6;GNAQ;MGAT4A;GNB4;BMP2K;PELI1;RAF1;PIK3AP1;WDFY4;PICALM	2.9611978426585575e-14	0	0	ChEA_2022	primary_candidate	ENL	13.528532575689209
3	SMRT 22465074 ChIP-Seq MACROPHAGES Mouse	1.8895639447227836e-15	6.6873380829015545	226.71701331187808	CX3CR1;DOCK4;BNC2;RNF13;CCNH;DOCK8;ARHGAP15;SPRED1;RAP1A;CHST11;ST8SIA4;SRGAP2;MEF2A;ENTPD1;PHC2;PRKCH;IFNGR1;ANKRD44;TCF12;KCNK13;PLA2G4A;TBC1D9;RANBP9;GAB2;TM6SF1;FBXO11;PTPRC;CDK6;MGAT4A;SLC9A9;ELMO1;PELI1;TAB2;IL6ST;RAF1;WDFY4	4.478266548992997e-13	0	0	ChEA_2022	primary_candidate	SMRT	12.348890060531067
4	SMARCA4 23332759 ChIP-Seq OLIGODENDROCYTES Mouse	1.0008304808067507e-14	5.808036440540101	187.22415232475333	CX3CR1;B4GALT1;CCNH;DOCK8;FAM13A;PTPRJ;ARHGAP15;PLD1;SPRED1;SCIN;CHST11;ST8SIA4;PDK4;SRGAP2;P2RY12;MBNL1;PRKCH;ANKRD44;WNT5A;TCF12;FOXN3;GAB2;PLXDC2;FBXO11;PHC3;ARHGAP24;ETV6;MKLN1;ZEB2;FAM135A;GNAQ;MGAT4A;ELMO1;TAB2;IL6ST;CPVL;ST6GALNAC3;PIK3AP1;RIN2;PICALM	1.7789761796339995e-12	0	0	ChEA_2022	primary_candidate	SMARCA4	11.749829867049728
5	NFKB1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation	3.2545847725415372e-12	4.2743175192154785	113.05978640226611	DOCK4;B4GALT1;MAML2;CCNH;FAM13A;PTPRJ;SPRED1;PDK4;MEF2A;MBNL1;PRKCH;IFNGR1;ANKRD44;WNT5A;TCF12;KCNK13;PLA2G4A;GAB2;TGFBR1;ETV6;APBB1IP;ZEB2;PELI1;IL6ST;ST6GALNAC3;RIN2;TLR2;CEBPB;USP53;ARHGAP15;PLD1;FGD4;CHST11;ST8SIA4;SRGAP2;SOCS6;RREB1;LYN;P2RY12;UVRAG;TM6SF1;ARHGAP24;MED13L;MKLN1;CDK6;GNAQ;GNB4;TAB2;HNRNPC;PICALM	4.6280195465540655e-10	0	0	ChEA_2022	primary_candidate	NFKB1	9.334604815463019
6	MECOM 23826213 ChIP-Seq KASUMI Mouse	6.46786605552622e-12	5.527047973339533	142.39983057307313	B4GALT1;RNF13;ARHGAP15;SAMSN1;RAP1A;CHST11;ST8SIA4;OLR1;DIP2B;SRGAP2;RREB1;MEF2A;P2RY12;UVRAG;PHC2;MBNL1;ANKRD44;PLA2G4A;PLXDC2;TM6SF1;ETV6;APBB1IP;ZEB2;PTPRC;SLC9A9;ELMO1;HCLS1;TAB2;HNRNPC;WDFY4;TLR2	7.664421275798571e-10	0	0	ChEA_2022	primary_candidate	MECOM	9.115520632227211
7	AR 22383394 ChIP-Seq PROSTATE CANCER Human	8.049000746143038e-12	5.475562086418686	139.87582433158872	RBM47;B4GALT1;MAML2;BNC2;CCNH;DOCK8;PTPRJ;FGD4;SPRED1;RAP1A;CHST11;PDK4;BLNK;DIP2B;SOCS6;PAG1;UVRAG;PHC2;ANKRD44;WNT5A;TCF12;FOXN3;ETV6;MKLN1;SLC9A9;BMP2K;MAML3;RAF1;ST6GALNAC3;PIK3AP1;PICALM	8.175485043582429e-10	0	0	ChEA_2022	primary_candidate	AR	9.087486471633753
8	MEIS1 26253404 ChIP-Seq OPTIC CUPS Mouse	1.1853327706093214e-11	5.531296795447739	139.15864626661804	DOCK4;MAML2;BNC2;CCNH;FAM13A;ARHGAP15;SAMSN1;FGD4;RAP1A;DIP2B;SRGAP2;SOCS6;MBNL1;ANKRD44;TBC1D9;GAB2;FBXO11;PHC3;MED13L;MKLN1;ZEB2;FAM135A;PTPRC;SLC9A9;BMP2K;MAML3;CPVL;ST6GALNAC3;RIN2;PICALM	1.0534644998790343e-09	0	0	ChEA_2022	primary_candidate	MEIS1	8.977380094860258
9	ZNF217 24962896 ChIP-Seq MCF-7 Human	1.874283408299887e-11	5.748215701823949	141.98213276914308	DOCK4;CEBPB;MAML2;PTPRJ;PLD1;CALCR;SCIN;CHST11;ST8SIA4;DIP2B;RREB1;LYN;MBNL1;WSB1;PRKCH;PLA2G4A;TBC1D9;PLXDC2;ARHGAP24;MED13L;PTPRC;CDK6;GNAQ;MGAT4A;PELI1;MAML3;IL6ST;RIN2	1.4806838925569107e-09	0	0	ChEA_2022	primary_candidate	ZNF217	8.82953764800908
10	IRF8 27001747 Chip-Seq BMDM Mouse	2.285613489250317e-11	5.373177842565598	131.65253718696863	CX3CR1;RBM47;B4GALT1;RNF13;PTPRJ;ARHGAP15;SPRED1;RAP1A;ST8SIA4;BLNK;RREB1;PAG1;IL13RA1;LYN;UVRAG;ENTPD1;GPR34;ANKRD44;TM6SF1;PHC3;MED13L;ETV6;PTPRC;GNAQ;MGAT4A;BMP2K;PELI1;TAB2;PIK3AP1;WDFY4	1.6250711908569752e-09	0	0	ChEA_2022	primary_candidate	IRF8	8.789127608765652
