TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
AR	3	8.175485043582429e-10	139.87582433158872	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	AR 22383394 ChIP-Seq PROSTATE CANCER Human	30.393143313950745
STAT3	3	5.194350664745678e-09	128.5062247165669	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	STAT3 23295773 ChIP-Seq U87 Human	27.569379131869958
SPI1	3	1.7665517436063602e-07	99.9000131671771	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	SPI1 22096565 ChIP-ChIP GC-B Mouse	23.414653711387206
ESR1	3	3.7910748761829885e-07	87.19130208624954	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	ESR1 22446102 ChIP-Seq UTERUS Mouse	14.388503389911593
NANOG	3	0.0004977919664276582	30.01787083112327	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	NANOG 18555785 Chip-Seq ESCs Mouse	14.642973245464388
PPARD	3	0.0010275903271962223	67.37423003045056	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	PPARD 21283829 ChIP-Seq MYOFIBROBLAST Human	6.150067691067719
NFE2L2	3	0.0018628265293160833	37.88897627865995	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	NFE2L2 22581777 ChIP-Seq LYMPHOBLASTOID Human	5.604015928848681
E2F1	3	0.0030386213164814223	20.186390538308107	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	E2F1 18555785 Chip-Seq ESCs Mouse	3.946464468814822
TCF3	3	0.005169506590286923	41.58695944336839	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	TCF3 18347094 ChIP-ChIP MESCs Mouse	8.507997480985244
CREB1	3	0.03214529964111339	12.964476920040203	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	CREB1 23762244 ChIP-Seq HIPPOCAMPUS Rat	3.502598546415975
EGR1	3	0.042454229278090505	12.056355079286249	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	EGR1 23403033 ChIP-Seq LIVER Mouse	3.358682281865872
HNF4A	3	0.042713223812284075	10.418840649099968	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	HNF4A 19761587 ChIP-ChIP CACO-2 Human	2.083821822787651
RELA	3	0.05655775542213747	8.12128812513716	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	RELA 24523406 ChIP-Seq FIBROSARCOMA Human	2.787991642252013
