Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library	Query_label	TF	neglog10_adjP
1	NFKB1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation	1.6717386546560443e-26	9.136651131824234	542.2908362139661	DPP10;ROBO2;CHRM3;CNTNAP2;RYR2;TENM2;DGKB;MYT1L;GRIK2;CLU;IQCJ-SCHIP1;RIMS2;LRRTM4;ZNF385B;DLGAP1;NRCAM;EDIL3;PRKG1;RBFOX1;DCC;MTUS2;ANK2;FRMD5;NRG3;CDH12;PLCB1;GPM6A;GRIA2;PDE1A;PCDH15;CACNA1B;NRXN3;NKAIN2;SPOCK3;NCAM1;CTNNA2;CSMD3;LRRC4C;GPC6;CSMD1;OPCML;LINGO2;NTRK2;CADM1;PCDH9;CNTN5;SYT1;ARPP21;CADM2;ATRNL1;ANKRD30BL;PCDH7;KCNIP4;LSAMP;CDC42BPA;SGCZ;LRP1B;DCLK1;PTPRD;NELL1;LRFN5;PPP2R2B;CNTN3;CCSER1;MDGA2;FGF12;ADGRL2;ADGRL3	1.0883018641810848e-23	0	0	ChEA_2022	primary_reference	NFKB1	22.96325062691264
2	SMARCD1 25818293 ChIP-Seq ESCs Mouse	1.6536680992591473e-24	9.899986160446556	542.1138007361019	ROBO2;GPM6A;CNTNAP2;TENM2;GABRB1;NTM;PDE1A;PCDH15;NRXN3;PREX2;IQCJ-SCHIP1;RIMS2;NKAIN2;GRM5;ERBB4;DMD;NCAM2;CTNNA2;CSMD3;LRRC4C;GPC6;DLGAP2;RGS6;PRKG1;CALN1;OPCML;LINGO2;RBFOX1;PCDH9;CNTN5;SYT1;ARPP21;DCC;ATRNL1;KCNIP4;MTUS2;SGCZ;LRP1B;STXBP5L;PTPRD;NELL1;FRMD5;NRG3;CDH12;XKR4;MDGA2;PLCB1	5.382689663088525e-22	0	0	ChEA_2022	primary_reference	SMARCD1	21.26900065854459
3	SMAD4 21799915 ChIP-Seq A2780 Human	1.1385395777482498e-21	8.066414856783128	388.9991506274604	DPP10;ROBO2;CNTNAP2;RYR2;DGKB;MYT1L;PREX2;RIMS2;LRRTM4;DLGAP1;NRCAM;EDIL3;PRKG1;CALN1;DCC;MTUS2;NRG3;CDH12;PLCB1;SLC24A2;GRIA2;PDE1A;PCDH15;NRXN3;COL19A1;NKAIN2;DMD;CTNNA2;LRRC4C;CSMD1;LINGO2;CNTN5;SYT1;CADM2;ATRNL1;PCDH7;KCNIP4;LSAMP;SGCZ;LRP1B;DCLK1;PTPRD;NELL1;LRFN5;PPP2R2B;CNTN1;PLP1;XKR4;FGF12	2.470630883713702e-19	0	0	ChEA_2022	primary_reference	SMAD4	18.607192134055893
4	TCF4 23295773 ChIP-Seq U87 Human	5.4364651859119445e-21	7.129248658318426	332.6589972487063	DPP10;ROBO2;CNTNAP2;RYR2;GABRB1;DGKB;MYT1L;ADARB2;PREX2;LRRTM4;DLGAP1;NRCAM;DLGAP2;RGS6;PRKG1;CALN1;DCC;FRMD5;NRG3;CDH12;PLCB1;SLC24A2;GPM6A;GRIA2;PDE1A;SLC1A2;PCDH15;CACNA1B;NRXN3;NKAIN2;ERBB4;DMD;NCAM2;CTNNA2;CSMD3;LRRC4C;GPC6;CSMD1;BPTF;PCDH9;CNTN5;CADM2;ATRNL1;PCDH7;KCNIP4;LSAMP;CDC42BPA;SGCZ;LRP1B;DCLK1;STXBP5L;NELL1;PPP2R2B;CNTN3;XKR4;MDGA2;FGF12	8.84784709007169e-19	0	0	ChEA_2022	primary_reference	TCF4	18.05316239152219
5	SOX2 21211035 ChIP-Seq LN229 Gbm	2.850794172982866e-20	7.141898766374157	321.41475660507365	DPP10;ROBO2;CHRM3;CNTNAP2;RYR2;DGKB;MYT1L;GRIK2;LRRTM4;DLGAP1;EDIL3;DLGAP2;RGS6;PRKG1;CALN1;DCC;FRMD5;NRG3;CDH12;PLCB1;GRIA2;PCDH15;CACNA1B;NRXN3;COL19A1;ERBB4;NCAM1;DMD;NCAM2;CTNNA2;CSMD3;LRRC4C;GPC6;CSMD1;OPCML;NTRK2;PCDH9;CNTN5;SYT1;ATRNL1;PCDH7;KCNIP4;LSAMP;SGCZ;LRP1B;PTPRD;NELL1;LRFN5;PLP1;CNTN3;XKR4;FGF12	3.711734013223691e-18	0	0	ChEA_2022	primary_reference	SOX2	17.430423153338985
6	ZFP57 27257070 Chip-Seq ESCs Mouse	1.8411932826688018e-19	11.516206482593038	496.7942097835299	GPM6A;GRIA2;DGKB;PDE1A;GRIK2;ADARB2;COL19A1;PREX2;ERBB4;SPOCK3;LRRC4C;GPC6;EDIL3;CSMD1;PCDH9;CNTN5;SYT1;LSAMP;ANK2;SGCZ;LRP1B;LRFN5;FRMD5;NRG3;PPP2R2B;CDH12;XKR4;MDGA2;PLCB1;FGF12	1.99769471169565e-17	0	0	ChEA_2022	primary_reference	ZFP57	16.699470880052125
7	SUZ12 20075857 ChIP-Seq MESCs Mouse	4.557815510783309e-19	6.3536247034699045	268.3280150038779	DPP10;ROBO2;CHRM3;CNTNAP2;RYR2;GABRB1;MYT1L;GRIK2;ADARB2;PREX2;RIMS2;GRM5;NRCAM;EDIL3;DLGAP2;RGS6;PRKG1;CALN1;FRMD5;NRG3;PLCB1;SLC24A2;GRIA2;NTM;SLC1A2;CACNA1B;COL19A1;NKAIN2;ERBB4;SPOCK3;NCAM1;NCAM2;CTNNA2;CSMD3;LRRC4C;GPC6;CSMD1;OPCML;LINGO2;NTRK2;CADM1;PCDH9;CNTN5;SYT1;CADM2;PCDH7;LSAMP;SGCZ;LRP1B;DCLK1;STXBP5L;NELL1;LRFN5;PPP2R2B;CNTN1;XKR4;MDGA2;FGF12	4.238768425028477e-17	0	0	ChEA_2022	primary_reference	SUZ12	16.372760309423636
8	STAT3 23295773 ChIP-Seq U87 Human	7.577091060593501e-19	6.6923076923076925	279.2297618708057	DPP10;ROBO2;CHRM3;CNTNAP2;RYR2;GABRB1;DGKB;MYT1L;CLU;RIMS2;LRRTM4;ZNF385B;DLGAP1;EDIL3;RGS6;PRKG1;DCC;ANK2;NRG3;CDH12;NTM;PCDH15;NRXN3;NKAIN2;ERBB4;SPOCK3;DMD;CTNNA2;CSMD3;GPC6;CSMD1;BPTF;OPCML;PCDH9;CNTN5;KCNIP4;LSAMP;CDC42BPA;SGCZ;LRP1B;DCLK1;STXBP5L;PTPRD;NELL1;LRFN5;PPP2R2B;CNTN1;CNTN3;XKR4;FGF12	6.165857850557962e-17	0	0	ChEA_2022	primary_reference	STAT3	16.21000649184271
9	SMARCA4 23332759 ChIP-Seq OLIGODENDROCYTES Mouse	6.036063504867704e-18	6.860111770869717	271.9950597170655	DPP10;SLC24A2;ROBO2;CHRM3;GRIA2;GABRB1;NTM;PDE1A;NRXN3;GRIK2;ADARB2;PREX2;GRM5;LRRTM4;ERBB4;NCAM1;NRCAM;DMD;NCAM2;CTNNA2;LRRC4C;CSMD1;OPCML;NTRK2;RBFOX1;CADM1;PCDH9;CNTN5;SYT1;ARPP21;CADM2;DCC;PCDH7;LSAMP;CDC42BPA;LRP1B;DCLK1;PPP2R2B;CNTN1;CNTN3;XKR4;MDGA2;PLCB1;FGF12	4.366085935187639e-16	0	0	ChEA_2022	primary_reference	SMARCA4	15.359907720571336
10	P300 19829295 ChIP-Seq ESCs Human	6.788641767464283e-18	7.5426176796162565	298.16933735872163	DPP10;SLC24A2;ROBO2;CHRM3;CNTNAP2;RYR2;NTM;PDE1A;GRIK2;PREX2;RIMS2;NKAIN2;LRRTM4;NCAM1;DLGAP1;CTNNA2;LRRC4C;GPC6;EDIL3;DLGAP2;CSMD1;RGS6;OPCML;LINGO2;CADM1;PCDH9;CNTN5;SYT1;CADM2;DCC;PCDH7;KCNIP4;ANK2;STXBP5L;NELL1;FRMD5;PPP2R2B;CNTN1;XKR4	4.4194057906192476e-16	0	0	ChEA_2022	primary_reference	P300	15.354636119610904
