TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
TP53	3	0.004147754764542434	23.551258306715106	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	TP53 20018659 ChIP-ChIP R1E Mouse	7.488901163782383
FOXP2	3	0.02004790409546191	141.432767389918	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	FOXP2 21765815 ChIP-ChIP NEURO2A Mouse	2.4448495591237034
RUNX1	3	0.1234667911015311	8.768612919919887	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	RUNX1 17652178 ChIP-ChIP JURKAT Human	2.4960014608747825
CREB1	3	0.4519108406910315	2.2739252396942655	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	CREB1 human	0.34495540429485744
NFKB1	2	1.0883018641810848e-23	542.2908362139661	ChEA_2022;TRRUST_Transcription_Factors_2019	NFKB1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation	23.222764005117494
SMAD4	2	2.470630883713702e-19	388.9991506274604	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SMAD4 21799915 ChIP-Seq A2780 Human	24.567556120594254
TCF4	2	8.84784709007169e-19	332.6589972487063	ChEA_2022;TRRUST_Transcription_Factors_2019	TCF4 23295773 ChIP-Seq U87 Human	20.3715882090174
SOX2	2	3.711734013223691e-18	321.41475660507365	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SOX2 21211035 ChIP-Seq LN229 Gbm	19.651851749298967
SUZ12	2	4.238768425028477e-17	268.3280150038779	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SUZ12 20075857 ChIP-Seq MESCs Mouse	67.77396922317625
SOX9	2	1.466761198508886e-14	272.69450243614466	ChEA_2022;TRRUST_Transcription_Factors_2019	SOX9 26525672 Chip-Seq HEART Mouse	14.682379334614424
