Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library	Query_label	TF	neglog10_adjP
1	AF4 26711339 ChIP-Seq SEM Human Blood Leukemia	7.612484054581479e-18	4.592364532019705	181.01604855081507	RB1;SCARB2;ITGB1;UBE2D3;PDE3B;CLTC;CDC73;PPP1CB;DOCK11;HERC4;RGS1;GPBP1;PAPOLA;NCK2;B2M;SRGN;AGTPBP1;ACSL1;ELOVL5;ARID5A;ARID5B;ANO6;PIAS2;RUNX1;ADAM9;TOP1;BCAT1;GAS7;STXBP3;NUFIP2;PDS5B;ZC3HAV1;SNX30;HIF1A;CORO1C;HSPD1;GNA13;SDCBP;SNX1;HSPH1;CHSY1;GNA12;UBQLN1;SHOC2;MPZL1;CYTH1;RANBP2;PTPN1;PTGES3;MYO1E;CDK6;FMNL2;P4HA1;VAPA;TAOK3;WNK1;KLHL6;GLB1;REL;AAK1;CTNNB1;PIK3AP1;HSPA1B;ZCCHC2;HSPA1A;CDC42SE2	5.564725843899061e-15	0	0	ChEA_2022	pooled_ASD_up	AF4	14.254556227091129
2	FOXA1 33576154 ChIP-Seq Human Lung ProstateCancer	1.4935745084446534e-14	3.7504993342210384	119.3972177744689	SCARB2;UBXN2B;UBE2D3;FAM13A;SNAP23;CLTC;RBPJ;DUSP16;CDC73;CNDP2;PPP1CB;RGS1;GPBP1;PAPOLA;PHACTR2;B2M;PDE8A;CAST;AGTPBP1;CERS6;MBNL2;ACSL1;ELOVL5;FNDC3B;ARID5B;MITF;ANO6;RUNX1;PLSCR1;SOAT1;RUFY3;ADAM9;TXNIP;PPARG;TLR5;SKAP2;HDAC4;RBM47;CEBPD;NEDD9;ZC3HAV1;HIF1A;TYMP;GNA13;SDCBP;HSPH1;SEC14L1;SCIN;CHSY1;UBQLN1;MGAT1;CYTH1;RANBP2;STARD13;STAT3;ELL2;SYT17;DNAJA1;MYO1E;KLF6;CDK6;P4HA1;VAPA;GLB1;AAK1;CTNNB1;TAB2;INTS6;PIK3AP1;HSPA1B	5.459014828365208e-12	0	0	ChEA_2022	pooled_ASD_up	FOXA1	11.262885726014897
3	ENL 26711339 ChIP-Seq SEM Human Blood Leukemia	5.73860235848942e-14	4.823430114787306	147.06144313972973	RB1;NUFIP2;UBE2D3;PDE3B;DDX60L;PDS5B;ZC3HAV1;SNX30;HIF1A;HSPD1;DOCK11;HERC4;SDCBP;HSPH1;CHSY1;GPBP1;UBQLN1;NCK2;SHOC2;MPZL1;CYTH1;SRGN;PTPN1;ELOVL5;PTGES3;ARID5B;RUNX1;CDK6;FMNL2;P4HA1;TAOK3;WNK1;REL;AAK1;ADAM9;CTNNB1;TOP1;BCAT1;PIK3AP1;ZCCHC2;CDC42SE2;GAS7	1.3983061080185886e-11	0	0	ChEA_2022	pooled_ASD_up	ENL	10.854397745277756
4	NR3C1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation	2.663488173824358e-13	3.7094356261022927	107.4028863574285	ITGB1;TNFAIP8;FAM13A;RBPJ;PPP1CB;RGS1;PAPOLA;PHACTR2;RALGPS2;CAST;SRGN;AGTPBP1;CERS6;MBNL2;ACSL1;RALGAPA2;HLA-B;FNDC3B;ARID5B;MITF;RUNX1;ADAM9;FAM20C;TXNIP;TOP1;BCAT1;TLR5;SKAP2;GAS7;HDAC4;RBM47;CEBPD;NEDD9;ASAP1;SNX30;HIF1A;PGS1;HSPH1;SEC14L1;CHSY1;GNA12;UBQLN1;DYM;MPZL1;CYTH1;PTPN1;STARD13;POU2F2;ELL2;MYO1E;KLF6;CDK6;FMNL2;VAPA;WNK1;CTNNB1;TAB2;INTS6;PIK3AP1;CDC42SE2	4.867524637664014e-11	0	0	ChEA_2022	pooled_ASD_up	NR3C1	10.312691841559456
5	AR 27270436 ChIP-Seq VCaP Human Prostate Carcinoma	1.3005614457583439e-11	3.2878117457763474	82.41110550991239	RB1;TNFAIP8;UBE2D3;FAM13A;CLTC;RBPJ;DUSP16;CDC73;CNDP2;DOCK11;GPBP1;PAPOLA;B2M;CAST;MBNL2;ACSL1;ELOVL5;ARID5A;FNDC3B;ARID5B;MITF;ANO6;PARP9;RUNX1;SOAT1;RUFY3;TXNIP;SKAP2;HDAC4;RBM47;STXBP3;NUFIP2;CEBPD;NEDD9;ZC3HAV1;HSPD1;PGS1;SDCBP;STX6;UBQLN1;MGAT1;MPZL1;CYTH1;SNCA;RANBP2;STARD13;KDM4C;STAT3;POU2F2;ELL2;SYT17;VMP1;KLF6;CDK6;P4HA1;TAOK3;WNK1;REL;CTNNB1;TAB2;INTS6;PIK3AP1	1.9014208336986984e-09	0	0	ChEA_2022	pooled_ASD_up	AR	8.720921751874034
6	LEF1 29337183 ChIP-Seq mESC Mouse Stem	2.8152382672387373e-11	3.6138789577921244	87.79336776478273	RB1;SCARB2;HDAC4;FCGBP;TNFAIP8;RBM47;NEDD9;ASAP1;ZC3HAV1;AGAP3;HIF1A;DCAF6;PPP1CB;GNA13;SEC14L1;CHSY1;NCK2;DYM;PHACTR2;SHOC2;GPR155;CYTH1;RALGPS2;PTPN1;CERS6;MBNL2;ELOVL5;PTGES3;RALGAPA2;ARID5A;ARID5B;MITF;MOB3B;RUNX1;SYT17;MYO1E;KLF6;FMNL2;P4HA1;REL;AAK1;TXNIP;CTNNB1;TOP1;TLR5;HSPA1B;HSPA1A;GAS7	3.429898622252528e-09	0	0	ChEA_2022	pooled_ASD_up	LEF1	8.464718716239146
7	Nerf2 26677805 Chip-Seq MACROPHAGESS Mouse	5.168968268507962e-11	4.903167185877466	116.13525549997942	HDAC4;TNFAIP8;RBM47;CLTC;HIF1A;SEC14L1;CHSY1;SPP1;NCK2;PTPN1;SLC11A1;PTGES3;RALGAPA2;ARID5A;ARID5B;MITF;TNFRSF1B;RUNX1;KLF6;RAB31;FMNL2;SOAT1;NUMB;CTNNB1;PPARG;INTS6;ATP13A3;TLR5;PIK3AP1;ZCCHC2	5.397879720399029e-09	0	0	ChEA_2022	pooled_ASD_up	NERF2	8.267776796946782
8	SMRT 22465074 ChIP-Seq MACROPHAGES Mouse	7.415415147082868e-11	4.028302760793033	93.95965860516266	SCARB2;TNFAIP8;CEBPD;UBE2D3;CLTC;LY96;PPP1CB;PGS1;GNA13;RGS1;GPBP1;STX6;PGK1;SHOC2;CYTH1;CAST;SRGN;RANBP2;AGTPBP1;SLC11A1;ARID5A;POU2F2;DNAJA1;CDK6;SOAT1;P4HA1;VAPA;KLHL6;GLB1;REL;AAK1;FAM20C;TXNIP;TAB2;INTS6;ATP13A3;TLR5;GAS7	6.775835590646971e-09	0	0	ChEA_2022	pooled_ASD_up	SMRT	8.16903714030147
9	PPARG 20887899 ChIP-Seq 3T3-L1 Mouse	9.38011731209549e-11	3.338841488101486	77.09332827754801	SCARB2;TNFAIP8;FAM13A;PDE3B;SNAP23;RBPJ;PPP1CB;PAPOLA;NCK2;JAK3;SRGN;MBNL2;ACSL1;ELOVL5;RALGAPA2;FNDC3B;ARID5B;ANO6;TNFRSF1B;PARP9;RUNX1;RAB31;FAM20C;HCLS1;PPARG;TOP1;C1QB;HDAC4;RBM47;NUFIP2;NEDD9;ASAP1;SNX30;HIF1A;HSPD1;RAB20;HSPH1;STX6;SPP1;UBQLN1;SHOC2;MGAT1;RANBP2;PTPN1;STARD13;KLF6;FMNL2;TAOK3;CTNNB1;ATP13A3;PIK3AP1;ZCCHC2	7.618739727935337e-09	0	0	ChEA_2022	pooled_ASD_up	PPARG	8.118116862580317
10	MITF 21258399 ChIP-Seq MELANOMA Human	1.6756395450419903e-10	2.9473481514084505	66.34379305821356	SCARB2;UBE2D3;FAM13A;CLTC;RBPJ;DUSP16;CNDP2;GPBP1;PAPOLA;PDE8A;CAST;AGTPBP1;MBNL2;ACSL1;RALGAPA2;FNDC3B;MITF;ANO6;ATP11A;TNFRSF1B;RUNX1;PLSCR1;SOAT1;RUFY3;PADI2;FAM20C;TXNIP;TOP1;SKAP2;GAS7;HDAC4;NUFIP2;NEDD9;ASAP1;ZC3HAV1;SNX30;HIF1A;CORO1C;HSPD1;GNA13;SDCBP;SCIN;CHSY1;GNA12;STX6;SPP1;UBQLN1;DYM;MGAT1;MPZL1;CYTH1;SNCA;PTPN1;STARD13;KDM4C;STAT3;MSN;SYT17;MYO1E;FCGR2A;CDK6;FMNL2;VAPA;TAOK3;KLHL6;GLB1;REL;AAK1;ATP13A3;ZCCHC2	1.2248925074256949e-08	0	0	ChEA_2022	pooled_ASD_up	MITF	7.911902021895529
