TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
AR	3	1.9014208336986984e-09	82.41110550991239	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	AR 27270436 ChIP-Seq VCaP Human Prostate Carcinoma	27.958684355667536
PPARG	3	7.618739727935337e-09	77.09332827754801	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	PPARG 20887899 ChIP-Seq 3T3-L1 Mouse	24.037303932036092
SPI1	3	9.644382128706375e-08	62.89811171162587	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	SPI1 23547873 ChIP-Seq NB4 Human	27.18355888210239
CEBPD	3	2.2349167891772616e-07	73.27147200043699	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	CEBPD 21427703 ChIP-Seq 3T3-L1 Mouse	8.047704014405477
TP53	3	2.5370322265360894e-07	58.48387320343003	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	TP53 23651856 ChIP-Seq MEFs Mouse	11.362390738815131
IRF8	3	4.872473356348585e-06	55.66181399289476	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	IRF8 27001747 Chip-Seq BMDM Mouse	10.210099928226198
CEBPB	3	6.328897957575221e-06	47.83263606620523	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	CEBPB 21427703 ChIP-Seq 3T3-L1 Mouse	21.021602030651184
STAT3	3	6.837765527284005e-06	88.01232611264042	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	STAT3 20064451 ChIP-Seq CD4+T Mouse	26.859533522095845
SMAD4	3	7.776614597173514e-06	41.500646181274675	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	SMAD4 21799915 ChIP-Seq A2780 Human	10.805619850036267
FOXA2	3	7.909066812724785e-06	39.08730296570664	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	FOXA2 19822575 ChIP-Seq HepG2 Human	5.901865094456453
