Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library	Query_label	TF	neglog10_adjP
1	TCF4 23295773 ChIP-Seq U87 Human	4.213318580753037e-06	2.3618467926197084	29.233191736348207	PID1;CLSTN2;CPNE4;PRUNE2;GPATCH2;RNF19B;CACNA1C;TTC28;NR3C2;ARHGAP22;CASP8;SGCD;LRRTM3;PLXNA2;PHACTR1;KIF3C;ATP9B;KIRREL3;PTPRN2;OSBPL6;NEBL;ATRNL1;SECISBP2;ANXA4;REV1;TBC1D9;FRS2;ARHGAP27;IGF1;COMMD1;PTPN14;PLXDC1;NAALADL2;ETV5;CACNB4;PDE10A;SUCLA2;TFDP2;SLC9A8;CDH12;CDH13;MAN2B1;PIGG;ANKRD36B;VCL;HCN1	0.0019918056423434936	0	0	ChEA_2022	pooled_ASD_down	TCF4	2.700753041703401
2	AR 19668381 ChIP-Seq PC3 Human	5.555943214347263e-06	2.4069982695480703	29.126225205834363	COL18A1;HDAC5;CPNE4;HTRA1;CACNA1C;PRDM11;PTS;NR3C2;SGCD;SIN3B;RASGEF1C;PLXNA2;PHACTR1;ATP9B;ZBED5;KIRREL3;PTPRN2;NEBL;TMEM132B;ANXA4;LRRC28;TBC1D9;FRS2;ARHGAP27;PTPN14;NAALADL2;TARBP1;CTTNBP2NL;ITPKB;PEX5L;PDE10A;CCPG1;SP4;CDH13;APBA1;PIGL;CENPP;PIGG;VCL;TNFRSF21;TNRC6A;HCN1	0.0019918056423434936	0	0	ChEA_2022	pooled_ASD_down	AR	2.700753041703401
3	TEAD4 22529382 ChIP-Seq TROPHECTODERM Mouse	1.3940725899608992e-05	2.638533178114086	29.50063756371959	SHC3;CLSTN2;NVL;HTRA1;CACNA1C;CARF;TTC28;NR3C2;ARHGAP22;CASP8;SGCD;PLXNA2;EXPH5;KIRREL3;RAP1GAP2;NCOA5;ATRNL1;NUBPL;SECISBP2;TMEM132B;COMMD1;ATG14;PTPN14;ETV5;CTTNBP2NL;CACNB4;PDE10A;CDH13;APBA1;HCN1	0.003331833490006549	0	0	ChEA_2022	pooled_ASD_down	TEAD4	2.477316710800148
4	GATA1 21571218 ChIP-Seq MEGAKARYOCYTES Human	3.959784447653333e-05	2.3852750393960496	24.17890306023931	SHC3;PRUNE2;RNF19B;CTCF;PRDM11;PRAM1;NR3C2;PTGS1;PLXNA2;PHACTR1;KIF3C;ACSS1;ATP9B;ERMAP;RAP1GAP2;PTPRN2;TMEM132B;ANXA4;ANGEL1;PTPN14;TARBP1;SMU1;ITPKB;PER3;PDE10A;TFDP2;LPAR5;SP4;PIGL;CENPP;PLCB2;VCL;TAF1	0.007022783907567839	0	0	ChEA_2022	pooled_ASD_down	GATA1	2.1534906947041335
5	YAP1 20516196 ChIP-Seq MESCs Mouse	4.897338847676317e-05	2.4499455930359084	24.313832126831336	COL18A1;CACNA1C;CTCF;NR3C2;SGCD;LRRTM3;RASGEF1C;PLXNA2;MYO18A;PHACTR1;KIRREL3;MEF2A;MBTPS1;ATRNL1;NUBPL;ANXA4;ANGEL1;FRS2;COMMD1;EML1;PTPN14;ITPKB;PEX5L;PDE10A;SP4;CDH13;APBA1;VCL;TNRC6A;TAF1	0.007022783907567839	0	0	ChEA_2022	pooled_ASD_down	YAP1	2.1534906947041335
6	PAX3-FKHR 20663909 ChIP-Seq RHABDOMYOSARCOMA Human	5.885363114165896e-05	3.0574174867749577	29.78064363594434	KIRREL3;HDAC5;PID1;NEBL;PRUNE2;REV1;PLXDC1;NAALADL2;ETV5;PTS;CTTNBP2NL;ITPKB;PEX5L;PDE10A;LRRTM3;CDH12;PLXNA2;CDH13;APBA1	0.007033008921428246	0	0	ChEA_2022	pooled_ASD_down	PAX3-FKHR	2.1528588316802098
7	WT1 25993318 ChIP-Seq PODOCYTE Human	7.432409112046091e-05	2.1522861941126146	20.4619471676982	COL18A1;HDAC5;PID1;SHC3;CLSTN2;PRUNE2;GPATCH2;LOXL3;RNF19B;CD99L2;CACNA1C;TTL;TTC28;PTGS1;BRINP2;RASGEF1C;PLXNA2;MYO18A;PMEPA1;DPH6;PHACTR1;KIRREL3;PTPRN2;NEBL;ATRNL1;ANXA4;ARHGAP27;IGF1;EML1;PTPN14;PLXDC1;PEX5L;CACNB4;PDE10A;TFDP2;SLC9A8;SP4;CDH12;APBA1;TNRC6A	0.007612910476195782	0	0	ChEA_2022	pooled_ASD_down	WT1	2.118449277250268
8	GBX2 23144817 ChIP-Seq PC3 Human	9.893429632999102e-05	6.054644808743169	55.83021037467129	CLSTN2;NUBPL;CDH12;CDH13;PHACTR1;PTPN14;VCL;TNFRSF21	0.007924523155496238	0	0	ChEA_2022	pooled_ASD_down	GBX2	2.1010268612448804
9	STAT3 23295773 ChIP-Seq U87 Human	9.947100195183562e-05	2.1723961878829137	20.020030750292687	HDAC5;PID1;SHC3;CPNE4;NVL;PRUNE2;GPATCH2;CACNA1C;CCDC102B;TTC28;NR3C2;MAPK9;CASP8;SIN3B;PLXNA2;KIRREL3;MEF2A;ENTPD1;PTPRN2;OSBPL6;TMEM132B;ANXA4;REV1;FRS2;COMMD1;EML1;NAALADL2;ETV5;ITPKB;PEX5L;CACNB4;HECW1;CDH12;CDH13;DZIP3;VCL;TNFRSF21	0.007924523155496238	0	0	ChEA_2022	pooled_ASD_down	STAT3	2.1010268612448804
10	SMAD4 21799915 ChIP-Seq A2780 Human	0.00013028453714669267	2.2501488508712737	20.129358530698614	PID1;SHC3;CLSTN2;CPNE4;HTRA1;CACNA1C;PRDM11;PTS;SGCD;PLXNA2;PHACTR1;ZBED5;EXPH5;RAP1GAP2;PTPRN2;NEBL;ATRNL1;NUBPL;TMEM132B;ANXA4;IGF1;PTPN14;NAALADL2;ETV5;ITPKB;CACNB4;PDE10A;DNAJC10;CDH12;CDH13;TAF1;HCN1	0.009341401313417865	0	0	ChEA_2022	pooled_ASD_down	SMAD4	2.0295879699117214
