TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
AR	3	0.0019918056423434936	29.126225205834363	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	AR 19668381 ChIP-Seq PC3 Human	6.666658057029251
GATA1	3	0.007022783907567839	24.17890306023931	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	GATA1 21571218 ChIP-Seq MEGAKARYOCYTES Human	7.011647409406076
STAT3	3	0.007924523155496238	20.020030750292687	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	STAT3 23295773 ChIP-Seq U87 Human	5.1041958317793545
FOXA2	3	0.07695228425025613	16.171078308333918	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	FOXA2 19822575 ChIP-Seq HepG2 Human	1.7407816981526723
ESR1	3	0.10264287237822603	38.87726922678089	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	ESR1 22446102 ChIP-Seq UTERUS Mouse	4.383461309648205
CEBPD	3	0.22071460691651446	17.627728951176998	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	CEBPD 21427703 ChIP-Seq 3T3-L1 Mouse	1.8189683637547192
CREB1	3	0.2634280309250845	6.956316183817003	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	CREB1 23762244 ChIP-Seq HIPPOCAMPUS Rat	2.2706341820317544
RELA	3	0.34813829303210453	3.2928078284986753	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	RELA mouse	0.6423302465999146
YY1	3	0.39358727585506464	2.4740413491986137	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	YY1 23942234 ChIP-Seq MYOBLASTS AND MYOTUBES Mouse	1.4841446964250897
WT1	2	0.007612910476195782	20.4619471676982	ChEA_2022;TRRUST_Transcription_Factors_2019	WT1 25993318 ChIP-Seq PODOCYTE Human	3.7730337965367546
