TF	candidate_n_libs	candidate_best_adjP	candidate_aggregate_score	pooledUp_n_libs	pooledUp_best_adjP	pooledUp_aggregate_score	joint_score
FOXA1	2	0.00043081897630586354	18.3689774804528	2	5.459014828365208e-12	44.765123507628026	63.134100988080824
AR	3	8.175485043582429e-10	30.393143313950745	3	1.9014208336986984e-09	27.958684355667536	58.35182766961828
STAT3	3	5.194350664745678e-09	27.569379131869958	3	6.837765527284005e-06	26.859533522095845	54.4289126539658
SOX2	2	0.000717332823730857	17.458590300866273	2	2.623578601953875e-07	34.16554421393568	51.62413451480195
SPI1	3	1.7665517436063602e-07	23.414653711387206	3	9.644382128706375e-08	27.18355888210239	50.59821259348959
NR3C1	2	7.689936584661296e-09	23.115520102256323	2	4.867524637664014e-11	19.744160616525335	42.85968071878166
PPARG	2	2.1354435884551362e-08	17.220480578156543	3	7.618739727935337e-09	24.037303932036092	41.257784510192636
AF4	1	1.3333208675236443e-14	20.844776760899716	1	5.564725843899061e-15	19.356430982783408	40.20120774368313
CEBPB	2	0.0002038367112764491	18.210819719964796	3	6.328897957575221e-06	21.021602030651184	39.232421750615984
NANOG	3	0.0004977919664276582	14.642973245464388	3	0.00011111745419900993	23.161197682752576	37.80417092821696
RUNX1	2	0.000418907708281169	12.578041981217384	2	8.232348566317944e-07	25.13150473630076	37.709546717518144
GATA1	2	2.3048592832016967e-05	17.194815552445	3	0.0007160551125236227	14.586151666586177	31.780967219031176
SMAD4	2	8.73432138823805e-08	19.69248953338976	3	7.776614597173514e-06	10.805619850036267	30.498109383426026
GATA2	2	0.000992989054730512	12.311656194107982	3	0.000180421365161182	17.66258723871959	29.97424343282757
ESR1	3	3.7910748761829885e-07	14.388503389911593	3	3.4011939670653256e-05	15.569212783167654	29.95771617307925
TAL1	1	2.6804487799806495e-05	13.738590680995447	2	0.0007380349809447272	15.165109092791315	28.903699773786762
GATA3	1	0.0023557406783640735	12.963305802943333	1	0.0016756526372805616	15.011203791632227	27.974509594575558
VDR	2	0.00016574580243579424	11.67301191312458	3	0.0001114198532233594	15.67912289949458	27.35213481261916
SMRT	1	4.478266548992997e-13	14.617137847309603	1	6.775835590646971e-09	11.428003390550106	26.04514123785971
SMAD3	1	0.0008641632434080002	12.584234474460564	2	0.000989138725332098	13.181304745159881	25.765539219620443
KDM2B	1	0.027621257899415698	6.539674231379301	1	0.00014994803758308905	18.93033347651086	25.47000770789016
SMARCA4	1	1.7789761796339995e-12	15.493705725304627	2	5.811453290038548e-07	9.895781030759968	25.389486756064596
SUZ12	2	1.3699039002652645e-05	18.41746977085899	2	0.0023807635827672023	6.5203299732039905	24.93779974406298
SALL4	2	0.00012375363507633898	9.063622512438311	2	1.1005393511267282e-07	15.42030325093442	24.48392576337273
ENL	1	2.9611978426585575e-14	13.528532575689209	1	1.3983061080185886e-11	10.854397745277756	24.382930320966963
SOX9	1	8.6246278504358e-05	11.686802828087894	2	2.0351268192873023e-06	12.314441379684693	24.001244207772586
IRF8	2	1.6250711908569752e-09	13.045862555127858	3	4.872473356348585e-06	10.210099928226198	23.255962483354054
FOXM1	1	8.814821511254262e-08	12.612069710837245	2	1.945071295772211e-06	10.134748008901745	22.746817719738992
