TF	reference_n_libs	reference_best_adjP	reference_aggregate_score	pooledDown_n_libs	pooledDown_best_adjP	pooledDown_aggregate_score	joint_score
SUZ12	2	4.238768425028477e-17	67.77396922317625	2	0.11737264650384811	4.678439317452778	72.45240854062902
REST	2	6.748093708464706e-14	40.526436507147615	2	0.16671882404010516	1.5745882924816008	42.101024799629215
AR	2	5.053729901885319e-13	35.13990167681756	3	0.0019918056423434936	6.666658057029251	41.80655973384681
SMAD4	2	2.470630883713702e-19	24.567556120594254	2	0.009341401313417865	3.575749841507481	28.143305962101735
SOX2	2	3.711734013223691e-18	19.651851749298967	2	0.049452642549961394	7.607229952335064	27.25908170163403
STAT3	1	6.165857850557962e-17	20.91459873536136	3	0.007924523155496238	5.1041958317793545	26.018794567140713
TAL1	1	1.3148354779021785e-10	21.174395082050324	2	0.04881280275029655	4.525931281193759	25.700326363244084
NFKB1	2	1.0883018641810848e-23	23.222764005117494	2	0.08348305239568919	1.4933104318240755	24.716074436941568
TCF4	2	8.84784709007169e-19	20.3715882090174	1	0.0019918056423434936	3.0533845094529664	23.424972718470364
SMARCD1	1	5.382689663088525e-22	21.26900065854459	1	0.049452642549961394	1.3058104964994999	22.57481115504409
SMAD3	1	5.359067357112657e-08	15.119180378104097	1	0.12138608837245195	3.9312713074701655	19.050451685574263
EZH2	2	1.0784499534183042e-06	16.5611185763335	2	0.16671882404010516	2.2559491860790812	18.81706776241258
NR3C1	1	5.354563128831011e-06	13.706081570135996	1	0.017293277112815232	4.804324312672678	18.510405882808676
P300	1	4.4194057906192476e-16	16.455328989627652	1	0.10576487115755528	2.0237573073026525	18.479086296930305
RNF2	1	1.0784499534183042e-06	17.03539093923747	1	0.31098833120970365	0.9401941958537542	17.975585135091222
SOX9	2	1.466761198508886e-14	14.682379334614424	1	0.14876973583662742	2.9606766084833778	17.643055943097803
ZFP57	1	1.99769471169565e-17	16.699470880052125	1	0.558173891006547	0.25323048181545543	16.952701361867582
SMARCA4	1	4.366085935187639e-16	15.359909351972169	1	0.24708003287455613	1.0121212997181461	16.372030651690316
NANOG	2	0.00017954115391266646	7.843595117248197	2	0.018484762763208668	8.177407578118208	16.021002695366406
OLIG2	1	1.5329794149781612e-14	14.292579887893535	1	0.27339913906197394	1.246340516101116	15.53892040399465
GBX2	1	1.458966528251117e-12	11.835954671617575	1	0.007924523155496238	2.1010268612448804	13.936981532862456
CTBP2	1	3.1692364578558957e-12	11.499045356735554	1	0.01779011976124425	1.7498211282807485	13.248866485016302
PHOX2B	1	2.9585678769144005e-10	11.909027191968677	1	0.7267851261238605	0.23221160350724024	12.141238795475918
MTF2	1	4.477414755251863e-12	11.34897267385998	1	0.3314039628250948	0.479642302727842	11.82861497658782
YAP1	1	2.7070361945600917e-10	9.56750593743502	1	0.007022783907567839	2.1534906947041335	11.720996632139155
PAX3-FKHR	1	4.417401622633509e-10	9.35483311363176	1	0.007033008921428246	2.1528588316802098	11.507691945311969
JARID2	1	8.67879513898863e-07	10.306955229816033	1	0.18275365014488376	0.9503534493585138	11.257308679174548
TBX3	1	4.293586948869977e-06	10.73157563975116	1	0.5803737072408651	0.4725845413964333	11.204160181147593
CTBP1	1	3.36409939234052e-11	10.47313118145101	1	0.3452480842940968	0.46186872254748007	10.93499990399849
FLI1	1	0.0001359206135300748	4.512417603853152	2	0.049452642549961394	5.169914179262664	9.682331783115815
TP53	3	0.004147754764542434	7.488901163782383	2	0.2660149527130883	2.031135553304673	9.520036717087056
NFE2L2	2	0.00023923687657611414	9.066371954104255	2	0.6134518644585096	0.39570740082951533	9.46207935493377
KLF4	1	4.321197320137828e-06	5.925769408530715	2	0.18497899559291084	3.4676874491351004	9.393456857665814
GATA1	2	0.010801402587705943	2.2406097033833783	3	0.007022783907567839	7.011647409406076	9.252257112789454
RING1B	1	2.0051911555441317e-05	8.519856215719244	1	0.7470579207812615	0.2062192155560848	8.726075431275328
CEBPB	2	0.0015817928864437193	5.915423242320868	2	0.24901764221973674	2.699860506462329	8.615283748783197
KDM2B	1	0.00015249745541848951	3.816745559924169	1	0.029325354301095143	4.628006655734719	8.444752215658887
TEAD4	1	1.608367641867014e-05	5.14395173848775	1	0.003331833490006549	3.199814998441164	8.343766736928913
RUNX2	1	2.9869546173239667e-07	6.524774638656026	1	0.22071460691651446	1.6668349990662334	8.191609637722259
FOXA1	1	0.675709245923247	0.1702613466693434	2	0.06797619536117747	7.852075610831851	8.022336957501194
RUNX1	3	0.1234667911015311	2.4960014608747825	2	0.03586481533591531	5.494162169127094	7.990163630001876
GATA2	2	0.00023242898235870015	4.869842532025459	2	0.1850626644174162	3.019351303452123	7.889193835477581
WT1	1	8.449097407060401e-05	4.0731929458129175	2	0.007612910476195782	3.7730337965367546	7.846226742349672
POU3F2	1	1.0803588547324223e-07	6.966431964194817	2	0.24731364312350507	0.8134762222759838	7.779908186470801
NR3C2	1	0.00023253649226915896	6.585343869305463	1	0.2403252385021799	0.9948916554829842	7.580235524788447
NRF2	1	0.00023242898235870015	7.254881595528002	1	0.6880490049979189	0.20320740135429843	7.4580889968823
MYC	2	0.0023353005997211683	3.567225614106458	2	0.2118251432637862	3.6142910916934317	7.18151670579989
MEIS1	1	9.792520584312276e-05	5.975626984958023	1	0.24901764221973674	1.1911281028615877	7.1667550878196105
ESR1	1	0.01358574039397187	2.1590310917026643	3	0.10264287237822603	4.383461309648205	6.54249240135087
POU5F1	1	0.0996517388123049	1.831851280166312	2	0.1217809410040173	4.532947544774838	6.36479882494115
ZNF217	1	4.946123261641334e-06	5.30573506484823	1	0.10434417284362975	0.9815317993299089	6.2872668641781395
JUN	1	8.357303248183436e-05	4.282876746711863	1	0.05962976587105796	1.8439490074622304	6.126825754174093
LMO2	1	0.00017550551924052962	3.7613125683764497	1	0.10808675088733564	2.3226253350737753	6.0839379034502254
FUS	1	4.026095699796165e-06	5.395115906198623	1	0.21642176208047328	0.664699071309125	6.059814977507749
PPARD	1	8.047175134588134e-05	4.264596685266577	2	0.14876973583662742	1.78439913983686	6.048995825103437
CTCF	2	0.785328611573458	0.11706978204146579	2	0.11737264650384811	5.752695201699926	5.869764983741392
ISL1	1	0.0035142228123919393	5.099174191730722	1	0.45006276945899826	0.4947708477017147	5.593945039432437
SMAD2/3	1	8.612119151322586e-06	5.064891601609817	1	0.42102604506799174	0.465080649353052	5.529972250962869
MBD3	1	8.449097407060401e-05	4.073189683011251	1	0.05297087756189937	1.2759628321024725	5.349152515113724
PRDM14	1	0.00038418183439770483	3.415464805511677	1	0.06733831157532429	1.7789001267575812	5.194364932269258
UBF1/2	1	9.792520584312276e-05	4.41440815541532	1	0.43218043056297034	0.7364055733761532	5.150813728791473
EWS	1	1.322187227003483e-05	4.878707042658869	1	0.5929681840569767	0.22696860825323545	5.105675650912104
TCF3/E2A	1	5.109587271008548e-05	4.291614178762087	1	0.18941944106056308	0.722575449239667	5.014189628001754
FOXM1	1	0.005600246905300877	2.735078067188271	1	0.18275365014488376	2.1982305700766234	4.933308637264894
