Rank_candDown	Term_candDown	P_value_candDown	Z_score_candDown	Combined_score_candDown	Overlapping_genes_candDown	Adjusted_p_value_candDown	Old_p_value_candDown	Old_adjusted_p_value_candDown	Library_candDown	neglog10_adjP_down	neglog10_P_down	perturbagen_norm	Rank_refUp	Term_refUp	P_value_refUp	Z_score_refUp	Combined_score_refUp	Overlapping_genes_refUp	Adjusted_p_value_refUp	Old_p_value_refUp	Old_adjusted_p_value_refUp	Library_refUp	neglog10_adjP_up	neglog10_P_up	reversal_score	support_strength
452	vemurafenib 42611257 human GSE42872 sample 2495	0.742699014212871	0.7399366802351877	0.2201048292145784	PHC2	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.0520747463636422	0.1291871525246806	vemurafenib	1	vemurafenib 42611257 human GSE42872 sample 2495	1.078235470821362e-08	9.201402443432372	168.8029930553679	LINGO2;ROBO2;GRIA2;PCDH7;PCDH15;LSAMP;GRIK2;CLU;LRP1B;PPP2R2B;CNTN1;PLP1;EDIL3	4.582500750990789e-06	0	0	Drug_Perturbations_from_GEO_up	5.338897455192559	7.96728638524287	7.081203180402025	5.390972201556201
426	halothane 3562 rat GSE6433 sample 3652	0.7166346565713615	0.797168471867267	0.2656078558739149	PTPRJ	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.0520747463636422	0.1447021931085631	halothane	4	halothane 3562 rat GSE6433 sample 3651	1.3455682519624526e-06	7.174774113959924	96.99357678434632	GRIA2;NELL1;GABRB1;MYT1L;LSAMP;NRXN3;SPARCL1;NRCAM;PLCB1;CLU;MT3	0.000142966626771	0	0	Drug_Perturbations_from_GEO_up	3.844765329672935	5.871094268395284	4.869431922438779	3.896840076036577
364	creatine 586 mouse GSE5140 sample 3205	0.5939462924164232	1.1191692202928158	0.5830495378794144	WSB1	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.0520747463636422	0.2262528243146468	creatine	3	creatine 586 mouse GSE5140 sample 3205	1.2786952495806482e-06	6.498444098688598	88.18174411726221	NTRK2;RBFOX1;GABRB1;SYT1;NTM;CNTN1;SLC1A2;NRCAM;CLU;FGF12;OPCML;STXBP5L	0.000142966626771	0	0	Drug_Perturbations_from_GEO_up	3.844765329672935	5.893232948246784	4.784488012587993	3.896840076036577
150	morphine DB00295 human GSE7762 sample 3288	0.1823346342158002	2.08406844510575	3.5469003257231084	P2RY12;PRKCH;FBXO11	0.787685619812257	0	0	Drug_Perturbations_from_GEO_down	0.1036470830481299	0.739130829863042	morphine db00295	6	morphine DB00295 mouse GSE50382 sample 3304	0.0001144937338678	5.963514746123442	54.11883944412407	RYR2;CNTN5;CDH12;FAM19A2;PLP1;FAM19A1;ANK2;LRP1B	0.0081099728156376	0	0	Drug_Perturbations_from_GEO_up	2.090980601527236	3.941218281193904	2.7712850822738373	2.194627684575366
264	pioglitazone DB01132 mouse GSE32536 sample 2797	0.43193779715499	1.3752016270425695	1.1544455832093905	CX3CR1;GPR34	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.0520747463636422	0.3645787909105634	pioglitazone db01132	5	pioglitazone DB01132 rat GSE20219 sample 2794	0.000109225654756	6.006123698714023	54.78842849039631	SLC24A2;GRIA2;GABRB1;SYT1;ATRNL1;PLP1;LRRC4C;OPCML	0.0081099728156376	0	0	Drug_Perturbations_from_GEO_up	2.090980601527236	3.961675343220895	2.7024840886269352	2.1430553478908783
353	phenytoin 1775 rat GSE2880 sample 2670	0.5722049785054948	1.0483351235230935	0.5852414670449608	RNF13;HNRNPC	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.0520747463636422	0.2424483679077946	phenytoin	7	phenytoin 1775 rat GSE2880 sample 3033	0.0001453376668613	5.080393290919607	44.89264528809671	SLC24A2;TENM2;GABRB1;ARPP21;DGKB;ATRNL1;MYT1L;PLCB1;CLU	0.0088240726308706	0	0	Drug_Perturbations_from_GEO_up	2.054330925878775	3.8376218159148303	2.561184539793834	2.1064056722424174
87	morphine 5288826 mouse GSE7762 sample 3492	0.082323095946379	2.5174897119341564	6.286432570988596	P2RY12;PRKCH;RAP1A;PICALM	0.6114138337876361	0	0	Drug_Perturbations_from_GEO_down	0.2136647391956902	1.0844783053113924	morphine	13	morphine 5288826 mouse GSE7762 sample 3490	0.001191810327773	4.664761126990609	31.40448664181636	SLC24A2;ROBO2;FAM155A;SYT1;NTM;FAM19A2;OPCML	0.0372029180736996	0	0	Drug_Perturbations_from_GEO_up	1.4294229941610408	2.923792855464834	2.0199969254847807	1.643087733356731
573	nicotinamide riboside 439924 mouse GSE62194 sample 3468	0.8123207794376563	0.5990205081114172	0.1245123838049599	TLR2	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.0520747463636422	0.090272437225231	nicotinamide riboside	16	nicotinamide riboside 439924 mouse GSE62194 sample 3468	0.0023240770352469	4.765876547204918	28.902335636583107	RIMS2;PCDH9;NTM;KCNIP4;DLGAP1;PRKG1	0.0617332962487482	0	0	Drug_Perturbations_from_GEO_up	1.2094805332641707	2.6337494806585573	1.5518237598316935	1.261555279627813
13	curcumin 969516 human GSE10896 sample 3407	0.0013480826287376	4.562036019840874	30.15082438982185	LYN;PHC2;PTPRC;RNF13;OLR1;PIK3AP1;RIN2	0.0671967341093851	0	0	Drug_Perturbations_from_GEO_down	1.172651833980988	2.8702834875447443	curcumin	203	Curcumin 969516 human GSE16160 sample 3425	0.7003672839686657	0.8344792462439521	0.2972001091279682	CLU	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.1546741491730134	1.5224760946815703	1.2179958496920724
57	resveratrol DB02709 human GSE32357 sample 3499	0.0345751057289624	2.89770200148258	9.749670001221762	APBB1IP;PTPRC;CHST11;PTPRJ;PIK3AP1	0.3914808427091456	0	0	Drug_Perturbations_from_GEO_down	0.4072894854815732	1.4612364831655853	resveratrol db02709	19	resveratrol DB02709 mouse GSE11291 sample 3505	0.007260252246291	4.385370205173952	21.599442382777305	GPM6A;GABRB1;PLP1;SPARCL1;CLU	0.1624003791933518	0	0	Drug_Perturbations_from_GEO_up	0.7894129610468879	2.1390482901443706	1.5101935703684517	1.196702446528461
