Rank_candDown	Term_candDown	P_value_candDown	Z_score_candDown	Combined_score_candDown	Overlapping_genes_candDown	Adjusted_p_value_candDown	Old_p_value_candDown	Old_adjusted_p_value_candDown	Library_candDown	neglog10_adjP_down	neglog10_P_down	perturbagen_norm	Rank_refUp	Term_refUp	P_value_refUp	Z_score_refUp	Combined_score_refUp	Overlapping_genes_refUp	Adjusted_p_value_refUp	Old_p_value_refUp	Old_adjusted_p_value_refUp	Library_refUp	neglog10_adjP_up	neglog10_P_up	reversal_score	support_strength
187	methoxychlor 4115 mouse GSE23725 sample 3235	0.012415522578523	3.2933467741935485	14.453865906605698	SRGN;CHSY1;SPP1;PGK1;FNDC3B;MPZL1	0.0549071506547516	0	0	Drug_Perturbations_from_GEO_down	1.2603710929328746	1.9060349959489225	methoxychlor	337	methoxychlor 4115 mouse GSE23725 sample 3235	0.7354944974283897	0.7662633563796355	0.2354054671024973	HTRA1;MYO18A	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.1334205720804701	1.4192526908798946	1.272359977142813
248	PLX4032 DB05238 human GSE24862 sample 2568	0.0329692464185949	2.609241452991453	8.903201706516327	STARD13;KLF6;FMNL2;AGO2;TOP1;RUNX1	0.109062267152712	0	0	Drug_Perturbations_from_GEO_down	0.962325478575857	1.4818909794563662	plx4032 db05238	1	PLX4032 DB05238 human GSE54711 sample 2556	0.0015477967363638	3.923412360282693	25.388098573225317	PER3;SGCD;ATRNL1;PRUNE2;CD99L2;ATG14;CARF;NAALADL2	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	2.8102860734152166	1.3172273655832112	0.974314362785795
198	MLN4924 73014187 human GSE30531 sample 2645	0.0159179438452702	2.808926367749897	11.629821048741814	PPP1CB;RB1;SDCBP;CHSY1;PPARG;NEAT1;DCAF6	0.0664855533335276	0	0	Drug_Perturbations_from_GEO_down	1.1772727124282167	1.7981130317192324	mln4924	151	MLN4924 73014187 human GSE30531 sample 2644	0.4414002477276763	1.2376727088350867	1.0121727314529725	TNFRSF21;PTS;ELK3	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.3551674274345979	1.3156815344401027	1.1892615966381548
202	thapsigargin 446378 human GSE19519 sample 3236	0.0178974576562336	3.4577762139338493	13.9109677526619	DNAJA1;HSPH1;CHST15;HSPA1B;HSPA1A	0.0732732548599269	0	0	Drug_Perturbations_from_GEO_down	1.1350545163044607	1.7472086564103837	thapsigargin	46	thapsigargin 446378 human GSE19519 sample 3236	0.1811094396101996	1.7027831262033957	2.909466845040896	PEX5L;OSBPL6;CCPG1;CARF;ETV5	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.7420589132211032	1.3152477464914267	1.1470434005143988
200	1-Piperonylpiperazine 94426 rat GSE68785 sample 3690	0.0173201758187969	2.7593677998302275	11.191673570104962	SRGN;C1QB;HSPH1;TXNIP;HSPA1B;HSPA1A;C1QC	0.0716189270107255	0	0	Drug_Perturbations_from_GEO_down	1.1449721898420124	1.761447703730578	1-piperonylpiperazine	84	1-Piperonylpiperazine 94426 rat GSE68785 sample 3690	0.2830582394037271	1.6398461023753763	2.069654045093499	ARHGAP22;PRMT7;CDH13	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.5481241989299174	1.289574350203935	1.1569610740519505
210	formaldehyde 712 rat GSE7002 sample 3540	0.0195841474583991	2.688170983945632	10.572670144193031	SRGN;C1QB;SCIN;RGS1;ELOVL5;BCAT1;C1QC	0.0771242378480768	0	0	Drug_Perturbations_from_GEO_down	1.1128091146930303	1.7080953295116577	formaldehyde	22	formaldehyde 712 rat GSE7002 sample 3543	0.0870634479994625	2.187863860277653	5.340834154501087	ARMCX4;COL18A1;LOXL3;NR1D2;IGF1	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	1.0601641373453117	1.2839330418899095	1.1247979989029684
201	Lapatinib DB01259 human GSE38376 sample 2584	0.0174228015308983	3.0444651741293534	12.330009359187466	DNAJA1;HSPH1;PTGES3;HSPA1B;HSPA1A;HSPD1	0.0716848600301141	0	0	Drug_Perturbations_from_GEO_down	1.1445725584141562	1.758882010546214	lapatinib db01259	544	Lapatinib DB01259 human GSE38376 sample 2583	0.909786029602241	0.4148755415852519	0.0392247563358325	NUBPL	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.0410607363489302	1.2802537837793273	1.1565614426240942
204	Androstanolone 10635 human GSE7868 sample 3410	0.0185694423724289	2.999080882352941	11.955049975805606	DNAJA1;ACSL1;PTGES3;TXNIP;HSPA1B;DCAF6	0.0752790629509743	0	0	Drug_Perturbations_from_GEO_down	1.1233257955020794	1.7312011376287273	androstanolone	148	Androstanolone 10635 human GSE7868 sample 3410	0.4354748288978251	1.24950419039089	1.0387356775672727	PRUNE2;PMEPA1;VCL	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.3610369428071915	1.2652525362457463	1.1353146797120175
199	alpha-Tocopherol 14985 mouse GSE8146 sample 3478	0.0172317158214365	2.5565354745294195	10.382099893500392	ITGB1;C1QA;PGK1;CTNNB1;TAB2;B2M;HIF1A;HSPD1	0.0716112009262715	0	0	Drug_Perturbations_from_GEO_down	1.1450190430550435	1.7636714761978836	alpha-tocopherol	299	alpha-Tocopherol 14985 mouse GSE8150 sample 3477	0.6851585399423814	0.8462404712404712	0.3199677722731119	RAP1GAP2;CACNB4	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.1642089247768927	1.2640286039227169	1.1570079272649816
214	metformin DB00331 mouse GSE35961 sample 3308	0.0210158217517518	2.912202380952381	11.24832260255531	C1QB;ACSL1;TXNIP;CTNNB1;B2M;C1QC	0.0812153485453212	0	0	Drug_Perturbations_from_GEO_down	1.0903618875244776	1.6774536237278337	metformin db00331	31	metformin DB00331 human GSE33612 sample 2483	0.1281150397967789	2.122150630786724	4.360651714497845	ITPKB;DCLRE1C;OSBPL6;CDH13	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.8923998841714155	1.2584405149049471	1.1023507717344156
