perturbagen_norm	reversal_score	support_strength	Adjusted_p_value_candDown	Adjusted_p_value_refUp
vemurafenib	7.08120318040203	5.3909722015562	0.887003336877382	4.58250075099079e-06
plx4032 db05238	5.26859615253831	4.09710304902479	0.00670642180162779	0.0119235639687353
halothane	4.86943192243878	3.89684007603658	0.887003336877382	0.000142966626771011
creatine	4.78448801258799	3.89684007603658	0.887003336877382	0.000142966626771011
formaldehyde	3.54009450752028	2.8435142360853	0.0854151284068472	0.0167861448277212
lipopolysaccharide	3.44671172408129	2.4777905313014	0.00473599136111993	0.702746299151887
vx	3.043625521769	2.34975017199841	0.00496128120733358	0.90085726294106
morphine db00295	2.77128508227384	2.19462768457537	0.787685619812257	0.00810997281563763
pioglitazone db01132	2.70248408862694	2.14305534789088	0.887003336877382	0.00810997281563763
phenytoin	2.56118453979383	2.10640567224242	0.887003336877382	0.00882407263087068
etanercept db00005	2.53924534256638	1.89910775789094	0.0140034891043777	0.90085726294106
cisplatin db00515	2.48185865807364	1.94705880523876	0.0140034891043777	0.806686774737738
