perturbagen_norm	reversal_score	support_strength	Adjusted_p_value_candDown	Adjusted_p_value_refUp
cetuximab db00002	9.02642637709419	7.40928598588811	4.00592577726532e-08	0.97277212161185
lipopolysaccharide	6.71530068496576	5.33050436171335	4.80268963980343e-06	0.97277212161185
curcumin	6.52645044731281	5.33048204668889	4.80268963980343e-06	0.972822106109208
etanercept db00005	6.49161008023428	5.33050436171335	4.80268963980343e-06	0.97277212161185
ascorbic acid	6.118018180916	4.9875401805378	1.05790995447104e-05	0.97277212161185
cigarette smoke	6.09895867123227	4.9875401805378	1.05790995447104e-05	0.97277212161185
curcumin cid	5.26664253033055	4.48846581515646	3.3382823713645e-05	0.97277212161185
formoterol db00983	5.11304265781039	4.21346448418011	6.28817182052504e-05	0.97277212161185
imatinib db00619	5.09041561810383	4.20492778107982	6.41299798013631e-05	0.97277212161185
ubiquinol	5.05634585528415	4.20492778107982	6.41299798013631e-05	0.97277212161185
bexarotene db00307	4.64344485668231	3.98484657229278	0.000106449177938625	0.97277212161185
trovafloxacin	4.59258026259388	3.95324352865378	0.000114484147768668	0.97277212161185
