Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library
1	Lipopolysaccharide 11970143 human GSE3140 sample 3594	7.3086286437035935e-06	7.589114010989011	89.75231459590049	APBB1IP;CX3CR1;ENTPD1;WNT5A;ST8SIA4;OLR1;NPL;TM6SF1;IL13RA1	0.004735991361119928	0	0	Drug_Perturbations_from_GEO_down
2	VX 39793 human GSE33606 sample 3376	1.531259631893079e-05	6.082477435418612	67.43542237629934	PTPRC;GPR34;B3GNT5;PLA2G4A;HCLS1;CPVL;ARHGAP15;TM6SF1;SAMSN1;C1QC	0.004961281207333576	0	0	Drug_Perturbations_from_GEO_down
3	PLX4032 DB05238 human GSE24862 sample 2568	3.104824908161016e-05	6.270457697642164	65.0871511339051	PHC2;SPRED1;CHST11;USP53;B3GNT5;SOCS6;ARHGAP24;PAG1;ETV6	0.006706421801627794	0	0	Drug_Perturbations_from_GEO_down
4	Lipopolysaccharide 11970143 human GSE3140 sample 3595	6.334947943854395e-05	6.517756388981082	63.006133384936916	CX3CR1;MKLN1;ENTPD1;ST8SIA4;OLR1;TM6SF1;RREB1;IL13RA1	0.01026261566904412	0	0	Drug_Perturbations_from_GEO_down
5	cisplatin DB00515 human GSE47856 sample 3152	0.00011948621254911768	5.220374220374221	47.15203602657199	DOCK4;CDK6;BLNK;PLA2G4A;MAML3;PLXDC2;ST6GALNAC3;RIN2;ARHGAP24	0.014003489104377717	0	0	Drug_Perturbations_from_GEO_down
6	Etanercept DB00005 human GSE36177 sample 2596	0.00012966193615164553	6.859219434488252	61.39399218854376	CEBPB;IFNGR1;PDK4;HCLS1;CPVL;PLXDC2;RIN2	0.014003489104377717	0	0	Drug_Perturbations_from_GEO_down
7	Cigarette Smoke 57288536 human GSE8823 sample 2478	0.00016110714549312172	5.661996244402715	49.44870965787274	LYN;CEBPB;B4GALT1;HCLS1;OLR1;RHOQ;TLR2;C1QC	0.014913918611363267	0	0	Drug_Perturbations_from_GEO_down
8	Lipopolysaccharide 11970143 human GSE5504 sample 3485	0.0002266154720945335	7.588054345039733	63.68089409237055	SH3RF3;GPR34;FAM13A;ARHGAP15;ST6GALNAC3;TGFBR1	0.018355853239657213	0	0	Drug_Perturbations_from_GEO_down
9	metformin DB00331 human GSE33612 sample 2483	0.0003262156035303016	5.078520441271901	40.77011850966085	LYN;FGD4;CDK6;CHST11;WNT5A;OLR1;PLXDC2;PLD1	0.023487523454181716	0	0	Drug_Perturbations_from_GEO_down
10	estradiol DB00783 human GSE46924 sample 2487	0.000592383136659119	6.287234042553192	46.72268034882961	LYN;CDK6;B3GNT5;ST8SIA4;BLNK;RIN2	0.038386427255510905	0	0	Drug_Perturbations_from_GEO_down
11	PLX4032 DB05238 human GSE24862 sample 2570	0.0007986163149035801	4.407679277244495	31.43834515306375	PHC2;DOCK4;SPRED1;USP53;B3GNT5;MAML3;ARHGAP24;PAG1	0.04312528100479333	0	0	Drug_Perturbations_from_GEO_down
12	PLX4032 DB05238 human GSE24862 sample 2567	0.0007986163149035801	4.407679277244495	31.43834515306375	LYN;SPRED1;PRKCH;CDK6;CHST11;MAML3;ANKS1A;ETV6	0.04312528100479333	0	0	Drug_Perturbations_from_GEO_down
13	curcumin 969516 human GSE10896 sample 3407	0.001348082628737665	4.562036019840874	30.150824389821846	LYN;PHC2;PTPRC;RNF13;OLR1;PIK3AP1;RIN2	0.06719673410938515	0	0	Drug_Perturbations_from_GEO_down
14	PLX4032 DB05238 human GSE24862 sample 2569	0.0018241796433225606	4.317251600290102	27.22728645713387	PHC2;SPRED1;CDK6;WNT5A;MAML3;ANKS1A;ETV6	0.08443345777664422	0	0	Drug_Perturbations_from_GEO_down
15	formaldehyde 712 rat GSE7002 sample 3548	0.001977202046454797	4.253775871713593	26.484317152593782	PTPRC;B3GNT5;ANKRD44;PLA2G4A;ARHGAP15;PIK3AP1;TLR2	0.08541512840684723	0	0	Drug_Perturbations_from_GEO_down
16	vemurafenib DB08881 human GSE37441 sample 2563	0.0023130205636658955	4.132173492811405	25.07899151663903	RBM47;CEBPB;SPRED1;CDK6;USP53;ANKS1A;ETV6	0.09367733282846877	0	0	Drug_Perturbations_from_GEO_down
17	VX 39793 human GSE33606 sample 3345	0.0029833035481397112	3.940413387529188	22.912416370347035	GPR34;ELMO1;PLA2G4A;HCLS1;CPVL;TM6SF1;C1QC	0.11371651171732546	0	0	Drug_Perturbations_from_GEO_down
18	curcumin 969516 human GSE10896 sample 3408	0.0032063039773395498	3.887295898048586	22.323326976706728	LYN;PTPRC;GPR34;IFNGR1;PIK3AP1;RIN2;TGFBR1	0.1154269431842238	0	0	Drug_Perturbations_from_GEO_down
19	Insulin 3989 human GSE22309 sample 3370	0.0034850843256662885	4.377473590239548	24.77327449044067	LYN;DOCK4;PDK4;TBC1D9;HCLS1;TLR2	0.1188597180543029	0	0	Drug_Perturbations_from_GEO_down
20	cisplatin DB00515 human GSE47856 sample 3146	0.003927309249134738	5.106818771065595	28.290758493941148	DOCK4;WNT5A;SLC9A9;ELMO1;MAML3	0.12724481967196552	0	0	Drug_Perturbations_from_GEO_down
21	cetuximab DB00002 human GSE61495 sample 3136	0.004452502438682658	3.3060528559249787	17.899925595019603	MKLN1;SPRED1;CDK6;IFNGR1;TCF12;PLD1;FBXO11;IL13RA1	0.1330232714269061	0	0	Drug_Perturbations_from_GEO_down
22	Vitamin D3 DB00136 human GSE5145 sample 3170	0.0045162221780739725	4.1421727490488935	22.36806188219085	SH3RF3;ANKRD44;SLC9A9;GNB4;PDK4;PLA2G4A	0.1330232714269061	0	0	Drug_Perturbations_from_GEO_down
23	imatinib DB00619 human GSE1922 sample 2520	0.004880388320191966	4.073671079076859	21.682238518397615	LYN;CEBPB;PELI1;DLEU2;TM6SF1;SAMSN1	0.1374996361514954	0	0	Drug_Perturbations_from_GEO_down
24	Lipopolysaccharide 11970143 human GSE5504 sample 3486	0.005363505641514201	4.72987262677241	24.728424356094152	GPR34;FAM13A;PLXDC2;ST6GALNAC3;TM6SF1	0.14064183010254228	0	0	Drug_Perturbations_from_GEO_down
25	imatinib DB00619 human GSE1922 sample 2513	0.005425996531733883	3.981433798617699	20.769363229169088	LYN;RBM47;CEBPB;PELI1;TM6SF1;SAMSN1	0.14064183010254228	0	0	Drug_Perturbations_from_GEO_down
26	formaldehyde 712 rat GSE7002 sample 3544	0.005673032653079904	3.9431505470165784	20.394098620667616	DOCK4;BNC2;NPL;SAMSN1;ARHGAP24;TLR2	0.1413894291998376	0	0	Drug_Perturbations_from_GEO_down
27	HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3385	0.006556169396638758	3.8206129221159477	19.207553712931627	CX3CR1;CEBPB;ST8SIA4;FOXN3;RIN2;TLR2	0.1573480655193302	0	0	Drug_Perturbations_from_GEO_down
28	calcitriol 5280453 human GSE52819 sample 3129	0.00713732002223985	4.404255319148936	21.7676704141288	MEF2A;CX3CR1;SCIN;FOXN3;TGFBR1	0.1651779776575508	0	0	Drug_Perturbations_from_GEO_down
29	vitamin c DB00126 mouse GSE19379 sample 3513	0.008711710464019293	4.1877264010227995	19.862751188533757	CDK6;RNF13;B3GNT5;TBC1D12;ETV6	0.19466166829946557	0	0	Drug_Perturbations_from_GEO_down
30	doxycycline DB00254 human GSE41035 sample 3040	0.00914003972034554	4.136842105263158	19.422848265974604	GPR34;BLNK;HCLS1;OLR1;CPVL	0.19742485795946366	0	0	Drug_Perturbations_from_GEO_down
31	imatinib DB00619 human GSE1922 sample 2519	0.011242906408814101	3.3878353376503236	15.204665605935052	LYN;CEBPB;CCNH;BMP2K;PELI1;SAMSN1	0.22762991166666627	0	0	Drug_Perturbations_from_GEO_down
32	PLX4032 DB05238 human GSE24862 sample 2565	0.011242906408814101	3.3878353376503236	15.204665605935052	PHC2;SPRED1;CDK6;MAML3;ANKS1A;ETV6	0.22762991166666627	0	0	Drug_Perturbations_from_GEO_down
33	Etanercept DB00005 human GSE36177 sample 2597	0.011943544747942366	3.3415663681478525	14.79500007469928	FGD4;WSB1;PELI1;OLR1;PIK3AP1;SAMSN1	0.22762991166666627	0	0	Drug_Perturbations_from_GEO_down
34	Etanercept DB00005 human GSE7524 sample 3295	0.011943544747942366	3.3415663681478525	14.79500007469928	CX3CR1;PRKCH;PTPRC;PELI1;ARHGAP15;TLR2	0.22762991166666627	0	0	Drug_Perturbations_from_GEO_down
35	estradiol 5757 human GSE24592 sample 3344	0.015255115376223987	3.6223453370267773	15.151692410019194	IFNGR1;FAM13A;ST8SIA4;BLNK;PELI1	0.2771168521517297	0	0	Drug_Perturbations_from_GEO_down
36	Hydrogen Peroxide 784 mouse GSE3078 sample 3599	0.015395380675096096	3.151898734177215	13.155041201386421	MEF2A;PHC2;MBNL1;TCF12;RANBP9;RHOQ	0.2771168521517297	0	0	Drug_Perturbations_from_GEO_down
37	estradiol DB00783 human GSE11506 sample 2730	0.01652402817164093	3.546572617109785	14.551373605833438	GPR34;ELMO1;ST8SIA4;BLNK;ARHGAP15	0.2893937906817114	0	0	Drug_Perturbations_from_GEO_down
38	vemurafenib DB08881 human GSE63790 sample 2509	0.018791968323695868	3.426997726875328	13.620005198891713	SPRED1;MAML2;PLA2G4A;PLXDC2;TM6SF1	0.32045251246723483	0	0	Drug_Perturbations_from_GEO_down
39	imatinib DB00619 human GSE1922 sample 2512	0.02049627419106986	3.3479152426520846	13.015061203512277	LYN;CEBPB;CCNH;PELI1;SAMSN1	0.33192172699877376	0	0	Drug_Perturbations_from_GEO_down
40	progesterone 5994 mouse GSE6440 sample 3686	0.020747739511650137	3.3369102367569408	12.931588229598793	PDK4;BLNK;PLA2G4A;SRGAP2;RIN2	0.33192172699877376	0	0	Drug_Perturbations_from_GEO_down
41	formoterol DB00983 human GSE30242 sample 2631	0.021001220381095254	3.32597623089983	12.848827326335238	MEF2A;TAB2;IL6ST;RIN2;ARHGAP24	0.33192172699877376	0	0	Drug_Perturbations_from_GEO_down
42	motexafin gadolinium DB05428 human GSE2964 sample 3591	0.02177381229031146	3.293593408441231	12.604737768905599	LYN;CCNH;BLNK;PELI1;PIK3AP1	0.3320685204251812	0	0	Drug_Perturbations_from_GEO_down
43	ubiquinol 9962735 human GSE21351 sample 3448	0.0220354110775969	3.282936640965471	12.524746434880296	LYN;PTPRC;IFNGR1;HCLS1;TLR2	0.3320685204251812	0	0	Drug_Perturbations_from_GEO_down
44	pyrazinamide 1046 mouse GSE48027 sample 3326	0.022832487547150497	3.2513697492943714	12.288782375121068	SCIN;OLR1;NPL;TLR2;C1QC	0.3329216053773538	0	0	Drug_Perturbations_from_GEO_down
45	Hydrogen Peroxide 784 mouse GSE3078 sample 3596	0.023119555928982904	2.8629277380135307	10.784867638697781	MBNL1;CEBPB;WSB1;TCF12;RHOQ;PICALM	0.3329216053773538	0	0	Drug_Perturbations_from_GEO_down
46	formaldehyde 712 rat GSE7002 sample 3546	0.02448237093914771	3.1899951116180545	11.83425016193484	PTPRC;SCIN;B3GNT5;PLA2G4A;C1QC	0.3448820949688634	0	0	Drug_Perturbations_from_GEO_down
47	cisplatin DB00515 human GSE47856 sample 3151	0.025914679124547497	3.1405648267008988	11.472312808349237	PRKCH;SLC9A9;MAML3;PLXDC2;ST6GALNAC3	0.3572917462278038	0	0	Drug_Perturbations_from_GEO_down
48	1,2,4-BENZENETRIOL 10787 human GSE7664 sample 3535	0.026832290884603045	3.6933183183183185	13.362976840653356	ENTPD1;BLNK;CPVL;TM6SF1	0.36223592694214113	0	0	Drug_Perturbations_from_GEO_down
49	angiotensin II 172198 mouse GSE29145 sample 3216	0.027399805693993366	3.092618934724198	11.124828696041456	WSB1;SCIN;PDK4;BLNK;PICALM	0.36234845081036127	0	0	Drug_Perturbations_from_GEO_down
50	dexamethasone DB01234 mouse GSE7683 sample 3524	0.028370034498593582	3.627212389380531	12.921660540442176	CEBPB;PLA2G4A;HNRNPC;RHOQ	0.36767564710177286	0	0	Drug_Perturbations_from_GEO_down
51	quercetin DB04216 mouse GSE4262 sample 3432	0.02988724030745726	3.018830066368267	10.597070532737488	MBNL1;SCIN;PDK4;RIN2;ARHGAP24	0.37643668187143164	0	0	Drug_Perturbations_from_GEO_down
52	etanercept DB00005 human GSE11903 sample 2610	0.030207881878571673	3.0098491843644197	10.533425919581353	WNT5A;HCLS1;NPL;SAMSN1;IL13RA1	0.37643668187143164	0	0	Drug_Perturbations_from_GEO_down
53	estradiol 5757 mouse GSE2889 sample 3607	0.03197722199270045	2.6445129973234134	9.104348045640085	FAM49B;MBNL1;RAP1A;ANKRD44;HNRNPC;PICALM	0.39016047432174195	0	0	Drug_Perturbations_from_GEO_down
54	clozapine 2818 mouse GSE6467 sample 2464	0.03251337286014516	2.9484240687679084	10.10160691090638	CX3CR1;ZEB2;PTPRC;CHST11;PLXDC2	0.39016047432174195	0	0	Drug_Perturbations_from_GEO_down
55	estradiol DB00783 human GSE24592 sample 2732	0.03329421117702152	3.4422268907563027	11.711735480752989	LYN;IFNGR1;FAM13A;BLNK	0.3914808427091456	0	0	Drug_Perturbations_from_GEO_down
56	curcumin 969516 mouse GSE23639 sample 3442	0.03456929916908503	2.5935190955221223	8.726645296928215	PHC2;CEBPB;IFNGR1;BLNK;RIN2;TLR2	0.3914808427091456	0	0	Drug_Perturbations_from_GEO_down
57	resveratrol DB02709 human GSE32357 sample 3499	0.034575105728962476	2.8977020014825796	9.749670001221762	APBB1IP;PTPRC;CHST11;PTPRJ;PIK3AP1	0.3914808427091456	0	0	Drug_Perturbations_from_GEO_down
58	formaldehyde 712 rat GSE7002 sample 3551	0.03503995197088032	3.384641873278237	11.342836530472548	PRKCH;SCIN;PLA2G4A;PLXDC2	0.3914808427091456	0	0	Drug_Perturbations_from_GEO_down
59	imatinib DB00619 human GSE1922 sample 2516	0.03635410168421427	2.8567251461988303	9.468467640804253	LYN;CEBPB;CCNH;DLEU2;SAMSN1	0.3926242981895141	0	0	Drug_Perturbations_from_GEO_down
60	imatinib DB00619 human GSE1922 sample 2515	0.03635410168421427	2.8567251461988303	9.468467640804253	LYN;CEBPB;CCNH;PELI1;SAMSN1	0.3926242981895141	0	0	Drug_Perturbations_from_GEO_down
61	calcitriol 5280453 human GSE52819 sample 3126	0.038188828886469815	2.816870944484499	9.197681496754322	CX3CR1;SCIN;IFNGR1;PDK4;PLD1	0.40567805112184324	0	0	Drug_Perturbations_from_GEO_down
62	estradiol 5757 human GSE24592 sample 3346	0.04011140801119473	3.235671936758893	10.40622670690402	IFNGR1;FAM13A;BLNK;TLR2	0.4192289095363578	0	0	Drug_Perturbations_from_GEO_down
63	Calcitonin 16132288 mouse GSE60761 sample 3446	0.0420267129625154	2.7403508771929825	8.685404649149678	PRKCH;CALCR;RAP1A;BLNK;NPL	0.43227476190015846	0	0	Drug_Perturbations_from_GEO_down
64	VANADIUM PENTOXIDE 14814 human GSE5339 sample 3554	0.04404969352468584	3.1352171136653895	9.78951755526381	CX3CR1;CEBPB;BNC2;IL6ST	0.44419689415745023	0	0	Drug_Perturbations_from_GEO_down
