Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library
1	vemurafenib 42611257 human GSE42872 sample 2495	1.0782354708213621e-08	9.201402443432372	168.8029930553679	LINGO2;ROBO2;GRIA2;PCDH7;PCDH15;LSAMP;GRIK2;CLU;LRP1B;PPP2R2B;CNTN1;PLP1;EDIL3	4.582500750990789e-06	0	0	Drug_Perturbations_from_GEO_up
2	levetiracetam 5284583 rat GSE2880 sample 2671	3.44557991228724e-07	8.299522856703094	123.50522806624384	SLC24A2;GPM6A;GRIA2;RYR2;RBFOX1;SYT1;DGKB;PLP1;ANK2;NRCAM;PLCB1	7.321857313610386e-05	0	0	Drug_Perturbations_from_GEO_up
3	creatine 586 mouse GSE5140 sample 3205	1.2786952495806482e-06	6.498444098688598	88.18174411726221	NTRK2;RBFOX1;GABRB1;SYT1;NTM;CNTN1;SLC1A2;NRCAM;CLU;FGF12;OPCML;STXBP5L	0.0001429666267710106	0	0	Drug_Perturbations_from_GEO_up
4	halothane 3562 rat GSE6433 sample 3651	1.3455682519624526e-06	7.174774113959924	96.99357678434633	GRIA2;NELL1;GABRB1;MYT1L;LSAMP;NRXN3;SPARCL1;NRCAM;PLCB1;CLU;MT3	0.0001429666267710106	0	0	Drug_Perturbations_from_GEO_up
5	pioglitazone DB01132 rat GSE20219 sample 2794	0.00010922565475606062	6.006123698714023	54.78842849039631	SLC24A2;GRIA2;GABRB1;SYT1;ATRNL1;PLP1;LRRC4C;OPCML	0.008109972815637629	0	0	Drug_Perturbations_from_GEO_up
6	morphine DB00295 mouse GSE50382 sample 3304	0.00011449373386782534	5.963514746123442	54.11883944412407	RYR2;CNTN5;CDH12;FAM19A2;PLP1;FAM19A1;ANK2;LRP1B	0.008109972815637629	0	0	Drug_Perturbations_from_GEO_up
7	phenytoin 1775 rat GSE2880 sample 3033	0.00014533766686139935	5.080393290919607	44.89264528809671	SLC24A2;TENM2;GABRB1;ARPP21;DGKB;ATRNL1;MYT1L;PLCB1;CLU	0.008824072630870676	0	0	Drug_Perturbations_from_GEO_up
8	PLX4032 DB05238 human GSE50649 sample 2557	0.0002311316696911608	6.218216318785578	52.06215921744629	ROBO2;LRRTM4;CNTN1;LSAMP;GRIK2;MDGA2;PRKG1	0.011923563968735276	0	0	Drug_Perturbations_from_GEO_up
9	levetiracetam DB01202 rat GSE2880 sample 2777	0.0002524990016908647	4.701420530688823	38.94705315880866	SLC24A2;GPM6A;GABRB1;PCDH9;SYT1;PPP2R2B;NTM;LSAMP;OPCML	0.011923563968735276	0	0	Drug_Perturbations_from_GEO_up
10	phenytoin 1775 rat GSE2880 sample 3034	0.0003437025509117744	4.499537845332238	35.887116762325164	GPM6A;CADM1;PCDH9;ARPP21;PPP2R2B;PLP1;ANK2;DLGAP1;LRRC4C	0.014607358413750412	0	0	Drug_Perturbations_from_GEO_up
11	formaldehyde 712 rat GSE7002 sample 3546	0.00043446492495278376	5.5769933049300064	43.17370999090377	LINGO2;SLC24A2;ROBO2;PLP1;SPARCL1;NCAM1;MT3	0.01678614482772119	0	0	Drug_Perturbations_from_GEO_up
12	formaldehyde 712 rat GSE7002 sample 3545	0.0010891837733746175	4.740967396189883	32.344428427255394	LINGO2;SLC24A2;GPM6A;SYT1;PLP1;NCAM2;LRRC4C	0.03720291807369962	0	0	Drug_Perturbations_from_GEO_up
13	morphine 5288826 mouse GSE7762 sample 3490	0.001191810327773062	4.664761126990609	31.40448664181636	SLC24A2;ROBO2;FAM155A;SYT1;NTM;FAM19A2;OPCML	0.03720291807369962	0	0	Drug_Perturbations_from_GEO_up
14	morphine 5288826 mouse GSE7762 sample 3493	0.0012255078894865756	5.434926775352308	36.43792262291707	ROBO2;GPM6A;SYT1;SPARCL1;CLU;MT3	0.03720291807369962	0	0	Drug_Perturbations_from_GEO_up
15	pioglitazone DB01132 rat GSE20219 sample 2795	0.001348082628737665	4.562036019840874	30.150824389821846	SLC24A2;NTRK2;RYR2;GABRB1;ATRNL1;PPP2R2B;DLGAP1	0.038195674480900506	0	0	Drug_Perturbations_from_GEO_up
16	nicotinamide riboside 439924 mouse GSE62194 sample 3468	0.0023240770352469936	4.765876547204918	28.902335636583107	RIMS2;PCDH9;NTM;KCNIP4;DLGAP1;PRKG1	0.061733296248748265	0	0	Drug_Perturbations_from_GEO_up
17	PLX4032 DB05238 human GSE54711 sample 2556	0.003313221633087402	4.42455454477107	25.263473124520832	LRRTM4;ATRNL1;PPP2R2B;PLP1;GRIK2;EDIL3	0.08283054082718505	0	0	Drug_Perturbations_from_GEO_up
18	d-serine 71077 rat GSE10748 sample 3390	0.004761704773726234	3.6049509920477663	19.276211999617644	SLC24A2;SYT1;ATRNL1;NRCAM;PLCB1;DCLK1;OPCML	0.1124291404907583	0	0	Drug_Perturbations_from_GEO_up
19	resveratrol DB02709 mouse GSE11291 sample 3505	0.0072602522462910215	4.385370205173952	21.599442382777305	GPM6A;GABRB1;PLP1;SPARCL1;CLU	0.1624003791933518	0	0	Drug_Perturbations_from_GEO_up
20	isoflurane DB00753 rat GSE1779 sample 2770	0.00861657935013033	3.596725734257159	17.099075481654182	GPM6A;CADM1;ARPP21;ATRNL1;MT3;OPCML	0.1831023111902695	0	0	Drug_Perturbations_from_GEO_up
21	isoflurane DB00753 rat GSE1779 sample 2771	0.009681215619441049	3.5041836002868756	16.250889047700735	CADM1;PPP2R2B;NRCAM;CTNNA2;PLCB1;OPCML	0.18803377827947038	0	0	Drug_Perturbations_from_GEO_up
22	vemurafenib DB08881 human GSE63790 sample 2508	0.00973351322858435	4.070866141732283	18.856986255698335	GPM6A;CADM2;PCDH7;DMD;LRP1B	0.18803377827947038	0	0	Drug_Perturbations_from_GEO_up
23	DAPT 5311272 rat GSE31668 sample 2648	0.01424902216693844	3.68796992481203	15.677807224025056	GPM6A;PPP2R2B;MTUS2;CLU;RGS6	0.26329714873690596	0	0	Drug_Perturbations_from_GEO_up
24	Monuron 8800 rat GSE51163 sample 2468	0.017633781043819467	3.4857752489331437	14.075347262039388	GPM6A;PCDH9;ATRNL1;PDE1A;PLCB1	0.3122648726509697	0	0	Drug_Perturbations_from_GEO_up
25	levetiracetam 5284583 rat GSE2880 sample 2669	0.018371352916667447	4.167301184433164	16.656547536819964	GPM6A;PLP1;SPARCL1;ANK2	0.31231299958334663	0	0	Drug_Perturbations_from_GEO_up
26	isoflurane 3763 rat GSE6433 sample 3654	0.021256722431626875	3.315112540192926	12.766770509702624	NTM;NRXN3;PLP1;SPARCL1;MT3	0.3474656551323624	0	0	Drug_Perturbations_from_GEO_up
27	d-serine 71077 rat GSE10748 sample 3388	0.02380477305659524	2.842835581089634	10.626147473409336	SLC24A2;SYT1;PPP2R2B;NRCAM;PLCB1;CLU	0.36292932120909677	0	0	Drug_Perturbations_from_GEO_up
28	phenytoin 1775 rat GSE2880 sample 2670	0.023910637632599315	3.832943925233645	14.310034852449213	GPM6A;PLP1;SPARCL1;ANK2	0.36292932120909677	0	0	Drug_Perturbations_from_GEO_up
29	heroin 5462328 mouse GSE30305 sample 2620	0.030207881878571673	3.0098491843644197	10.533425919581353	PTPRD;ATRNL1;SPARCL1;FAM19A1;DLGAP1	0.4427017171859642	0	0	Drug_Perturbations_from_GEO_up
