Rank_candDown	Term_candDown	P_value_candDown	Z_score_candDown	Combined_score_candDown	Overlapping_genes_candDown	Adjusted_p_value_candDown	Old_p_value_candDown	Old_adjusted_p_value_candDown	Library_candDown	neglog10_adjP_down	neglog10_P_down	perturbagen_norm	Rank_refUp	Term_refUp	P_value_refUp	Z_score_refUp	Combined_score_refUp	Overlapping_genes_refUp	Adjusted_p_value_refUp	Old_p_value_refUp	Old_adjusted_p_value_refUp	Library_refUp	neglog10_adjP_up	neglog10_P_up	reversal_score	support_strength
452	vemurafenib 42611257 human GSE42872 sample 2495	0.742699014212871	0.7399366802351877	0.2201048292145784	PHC2	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.052074746363642295	0.12918715252468066	vemurafenib	1	vemurafenib 42611257 human GSE42872 sample 2495	1.0782354708213621e-08	9.201402443432372	168.8029930553679	LINGO2;ROBO2;GRIA2;PCDH7;PCDH15;LSAMP;GRIK2;CLU;LRP1B;PPP2R2B;CNTN1;PLP1;EDIL3	4.582500750990789e-06	0	0	Drug_Perturbations_from_GEO_up	5.3388974551925585	7.96728638524287	7.081203180402025	5.390972201556201
3	PLX4032 DB05238 human GSE24862 sample 2568	3.104824908161016e-05	6.270457697642164	65.0871511339051	PHC2;SPRED1;CHST11;USP53;B3GNT5;SOCS6;ARHGAP24;PAG1;ETV6	0.006706421801627794	0	0	Drug_Perturbations_from_GEO_down	2.173509135017171	4.507962886168102	plx4032 db05238	8	PLX4032 DB05238 human GSE50649 sample 2557	0.0002311316696911608	6.218216318785578	52.06215921744629	ROBO2;LRRTM4;CNTN1;LSAMP;GRIK2;MDGA2;PRKG1	0.011923563968735276	0	0	Drug_Perturbations_from_GEO_up	1.9235939140076235	3.6361405433578176	5.268596152538308	4.097103049024795
426	halothane 3562 rat GSE6433 sample 3652	0.7166346565713615	0.797168471867267	0.26560785587391494	PTPRJ	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.052074746363642295	0.14470219310856317	halothane	4	halothane 3562 rat GSE6433 sample 3651	1.3455682519624526e-06	7.174774113959924	96.99357678434633	GRIA2;NELL1;GABRB1;MYT1L;LSAMP;NRXN3;SPARCL1;NRCAM;PLCB1;CLU;MT3	0.0001429666267710106	0	0	Drug_Perturbations_from_GEO_up	3.844765329672935	5.871094268395284	4.869431922438779	3.896840076036577
364	creatine 586 mouse GSE5140 sample 3205	0.5939462924164232	1.1191692202928158	0.5830495378794144	WSB1	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.052074746363642295	0.2262528243146468	creatine	3	creatine 586 mouse GSE5140 sample 3205	1.2786952495806482e-06	6.498444098688598	88.18174411726221	NTRK2;RBFOX1;GABRB1;SYT1;NTM;CNTN1;SLC1A2;NRCAM;CLU;FGF12;OPCML;STXBP5L	0.0001429666267710106	0	0	Drug_Perturbations_from_GEO_up	3.844765329672935	5.893232948246784	4.784488012587993	3.896840076036577
15	formaldehyde 712 rat GSE7002 sample 3548	0.001977202046454797	4.253775871713593	26.484317152593782	PTPRC;B3GNT5;ANKRD44;PLA2G4A;ARHGAP15;PIK3AP1;TLR2	0.08541512840684723	0	0	Drug_Perturbations_from_GEO_down	1.0684652018901957	2.703948948705108	formaldehyde	11	formaldehyde 712 rat GSE7002 sample 3546	0.00043446492495278376	5.5769933049300064	43.17370999090377	LINGO2;SLC24A2;ROBO2;PLP1;SPARCL1;NCAM1;MT3	0.01678614482772119	0	0	Drug_Perturbations_from_GEO_up	1.7750490341951042	3.362045279087191	3.540094507520275	2.8435142360852996
1	Lipopolysaccharide 11970143 human GSE3140 sample 3594	7.3086286437035935e-06	7.589114010989011	89.75231459590049	APBB1IP;CX3CR1;ENTPD1;WNT5A;ST8SIA4;OLR1;NPL;TM6SF1;IL13RA1	0.004735991361119928	0	0	Drug_Perturbations_from_GEO_down	2.3245890984771482	5.136164104347742	lipopolysaccharide	42	Lipopolysaccharide 11970143 mouse GSE367 sample 3656	0.06944786956324528	2.676912568306011	7.139804682088051	GRIA2;GABRB1;CNTN1;PLP1	0.7027462991518867	0	0	Drug_Perturbations_from_GEO_up	0.15320143282425144	1.1583410724766625	3.446711724081285	2.4777905313013995
2	VX 39793 human GSE33606 sample 3376	1.531259631893079e-05	6.082477435418612	67.43542237629934	PTPRC;GPR34;B3GNT5;PLA2G4A;HCLS1;CPVL;ARHGAP15;TM6SF1;SAMSN1;C1QC	0.004961281207333576	0	0	Drug_Perturbations_from_GEO_down	2.3044061562873215	4.814951166493934	vx	106	VX 39793 human GSE33606 sample 3376	0.32517550247593285	1.7376976764731866	1.952112600759934	SPARCL1;ZNF385B	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.4878821799914669	3.0436255217689987	2.349750171998406
150	morphine DB00295 human GSE7762 sample 3288	0.18233463421580023	2.08406844510575	3.5469003257231084	P2RY12;PRKCH;FBXO11	0.787685619812257	0	0	Drug_Perturbations_from_GEO_down	0.10364708304812993	0.739130829863042	morphine db00295	6	morphine DB00295 mouse GSE50382 sample 3304	0.00011449373386782534	5.963514746123442	54.11883944412407	RYR2;CNTN5;CDH12;FAM19A2;PLP1;FAM19A1;ANK2;LRP1B	0.008109972815637629	0	0	Drug_Perturbations_from_GEO_up	2.090980601527236	3.941218281193904	2.7712850822738373	2.194627684575366
264	pioglitazone DB01132 mouse GSE32536 sample 2797	0.43193779715499003	1.3752016270425695	1.1544455832093903	CX3CR1;GPR34	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.052074746363642295	0.3645787909105634	pioglitazone db01132	5	pioglitazone DB01132 rat GSE20219 sample 2794	0.00010922565475606062	6.006123698714023	54.78842849039631	SLC24A2;GRIA2;GABRB1;SYT1;ATRNL1;PLP1;LRRC4C;OPCML	0.008109972815637629	0	0	Drug_Perturbations_from_GEO_up	2.090980601527236	3.961675343220895	2.7024840886269352	2.1430553478908783
353	phenytoin 1775 rat GSE2880 sample 2670	0.5722049785054948	1.0483351235230935	0.5852414670449608	RNF13;HNRNPC	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.052074746363642295	0.24244836790779464	phenytoin	7	phenytoin 1775 rat GSE2880 sample 3033	0.00014533766686139935	5.080393290919607	44.89264528809671	SLC24A2;TENM2;GABRB1;ARPP21;DGKB;ATRNL1;MYT1L;PLCB1;CLU	0.008824072630870676	0	0	Drug_Perturbations_from_GEO_up	2.054330925878775	3.8376218159148303	2.561184539793834	2.1064056722424174
