Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library
1	cetuximab DB00002 human GSE61495 sample 3136	4.8439247609012354e-11	6.706590221774194	159.28628434063666	SCARB2;CERS6;MBNL2;UBXN2B;NUFIP2;CLTC;FAM129A;FNDC3B;ARID5B;ANO6;HIF1A;DNAJA1;VMP1;HERC4;SDCBP;HSPH1;CDK6;SPP1;PAPOLA;ADAM9;TXNIP;BCAT1	4.005925777265322e-08	0	0	Drug_Perturbations_from_GEO_down
2	trovafloxacin DB00685 human GSE9166 sample 3036	8.410267939838383e-09	6.114948561830779	113.7002070290473	MBNL2;CLTC;STAT3;HLA-B;MSN;HIF1A;CNDP2;CORO1C;HSPD1;DNAJA1;SDCBP;SPP1;PGK1;ADAM9;CTNNB1;ATP13A3;HSPA1B;HSPA1A	3.4776457931231712e-06	0	0	Drug_Perturbations_from_GEO_down
3	lipopolysaccharide 11970143 human GSE40885 sample 2475	2.096121256952698e-08	7.726109984223575	136.60219936378277	SLC11A1;PTGES3;HLA-B;MITF;CORO1C;PPP1CB;VMP1;DOCK11;SDCBP;HSPH1;FCGR2A;PPARG;B2M;HSPA1A	4.802689639803427e-06	0	0	Drug_Perturbations_from_GEO_down
4	Etanercept DB00005 human GSE36177 sample 2597	2.75036809174014e-08	6.40993380206406	111.59019135761724	ACSL1;ZC3HAV1;HIF1A;DUSP16;TYMP;PGS1;DNAJA1;SDCBP;PLSCR1;RAB20;GPBP1;NUMB;PADI2;PIK3AP1;HSPA1B;HSPA1A	4.802689639803427e-06	0	0	Drug_Perturbations_from_GEO_down
5	curcumin 969516 human GSE10896 sample 3407	2.9036817652983233e-08	6.890652557319224	119.58521646677097	SCARB2;FAM129A;LY96;ASAP1;ZC3HAV1;TNFRSF1B;HIF1A;DCAF6;PPP1CB;RAB31;CHSY1;TXNIP;MGAT1;TOP1;PIK3AP1	4.802689639803427e-06	0	0	Drug_Perturbations_from_GEO_down
6	Ascorbic acid 54670067 mouse GSE37676 sample 3132	7.939011241539164e-08	6.894943593875906	112.72468819836809	ELOVL5;FAM129A;NEAT1;RBPJ;HSPD1;HSPH1;CDK6;WNK1;SPP1;PGK1;TXNIP;TAB2;PDE8A;HSPA1B	1.0579099544710399e-05	0	0	Drug_Perturbations_from_GEO_down
7	Cigarette Smoke 57288536 human GSE8823 sample 2478	8.954497800843143e-08	6.8237786640079765	110.73986121251085	C1QB;C1QA;TNFAIP8;FAM129A;HLA-B;LY96;HIF1A;PPP1CB;DNAJA1;PLSCR1;RAB31;HCLS1;CDC42SE2;C1QC	1.0579099544710399e-05	0	0	Drug_Perturbations_from_GEO_down
8	curcumin 969516 human GSE10896 sample 3408	2.1614921715933524e-07	5.84984984984985	89.77938215945532	SCARB2;ACSL1;MSN;LY96;TNFRSF1B;HIF1A;CORO1C;PLSCR1;RAB31;CHSY1;RGS1;GLB1;ADAM9;CTNNB1;PIK3AP1	2.234442532384628e-05	0	0	Drug_Perturbations_from_GEO_down
9	Curcumin CID 969516 human GSE10896 sample 3259	3.6329554222830074e-07	5.242925643276829	77.74235922276421	ACSL1;PTGES3;FAM129A;MSN;NEAT1;HIF1A;CORO1C;PLSCR1;KLF6;CHSY1;RGS1;PGK1;CTNNB1;SHOC2;MGAT1;HSPA1B	3.338282371364497e-05	0	0	Drug_Perturbations_from_GEO_down
10	formoterol DB00983 human GSE30242 sample 2631	7.603593495193522e-07	6.142118238507275	86.53921944661847	SCARB2;ARID5B;NEDD9;ASAP1;GNA13;KLF6;TAOK3;STX6;NUMB;PHACTR2;TAB2;ATP13A3;BCAT1	6.288171820525042e-05	0	0	Drug_Perturbations_from_GEO_down
11	ubiquinol 9962735 human GSE21351 sample 3448	8.760403655404547e-07	6.060588712370593	84.53220450018401	CAST;H2AFY;UBE2D3;HLA-B;NEAT1;HIF1A;DCAF6;CORO1C;SDCBP;KLF6;CHST15;PGK1;HCLS1	6.412997980136313e-05	0	0	Drug_Perturbations_from_GEO_down
12	imatinib DB00619 human GSE28698 sample 2524	9.305438423414238e-07	5.557397751344305	77.17834262674221	ACSL1;PTGES3;HLA-B;DDX60L;NEAT1;HSPD1;DNAJA1;SPP1;PGK1;TXNIP;HCLS1;TOP1;HSPA1B;HSPA1A	6.412997980136313e-05	0	0	Drug_Perturbations_from_GEO_down
13	bexarotene DB00307 human GSE6914 sample 2680	1.6733244415987042e-06	4.924403855910705	65.4980096340065	ITGB1;PTGES3;MSN;HIF1A;CORO1C;HSPD1;DNAJA1;SDCBP;VAPA;PGK1;ADAM9;CTNNB1;TOP1;B2M;HSPA1B	0.00010644917793862526	0	0	Drug_Perturbations_from_GEO_down
14	trovafloxacin 62959 human GSE9166 sample 2629	1.9677200015344293e-06	4.856356356356357	63.80589381511499	MBNL2;UBE2D3;CLTC;MSN;HIF1A;CNDP2;CORO1C;HSPD1;DNAJA1;SDCBP;HSPH1;PGK1;ATP13A3;HSPA1B;HSPA1A	0.00011448414776866747	0	0	Drug_Perturbations_from_GEO_down
15	2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 human GSE24193 sample 3189	2.0764960296614415e-06	6.09973507869721	79.81398853419736	SRGN;TNFAIP8;CERS6;P4HA1;CHSY1;FAM13A;STAT3;SPP1;HLA-B;PGK1;TXNIP;B2M	0.00011448414776866747	0	0	Drug_Perturbations_from_GEO_down
16	Hydrogen Peroxide 784 mouse GSE3078 sample 3598	3.880307606669825e-06	5.256179495686795	65.48987368938924	RB1;CAST;CLTC;MSN;ELL2;PPP1CB;VAPA;WNK1;AGO2;ADAM9;INTS6;ATP13A3;B2M	0.00020056339941974658	0	0	Drug_Perturbations_from_GEO_down
17	5-Fluorouracil 3385 mouse GSE1559 sample 3636	7.488039812219421e-06	5.871103117505995	69.2919537740342	VMP1;PTPN1;PLSCR1;TNFAIP8;ELOVL5;AGO2;CLTC;TXNIP;CTNNB1;TAB2;ELL2	0.0003642711132179683	0	0	Drug_Perturbations_from_GEO_down
18	Hydrogen Peroxide 784 mouse GSE3078 sample 3599	1.0674476893495583e-05	4.759688464143276	54.48727145927831	RB1;RANBP2;CLTC;MSN;NEAT1;ELL2;WNK1;AGO2;ADAM9;TXNIP;CTNNB1;INTS6;ATP13A3	0.0004904329106067137	0	0	Drug_Perturbations_from_GEO_down
19	Retinoic acid 444795 mouse GSE1588 sample 3632	1.3568609610693239e-05	5.019809621816311	56.26077906906773	PPP1CB;ITGB1;KLF6;ELOVL5;PTGES3;CLTC;MSN;TOP1;BCAT1;HIF1A;CDC42SE2;CORO1C	0.0005905915867391215	0	0	Drug_Perturbations_from_GEO_down
20	estradiol DB00783 human GSE24592 sample 2732	1.4871504012927133e-05	6.040024630541872	67.14129829198822	MYO1E;TNFAIP8;KLF6;RAB20;CEBPD;FAM13A;REL;ARID5B;NEDD9;INTS6	0.000614936690934537	0	0	Drug_Perturbations_from_GEO_down
21	paclitaxel DB01229 human GSE19136 sample 2576	1.794310525360433e-05	4.873063468265867	53.254322039400456	PPP1CB;SDCBP;CEBPD;CHSY1;FAM129A;SPP1;HLA-B;PGK1;TXNIP;B2M;HSPA1B;HSPA1A	0.0006760293991187559	0	0	Drug_Perturbations_from_GEO_down
22	5-Fluorouracil 3385 mouse GSE1559 sample 3635	1.798385342274804e-05	5.319019011594848	58.11579445380569	DNAJA1;VMP1;PTPN1;PLSCR1;WNK1;ELOVL5;AGO2;CLTC;CTNNB1;TAB2;HIF1A	0.0006760293991187559	0	0	Drug_Perturbations_from_GEO_down
23	menadione DB00170 mouse GSE23725 sample 2780	2.107934346928796e-05	5.787485242030696	62.31510936658009	VMP1;SOAT1;H2AFY;ELOVL5;SPP1;PGK1;FNDC3B;NEAT1;HSPA1B;MPZL1	0.0007579398717000497	0	0	Drug_Perturbations_from_GEO_down
24	grepafloxacin 72474 human GSE9166 sample 2627	2.2340644393789068e-05	4.145254983490277	44.39196224741076	MBNL2;ACSL1;PTGES3;CLTC;MSN;HIF1A;CNDP2;CORO1C;HSPD1;DNAJA1;HSPH1;PGK1;HSPA1B;HSPA1A	0.0007698213714026483	0	0	Drug_Perturbations_from_GEO_down
25	Etanercept DB00005 human GSE7524 sample 3295	2.9733412944859078e-05	4.616277692216562	48.11656627429883	SRGN;DNAJA1;PLSCR1;FCGR2A;PTGES3;UBE2D3;PGK1;FNDC3B;ARID5B;TXNIP;HSPA1B;HSPD1	0.0009835813002159383	0	0	Drug_Perturbations_from_GEO_down
26	5-Fluorouracil 3385 mouse GSE1559 sample 3640	3.106161105262493e-05	4.275356919064474	44.37622906006024	CAST;TNFAIP8;H2AFY;ELOVL5;HSPD1;DNAJA1;PLSCR1;KLF6;WNK1;PGK1;TXNIP;CTNNB1;B2M	0.0009879981669431083	0	0	Drug_Perturbations_from_GEO_down
27	actinomycin D 2019 human GSE6400 sample 3098	3.3349435566300904e-05	4.955681608559306	51.08549375569744	DNAJA1;GNA13;NUFIP2;CHSY1;CLTC;FNDC3B;NEDD9;TXNIP;SHOC2;HIF1A;DCAF6	0.0010214808597529944	0	0	Drug_Perturbations_from_GEO_down
28	cetuximab DB00002 human GSE61495 sample 3135	4.164584079794847e-05	5.319663226507333	53.65576737177042	DNAJA1;VMP1;PLSCR1;KLF6;HSPH1;CDK6;AGO2;PAPOLA;ADAM9;PHACTR2	0.0012300396549965494	0	0	Drug_Perturbations_from_GEO_down
29	Etanercept DB00005 human GSE36177 sample 2596	4.827581207800895e-05	5.85683038377411	58.20857677600856	DNAJA1;C1QB;RAB20;PGK1;MSN;HCLS1;TNFRSF1B;HSPA1B;TYMP	0.001376692985810807	0	0	Drug_Perturbations_from_GEO_down
30	trastuzumab DB00072 human GSE31432 sample 3123	5.1525693696967794e-05	5.1798941798941796	51.143322426680236	DNAJA1;VMP1;RAB31;ELOVL5;PTGES3;SPP1;MSN;B2M;CNDP2;HSPD1	0.0014203916229130788	0	0	Drug_Perturbations_from_GEO_down
31	HYPOCHLOROUS ACID 24341 human GSE11630 sample 3198	5.514462803799512e-05	4.316326530612245	42.323960892803186	DNAJA1;SDCBP;PLSCR1;TNFAIP8;VAPA;CLTC;SPP1;FNDC3B;TXNIP;HIF1A;CNDP2;CORO1C	0.0014711163673361922	0	0	Drug_Perturbations_from_GEO_down
32	PLX4720 CID 24180719 human GSE50791 sample 2507	5.9749926958916926e-05	5.084415584415584	49.447683426334244	ITGB1;KLF6;P4HA1;AGO2;HLA-B;PGK1;MSN;TXNIP;PARP9;B2M	0.0015441621748445093	0	0	Drug_Perturbations_from_GEO_down
33	HYPOCHLOROUS ACID 24341 human GSE11630 sample 3202	6.711091215078166e-05	5.010496671786995	48.14668374968056	PLSCR1;TNFAIP8;FAM13A;CLTC;FNDC3B;TXNIP;B2M;HIF1A;CNDP2;CORO1C	0.00168184013177868	0	0	Drug_Perturbations_from_GEO_down
34	Insulin 3989 human GSE22309 sample 3370	7.312582912183612e-05	4.956433637284701	47.20174776856435	SRGN;RAB31;CERS6;CEBPD;ARID5B;MSN;TXNIP;HCLS1;NEAT1;TLR5	0.0017786782554046609	0	0	Drug_Perturbations_from_GEO_down
35	ethanol 702 rat GSE55243 sample 3107	7.738548990840797e-05	4.92102615694165	46.58593374950532	PPP1CB;PTPN1;MBNL2;AGO2;SPP1;PGK1;MSN;MGAT1;RBPJ;HIF1A	0.0017935975870717786	0	0	Drug_Perturbations_from_GEO_down
36	lung cancer DB00928 human GSE29077 sample 2535	7.807679943722374e-05	4.487326417935419	42.44031480621156	SDCBP;RBM47;SPP1;PGK1;ADAM9;MSN;CTNNB1;B2M;HIF1A;HSPA1B;HSPA1A	0.0017935975870717786	0	0	Drug_Perturbations_from_GEO_down
