Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library
1	PLX4032 DB05238 human GSE54711 sample 2556	0.0015477967363638516	3.9234123602826925	25.388098573225314	PER3;SGCD;ATRNL1;PRUNE2;CD99L2;ATG14;CARF;NAALADL2	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
2	Laccaic Acid 5355255 human GSE45804 sample 2490	0.01146480543707972	3.006641157584554	13.435095834504875	CACNB4;CLSTN2;GPATCH2;CDH12;C1ORF112;NAALADL2;WLS	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
3	VANADIUM PENTOXIDE 14814 human GSE5339 sample 3555	0.012658347727582366	2.7117556826105145	11.848849362294098	RAP1GAP2;ITPKB;SUCLA2;PIGG;CARF;CCDC102B;DZIP3;MARCH3	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
4	TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3317	0.02367242374439607	2.830150462962963	10.594511081126905	ARMCX4;PER3;ANXA4;PABPC4;WDPCP;PTPN14	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
5	imatinib DB00619 mouse GSE30883 sample 2523	0.026132188087712886	3.119815668202765	11.370441075659109	HDAC5;DCLRE1C;PDE10A;ARL5C;CCPG1	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
6	FGFR-specific PD173074 inhibitor 1401 human GSE52452 sample 3244	0.02964313638498448	2.6790021929824563	9.426135302156533	TFDP2;PMEPA1;ANKRD36B;GAL3ST4;WLS;ELK3	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
7	atorvastatin DB01076 human GSE11393 sample 3401	0.030046262315701906	2.6700819672131146	9.358682707595774	MEF2A;HDAC5;PID1;HTRA1;ZDHHC13;TBC1D9	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
8	VANADIUM PENTOXIDE 14814 human GSE5339 sample 3556	0.04371238809186835	3.1344377190187958	9.811177905478567	ITPKB;CARF;CCDC102B;MARCH3	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
9	Monuron 8800 rat GSE51163 sample 2463	0.04648243465047933	2.3909313725490198	7.33700516646968	OSBPL6;SECISBP2;NR1D2;PHACTR1;PIGL;DZIP3	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
10	cisplatin DB00515 human GSE42172 sample 3096	0.04708269098276476	2.6392780172413794	8.065237308182416	GAS6-AS1;DNAJC10;RNF19B;NR1D2;DZIP3	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
11	lysophosphatidic acid 3988 human GSE26309 sample 3223	0.05089322346718091	2.3350095785440614	6.953718064213366	MEF2A;DNAJC10;VCL;TNFRSF21;ELK3;MARCH3	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
12	Monuron 8800 rat GSE51163 sample 2465	0.05615322940795146	2.275093370681606	6.551520596381895	OSBPL6;PER3;NUBPL;ANGEL1;NR1D2;ATG14	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
13	PLX4032 DB05238 human GSE50649 sample 2558	0.05791157993091685	2.4819979716024343	7.070809927926997	PER3;SGCD;PRUNE2;RNF19B;NAALADL2	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
14	imatinib DB00619 human GSE1922 sample 2513	0.06008866810917058	2.4545454545454546	6.902019832455091	COL18A1;ANXA4;ATG14;ERMAP;PTGS1	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
15	alfacalcidol 5282181 human GSE15947 sample 3362	0.06762635521260647	2.1638888888888888	5.828991927730748	RAP1GAP2;PLXNA2;PMEPA1;KIF3C;PTPN14;MARCH3	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
16	haloperidol 3559 mouse GSE6511 sample 2471	0.06830110088419974	2.15802304964539	5.791765693939413	MAPK9;MAU2;PLXNA2;NR1D2;CCAR1;HCN1	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
17	Monuron 8800 rat GSE51163 sample 2468	0.0766180564460117	2.277958993476235	5.851900126486712	ATRNL1;NUBPL;PRUNE2;WDPCP;ETV5	0.9727721216118501	0	0	Drug_Perturbations_from_GEO_up
