cluster	microglia_total_score	top_nonmg_score	n_donors	retained_final
0	1.46857625479756		59	TRUE
1	-0.0904446841674642		51	FALSE
10	-1.00091246863523		52	TRUE
11	0.465138217634696		36	FALSE
12	-0.227895767946992		46	FALSE
13	-0.440533902672742		46	FALSE
14	-0.44705599908103		48	FALSE
15	-0.458149537335539		46	FALSE
16	-0.578577295600764		44	FALSE
17	-0.123958595397148		41	FALSE
18	-0.391707961226782		42	FALSE
2	1.75037034386985		54	FALSE
3	-0.00739532397002142		52	FALSE
4	0.243357210442953		55	FALSE
5	0.159309513402504		51	FALSE
6	0.512282159439504		48	FALSE
7	0.749569595586965		52	FALSE
8	-0.423227388004967		52	FALSE
9	-1.15874437113535		47	FALSE
