donor_use	dx_use	cluster_use	N	donor_total	within_donor_prop
10679	Control	0	81	83	0.975903614457831
10679	Control	2	2	83	0.0240963855421687
1185	Control	0	270	321	0.841121495327103
1185	Control	2	51	321	0.158878504672897
12457	ASD	2	176	336	0.523809523809524
12457	ASD	0	160	336	0.476190476190476
14762	ASD	0	227	236	0.961864406779661
14762	ASD	2	9	236	0.038135593220339
15451	ASD	0	128	177	0.72316384180791
15451	ASD	2	49	177	0.27683615819209
15566	Control	0	7	7	1
1743	Control	0	48	72	0.666666666666667
1743	Control	2	24	72	0.333333333333333
19511	ASD	0	91	109	0.834862385321101
19511	ASD	2	18	109	0.165137614678899
19760	Control	0	265	296	0.89527027027027
19760	Control	2	31	296	0.10472972972973
285A	ASD	2	120	312	0.384615384615385
285A	ASD	0	192	312	0.615384615384615
2GGP	Control	0	50	72	0.694444444444445
2GGP	Control	2	22	72	0.305555555555556
2NA6	ASD	0	211	332	0.635542168674699
2NA6	ASD	2	121	332	0.364457831325301
2YK7	ASD	0	284	339	0.837758112094395
2YK7	ASD	2	55	339	0.162241887905605
3345	ASD	0	3057	3695	0.827334235453315
3345	ASD	2	638	3695	0.172665764546685
35BV	ASD	0	7	7	1
3935	ASD	0	420	556	0.755395683453237
3935	ASD	2	136	556	0.244604316546763
3HUF	ASD	0	71	95	0.747368421052632
3HUF	ASD	2	24	95	0.252631578947368
4337	Control	0	27	28	0.964285714285714
4337	Control	2	1	28	0.0357142857142857
4670	Control	0	88	104	0.846153846153846
4670	Control	2	16	104	0.153846153846154
4787	Control	0	96	127	0.755905511811024
4787	Control	2	31	127	0.244094488188976
493	ASD	2	31	100	0.31
493	ASD	0	69	100	0.69
5023	ASD	0	14	14	1
5144	ASD	0	138	200	0.69
5144	ASD	2	62	200	0.31
5297	ASD	2	7	18	0.388888888888889
5297	ASD	0	11	18	0.611111111111111
5302	ASD	0	228	327	0.697247706422018
5302	ASD	2	99	327	0.302752293577982
5308	ASD	2	6	56	0.107142857142857
5308	ASD	0	50	56	0.892857142857143
5391	Control	0	1	1	1
5408	Control	0	60	67	0.895522388059702
5408	Control	2	7	67	0.104477611940299
5576	Control	0	194	237	0.818565400843882
5576	Control	2	43	237	0.181434599156118
5670	Control	0	113	149	0.758389261744966
5670	Control	2	36	149	0.241610738255034
5842	ASD	0	22	31	0.709677419354839
5842	ASD	2	9	31	0.290322580645161
5925	Control	0	247	320	0.771875
5925	Control	2	73	320	0.228125
5983	ASD	0	206	243	0.847736625514403
5983	ASD	2	37	243	0.152263374485597
6041	ASD	0	91	112	0.8125
6041	ASD	2	21	112	0.1875
7176	Control	0	31	31	1
7444	Control	0	668	916	0.729257641921397
7444	Control	2	248	916	0.270742358078603
75QW	Control	0	69	75	0.92
75QW	Control	2	6	75	0.08
8792	ASD	2	201	645	0.311627906976744
8792	ASD	0	444	645	0.688372093023256
8XCF	ASD	0	202	276	0.731884057971015
8XCF	ASD	2	74	276	0.268115942028986
9714	ASD	0	58	88	0.659090909090909
9714	ASD	2	30	88	0.340909090909091
E4FN	Control	0	46	60	0.766666666666667
E4FN	Control	2	14	60	0.233333333333333
EUFW	Control	0	93	124	0.75
EUFW	Control	2	31	124	0.25
FHN9	Control	0	139	194	0.716494845360825
FHN9	Control	2	55	194	0.283505154639175
FXMN	ASD	0	393	577	0.681109185441941
FXMN	ASD	2	184	577	0.318890814558059
G7YU	Control	0	99	115	0.860869565217391
G7YU	Control	2	16	115	0.139130434782609
HQ4T	Control	0	60	86	0.697674418604651
HQ4T	Control	2	26	86	0.302325581395349
HctZGA002	Control	0	134	193	0.694300518134715
HctZGA002	Control	2	59	193	0.305699481865285
JU7U	ASD	0	13	24	0.541666666666667
JU7U	ASD	2	11	24	0.458333333333333
KMC3	ASD	0	22	26	0.846153846153846
KMC3	ASD	2	4	26	0.153846153846154
M9H3	ASD	0	103	124	0.830645161290323
M9H3	ASD	2	21	124	0.169354838709677
NEPX	ASD	0	127	153	0.830065359477124
NEPX	ASD	2	26	153	0.169934640522876
PA38	ASD	0	142	192	0.739583333333333
PA38	ASD	2	50	192	0.260416666666667
PH2A	Control	0	105	126	0.833333333333333
PH2A	Control	2	21	126	0.166666666666667
PZ65	Control	2	34	116	0.293103448275862
PZ65	Control	0	82	116	0.706896551724138
U8DM	Control	0	50	86	0.581395348837209
U8DM	Control	2	36	86	0.418604651162791
UPIT13161	ASD	0	170	253	0.671936758893281
UPIT13161	ASD	2	83	253	0.328063241106719
UPIT3152	Control	2	58	202	0.287128712871287
UPIT3152	Control	0	144	202	0.712871287128713
VPSP	ASD	0	78	106	0.735849056603774
VPSP	ASD	2	28	106	0.264150943396226
WBYA	Control	0	14	18	0.777777777777778
WBYA	Control	2	4	18	0.222222222222222
